compilation error,[CE] cannot find symbol categoryPlot,,CategoryPlot CategoryPlot = this.categoryPlot.getPlot();
compilation error,[CE] cannot find symbol,,CategoryPlot CategoryPlot = getPlot();
increase failing tests, [FE] NullPointerException,,CategoryPlot CategoryPlot = new CategoryPlot();
compilation error,[CE] cannot find symbol Lists,,CategoryPlot CategoryPlot = Lists.newArrayList();
compilation error,[CE] cannot find symbol Maps,,CategoryPlot CategoryPlot = Maps.newHashMap();
compilation error,[CE] cannot find symbol categoryplot,,CategoryPlot CategoryPlot = this.categoryplot.getPlot();
compilation error,[CE] <identifier> expected,,CategoryPlot CategoryPlot = new CategoryPlot(); CategoryPlot.getCategoryPlot().clear();
compilation error,[CE] self-reference in initializer,,CategoryPlot CategoryPlot = CategoryPlot.getPlot();
compilation error,[CE] <identifier> expected,,CategoryPlot CategoryPlot = this.categoryPlot.getPlot(); CategoryPlot.clear();
compilation error,[CE] <identifier> expected,,CategoryPlot CategoryPlot = new CategoryPlot(); CategoryPlot.getCategoryPlot().reset();
compilation error,[CE] cannot find symbol,,super.setDomainAxisLocation(location); notifyListeners(new AxisLocation(this));
compilation error,[CE] cannot find symbol,,super.setAxisLocation(location); notifyListeners(new AxisLocation(this));
compilation error,[CE] cannot find symbol,,super.setAxisLocation(location); notifyListeners(new AxisChangeEvent(this));
compilation error,[CE] cannot find symbol,,super.setAxisLocation(location); notifyListeners(new AxisEvent(this));
compilation error,[CE] cannot find symbol,,super.setDomainAxisLocation(location); notifyListeners(new AxisLocation(this, location));
compilation error,[CE] cannot find symbol,,super.setAxisLocation(location); notifyListeners(new AxisLocation(this, location));
compilation error,[CE] cannot find symbol,,location.setAxisLocation(true); notifyListeners(new AxisLocation(this));
compilation error,[CE] cannot find symbol,,location.setAxisLocation(true); notifyListeners(new AxisChangeEvent(this));
compilation error,[CE] constructor AxisLocation in class AxisLocation cannot be applied to given types;,,setDomainAxisLocation(location); notifyListeners(new AxisLocation(this));
compilation error,[CE] cannot find symbol,,location.setAxisLocation(true); notifyListeners(new AxisLocation(location));
increase failing tests, [FE] AssertionFailedError,this.rangeGridlinesVisible = true; ,this.rangeGridlinesVisible = false;
increase failing tests, [FE] AssertionFailedError,this.rangeGridlinesVisible = true; ,if(this.rangeGridlinesVisible == true) { this.rangeGridlinesVisible = false; }
increase failing tests, [FE] AssertionFailedError,this.rangeGridlinesVisible = true; ,if(this.rangeGridlinesVisible!= true) { this.rangeGridlinesVisible = false; }
increase failing tests, [FE] AssertionFailedError,this.rangeGridlinesVisible = true; ,if(this.rangeGridlinesVisible) { this.rangeGridlinesVisible = true; }
