projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize+1;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize+2;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize+4;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize-1;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize+2;_nameStartOffset-=bufSize+2;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize+2;_nameStartOffset-=bufSize+3;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize+2;_nameStartOffset-=bufSize+1;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize+2;_nameStartOffset+=bufSize+2;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize-2;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize-1;_nameStartOffset-=bufSize-1;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize-1;_nameStartOffset-=bufSize-2;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize-1;_nameEndOffset-=bufSize-1;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize-1;_nameStartOffset-=bufSsize-1;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize+1;_nameStartOffset-=bufSize+1;
