bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	failing_test_number	patch
1	[BUG] [BUGGY] return null; [FE] AssertionError [CONTEXT] else if (PatternOptionBuilder.URL_VALUE == clazz) { return (T) createURL(str); } else { [BUGGY] return null; [BUGGY] } [CLASS] TypeHandler [METHOD] createValue [RETURN_TYPE] <T>  String str Class<T> clazz [VARIABLES] boolean Class clazz String str  	projects/Cli40/src/main/java/org/apache/commons/cli/TypeHandler.java	1.0	103	103	1	
2	[BUG] [BUGGY] else if (PatternOptionBuilder.URL_VALUE == clazz) {  return (T) createURL(str); [FE] AssertionError [CONTEXT] return (T) createFile(str); } else if (PatternOptionBuilder.EXISTING_FILE_VALUE == clazz) { return (T) openFile(str); } else if (PatternOptionBuilder.FILES_VALUE == clazz) { return (T) createFiles(str); } [BUGGY] else if (PatternOptionBuilder.URL_VALUE == clazz)    {      return (T) createURL(str); [BUGGY] { return (T) createURL(str); } else { return null; } } [CLASS] TypeHandler [METHOD] createValue [RETURN_TYPE] <T>  String str Class<T> clazz [VARIABLES] boolean Class clazz String str  	projects/Cli40/src/main/java/org/apache/commons/cli/TypeHandler.java	0.5773502691896258	97	99	1	
3	[BUG] [BUGGY] else if (PatternOptionBuilder.FILES_VALUE == clazz) {  return (T) createFiles(str); [FE] AssertionError [CONTEXT] return (T) createClass(str); } else if (PatternOptionBuilder.FILE_VALUE == clazz) { return (T) createFile(str); } else if (PatternOptionBuilder.EXISTING_FILE_VALUE == clazz) { return (T) openFile(str); } [BUGGY] else if (PatternOptionBuilder.FILES_VALUE == clazz)    {      return (T) createFiles(str); [BUGGY] { return (T) createFiles(str); } else if (PatternOptionBuilder.URL_VALUE == clazz) { return (T) createURL(str); } else { return null; [CLASS] TypeHandler [METHOD] createValue [RETURN_TYPE] <T>  String str Class<T> clazz [VARIABLES] boolean Class clazz String str  	projects/Cli40/src/main/java/org/apache/commons/cli/TypeHandler.java	0.5	93	95	1	
4	[BUG] [BUGGY] else if (PatternOptionBuilder.EXISTING_FILE_VALUE == clazz) {  return (T) openFile(str); [FE] AssertionError [CONTEXT] return (T) createDate(str); } else if (PatternOptionBuilder.CLASS_VALUE == clazz) { return (T) createClass(str); } else if (PatternOptionBuilder.FILE_VALUE == clazz) { return (T) createFile(str); } [BUGGY] else if (PatternOptionBuilder.EXISTING_FILE_VALUE == clazz)    {      return (T) openFile(str); [BUGGY] { return (T) openFile(str); } else if (PatternOptionBuilder.FILES_VALUE == clazz) { return (T) createFiles(str); } else if (PatternOptionBuilder.URL_VALUE == clazz) { return (T) createURL(str); [CLASS] TypeHandler [METHOD] createValue [RETURN_TYPE] <T>  String str Class<T> clazz [VARIABLES] boolean Class clazz String str  	projects/Cli40/src/main/java/org/apache/commons/cli/TypeHandler.java	0.4082482904638631	89	91	1	
5	[BUG] [BUGGY] else if (PatternOptionBuilder.FILE_VALUE == clazz) {  return (T) createFile(str); [FE] AssertionError [CONTEXT] return (T) createNumber(str); } else if (PatternOptionBuilder.DATE_VALUE == clazz) { return (T) createDate(str); } else if (PatternOptionBuilder.CLASS_VALUE == clazz) { return (T) createClass(str); } [BUGGY] else if (PatternOptionBuilder.FILE_VALUE == clazz)    {      return (T) createFile(str); [BUGGY] { return (T) createFile(str); } else if (PatternOptionBuilder.EXISTING_FILE_VALUE == clazz) { return (T) openFile(str); } else if (PatternOptionBuilder.FILES_VALUE == clazz) { return (T) createFiles(str); [CLASS] TypeHandler [METHOD] createValue [RETURN_TYPE] <T>  String str Class<T> clazz [VARIABLES] boolean Class clazz String str  	projects/Cli40/src/main/java/org/apache/commons/cli/TypeHandler.java	0.3779644730092272	85	87	1	
6	[BUG] [BUGGY] else if (PatternOptionBuilder.CLASS_VALUE == clazz) {  return (T) createClass(str); [FE] AssertionError [CONTEXT] return (T) createObject(str); } else if (PatternOptionBuilder.NUMBER_VALUE == clazz) { return (T) createNumber(str); } else if (PatternOptionBuilder.DATE_VALUE == clazz) { return (T) createDate(str); } [BUGGY] else if (PatternOptionBuilder.CLASS_VALUE == clazz)    {      return (T) createClass(str); [BUGGY] { return (T) createClass(str); } else if (PatternOptionBuilder.FILE_VALUE == clazz) { return (T) createFile(str); } else if (PatternOptionBuilder.EXISTING_FILE_VALUE == clazz) { return (T) openFile(str); [CLASS] TypeHandler [METHOD] createValue [RETURN_TYPE] <T>  String str Class<T> clazz [VARIABLES] boolean Class clazz String str  	projects/Cli40/src/main/java/org/apache/commons/cli/TypeHandler.java	0.3333333333333333	81	83	1	
7	[BUG] [BUGGY] else if (PatternOptionBuilder.DATE_VALUE == clazz) {  return (T) createDate(str); [FE] AssertionError [CONTEXT] return (T) str; } else if (PatternOptionBuilder.OBJECT_VALUE == clazz) { return (T) createObject(str); } else if (PatternOptionBuilder.NUMBER_VALUE == clazz) { return (T) createNumber(str); } [BUGGY] else if (PatternOptionBuilder.DATE_VALUE == clazz)    {      return (T) createDate(str); [BUGGY] { return (T) createDate(str); } else if (PatternOptionBuilder.CLASS_VALUE == clazz) { return (T) createClass(str); } else if (PatternOptionBuilder.FILE_VALUE == clazz) { return (T) createFile(str); [CLASS] TypeHandler [METHOD] createValue [RETURN_TYPE] <T>  String str Class<T> clazz [VARIABLES] boolean Class clazz String str  	projects/Cli40/src/main/java/org/apache/commons/cli/TypeHandler.java	0.31622776601683794	77	79	1	
8	[BUG] [BUGGY] else if (PatternOptionBuilder.NUMBER_VALUE == clazz) {  return (T) createNumber(str); [FE] AssertionError [CONTEXT] { if (PatternOptionBuilder.STRING_VALUE == clazz) { return (T) str; } else if (PatternOptionBuilder.OBJECT_VALUE == clazz) { return (T) createObject(str); } [BUGGY] else if (PatternOptionBuilder.NUMBER_VALUE == clazz)    {      return (T) createNumber(str); [BUGGY] { return (T) createNumber(str); } else if (PatternOptionBuilder.DATE_VALUE == clazz) { return (T) createDate(str); } else if (PatternOptionBuilder.CLASS_VALUE == clazz) { return (T) createClass(str); [CLASS] TypeHandler [METHOD] createValue [RETURN_TYPE] <T>  String str Class<T> clazz [VARIABLES] boolean Class clazz String str  	projects/Cli40/src/main/java/org/apache/commons/cli/TypeHandler.java	0.2773500981126146	73	75	1	
9	[BUG] [BUGGY] else if (PatternOptionBuilder.OBJECT_VALUE == clazz) {  return (T) createObject(str); [FE] AssertionError [CONTEXT] { if (PatternOptionBuilder.STRING_VALUE == clazz) { return (T) str; } [BUGGY] else if (PatternOptionBuilder.OBJECT_VALUE == clazz)    {      return (T) createObject(str); [BUGGY] { return (T) createObject(str); } else if (PatternOptionBuilder.NUMBER_VALUE == clazz) { return (T) createNumber(str); } else if (PatternOptionBuilder.DATE_VALUE == clazz) { return (T) createDate(str); [CLASS] TypeHandler [METHOD] createValue [RETURN_TYPE] <T>  String str Class<T> clazz [VARIABLES] boolean Class clazz String str  	projects/Cli40/src/main/java/org/apache/commons/cli/TypeHandler.java	0.25	69	71	1	
10	[BUG] [BUGGY] if (PatternOptionBuilder.STRING_VALUE == clazz) {  return (T) str; [FE] AssertionError [CONTEXT] { [BUGGY] if (PatternOptionBuilder.STRING_VALUE == clazz)    {      return (T) str; [BUGGY] { return (T) str; } else if (PatternOptionBuilder.OBJECT_VALUE == clazz) { return (T) createObject(str); } else if (PatternOptionBuilder.NUMBER_VALUE == clazz) { return (T) createNumber(str); [CLASS] TypeHandler [METHOD] createValue [RETURN_TYPE] <T>  String str Class<T> clazz [VARIABLES] boolean Class clazz String str  	projects/Cli40/src/main/java/org/apache/commons/cli/TypeHandler.java	0.24253562503633297	65	67	1	
