projects/Chart26/source/org/jfree/chart/axis/Axis.java1118
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118FontlabelFont=g2.getFont();
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118g2.setPaint(getLabelPaint());
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118FontlabelFont=getLabelFont();
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118labelBounds=rotatedLabelBounds.getBounds2D();
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118LabelBoundslabelBounds=rotatedLabelBounds.getBounds2D();
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118g2.setFont(getLabelFont());
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118FontlabelFont=rotatedLabelBounds.getFont();
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118FontlabelFont=g2.getFont();FontlabelFont=g2.getFont();
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118FontlabelFont=g2.getFont();FontlabelBounds=g2.getFont();
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118FontlabelFont=g2.getFont();FontlabelFont=g2.getFont().getFont();
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118g2.setPaint(getLabelPaint());g2.setPaint(getLabelPaint());
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118g2.setPaint(getLabelPaint());g2.setStroke(getLabelStroke());
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118g2.setPaint(getLabelPaint());g2.setFont(getLabelFont());
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118g2.setFont(getLabelFont());g2.setFont(getLabelFont());
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118g2.setFont(getLabelFont());g2.setPaint(getLabelPaint());
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118g2.setFont(getLabelFont());g2.setPaint(getLabelFont());
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118FontlabelFont=getLabelFont();FontlabelFont=getLabelFont();
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118FontlabelFont=getLabelFont();LabelFont=getLabelFont();
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118FontlabelFont=getLabelFont();Colorcolor=getLabelFont();
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118g2.fill(rotatedLabelBounds);
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118LabelBoundslabelBounds=rotationdLabelBounds.getBounds2D();
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118FontlabelFont=g2.getFont();TextAnchorg2=g2.getFont();
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118FontlabelFont=getLabelFont(rotatedLabelBounds);
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118FontlabelFont=getLabelFont();TextAnchorlabelFont=getLabelFont();
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118g2.setFont(rotatedLabelBounds);
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118FontlabelFont=g2.getFont();g2.setFont(rotatedLabelBounds.getFont());
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118FontlabelFont=g2.getFont();g2.setFont(rotatedLabelBounds);
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118FontlabelFont=g2.getFontRegistry();
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118g2.setStroke(getLabelStroke());
projects/Chart26/source/org/jfree/chart/axis/Axis.java1118FontlabelFont=rotatedLabelBounds.getLabelFont();
