projects/Math99/src/java/org/apache/commons/math/util/MathUtils.java562
projects/Math99/src/java/org/apache/commons/math/util/MathUtils.java562k++;
projects/Math99/src/java/org/apache/commons/math/util/MathUtils.java562t=((u&1)==1)?p:-(u/2)/*B3*/);
projects/Math99/src/java/org/apache/commons/math/util/MathUtils.java562if(t>0){for(intk=0;k<2;k++){throwMathRuntimeException.createError("Overflow:gcd({0},{1}");}
projects/Math99/src/java/org/apache/commons/math/util/MathUtils.java562t=((u&1)==1)?v:-(u/2)/*B3*/);
projects/Math99/src/java/org/apache/commons/math/util/MathUtils.java562if(t>0){for(intk=0;k<twos.length;k++){throwMathRuntimeException.createError("Overflow:gcd({0},{1}");}
projects/Math99/src/java/org/apache/commons/math/util/MathUtils.java562k++;//castouttwos.}
projects/Math99/src/java/org/apache/commons/math/util/MathUtils.java562if(t>31){k++;}else{throwMathRuntimeException.createError("Overflow:gcd({0},{1}");}
projects/Math99/src/java/org/apache/commons/math/util/MathUtils.java562if(t>31){k++;}else{throwMathRuntimeException.createError("overflow:gcd({0},{1}");}
projects/Math99/src/java/org/apache/commons/math/util/MathUtils.java562if(t>31){k++;}else{throwMathRuntimeException.createError("overflow:gcd({0},{1},{1}");}
projects/Math99/src/java/org/apache/commons/math/util/MathUtils.java562if(v>0){k++;//castouttwos.}
projects/Math99/src/java/org/apache/commons/math/util/MathUtils.java562if(t>0){k++;//castouttwos.}
projects/Math99/src/java/org/apache/commons/math/util/MathUtils.java562if(k>=31){k++;//castouttwos.}
projects/Math99/src/java/org/apache/commons/math/util/MathUtils.java562if(t>0){throwMathRuntimeException.createArithmeticException("Overflow:gcd({0},{1},{1})is2==31",newObject[]{p,q});}
projects/Math99/src/java/org/apache/commons/math/util/MathUtils.java562if(t>0){for(intk=0;k<2;k++){throwMathRuntimeException.createArithmeticException("Overflow:gcd({0},{1},is2==31",newObject[]{p,q});}
projects/Math99/src/java/org/apache/commons/math/util/MathUtils.java562if(t>0){for(intk=0;k<2;k++){throwMathRuntimeException.createArithmeticException("Overflow:gcd({0},{1},is2==31",newObject[]{p,q}
projects/Math99/src/java/org/apache/commons/math/util/MathUtils.java562if(t>0){for(intk=0;k<2;k++){throwMathRuntimeException.createArithmeticException("Overflow:gcd({0},{1},is2==31",newObject[]{p,
projects/Math99/src/java/org/apache/commons/math/util/MathUtils.java562if(t>0){for(intk=0;k<2;k++){throwMathRuntimeException.createArithmeticException("Overflow:gcd({0},{1},is2==31",newObject[]{p
projects/Math99/src/java/org/apache/commons/math/util/MathUtils.java562if(t>0){k++;}
projects/Math99/src/java/org/apache/commons/math/util/MathUtils.java562if(t>0){for(intk=0;k<2;k++){throwMathRuntimeException.createArithmeticException("overflow:Gcd({0},{1},is2==31",newObject[]{p,q});}
projects/Math99/src/java/org/apache/commons/math/util/MathUtils.java562if(t>0){for(intk=0;k<2;k++){throwMathRuntimeException.createError("Overflow:gcd({0},{1},is2==31",newObject[]{p,q});}
projects/Math99/src/java/org/apache/commons/math/util/MathUtils.java562if(t>0){for(intk=0;k<2;k++){throwMathRuntimeException.createArithmeticException("overflow:Gcd({0},{1},is2==31",newObject[]{p,q}
projects/Math99/src/java/org/apache/commons/math/util/MathUtils.java562if(t>0){for(intk=0;k<2;k++){throwMathRuntimeException.createArithmeticException("overflow:Gcd({0},{1},is2>>31",newObject[]{p,q});}
projects/Math99/src/java/org/apache/commons/math/util/MathUtils.java562if(t>0){for(intk=0;k<2;k++){throwMathRuntimeException.createError("Overflow:gcd({0},{1},is2>>31",newObject[]{p,q});}
