bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	failing_test_number	original_buggy	action	patch	execution_result	diagnosis	previous_bug_id	original_failing_test_number
421	[BUG]  [BUGGY]    [FE]  UnrecognizedOptionException  [CONTEXT]    while  (iter.hasNext())  {    token  =  (String)  iter.next();      [BUGGY]  if(token.startsWith( "-- ")||  token.endsWith( "-- "))  {  [BUGGY]    {  if  (token.indexOf('=')  !=  -1)  {  tokens.add(token.substring(0,  token.indexOf('=')));  tokens.add(token.substring(token.indexOf('=')  +  1,  token.length()));  }  else  {  tokens.add(token);  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]    Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  ArrayList  tokens  Iterator  iter  Option  currentOption  String[]  arguments  String  token  int  tokenLength    	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	111	112	1	add	if(token.startsWith( "-- ")||  token.endsWith( "-- "))  {	if  (token.startsWith( "-- "))  {  	compilable	  [FE]  UnrecognizedOptionException	22	1
422	[BUG]  [BUGGY]  if(token.startsWith( "-- ")||  token.endsWith( "-- "))  {    [FE]  UnrecognizedOptionException  [CONTEXT]    while  (iter.hasNext())  {    token  =  (String)  iter.next();      [BUGGY]  if(token.startsWith( "-- ")||  token.endsWith( "-- "))  {  [BUGGY]    {  if  (token.indexOf('=')  !=  -1)  {  tokens.add(token.substring(0,  token.indexOf('=')));  tokens.add(token.substring(token.indexOf('=')  +  1,  token.length()));  }  else  {  tokens.add(token);  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]    Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  ArrayList  tokens  Iterator  iter  Option  currentOption  String[]  arguments  String  token  int  tokenLength    	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	111	112	1	replace	if(token.startsWith( "-- ")||  token.endsWith( "-- "))  {	if  (token.startsWith( "-- "))  {  	compilable	  [FE]  UnrecognizedOptionException	22	1
422	[BUG]  [BUGGY]    [FE]  UnrecognizedOptionException  [CONTEXT]    while  (iter.hasNext())  {    token  =  (String)  iter.next();      [BUGGY]  if(token.startsWith( "-- ")||  token.startsWith( "-- "))  {  [BUGGY]    {  if  (token.indexOf('=')  !=  -1)  {  tokens.add(token.substring(0,  token.indexOf('=')));  tokens.add(token.substring(token.indexOf('=')  +  1,  token.length()));  }  else  {  tokens.add(token);  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]    Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  ArrayList  tokens  Iterator  iter  Option  currentOption  String[]  arguments  String  token  int  tokenLength    	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	111	112	1	add	if(token.startsWith( "-- ")||  token.startsWith( "-- "))  {	if  (token.startsWith( "-- "))  {  	compilable	  [FE]  UnrecognizedOptionException	22	1
423	[BUG]  [BUGGY]  if(token.startsWith( "-- ")||  token.startsWith( "-- "))  {    [FE]  UnrecognizedOptionException  [CONTEXT]    while  (iter.hasNext())  {    token  =  (String)  iter.next();      [BUGGY]  if(token.startsWith( "-- ")||  token.startsWith( "-- "))  {  [BUGGY]    {  if  (token.indexOf('=')  !=  -1)  {  tokens.add(token.substring(0,  token.indexOf('=')));  tokens.add(token.substring(token.indexOf('=')  +  1,  token.length()));  }  else  {  tokens.add(token);  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]    Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  ArrayList  tokens  Iterator  iter  Option  currentOption  String[]  arguments  String  token  int  tokenLength    	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	111	112	1	replace	if(token.startsWith( "-- ")||  token.startsWith( "-- "))  {	if  (token.startsWith( "-- "))  {  	compilable	  [FE]  UnrecognizedOptionException	22	1
424	[BUG]  [BUGGY]    [FE]  UnrecognizedOptionException  [CONTEXT]    while  (iter.hasNext())  {    token  =  (String)  iter.next();      [BUGGY]  if(!stopAtNonOption  &&  token.startsWith( "-- "))  {  [BUGGY]    {  if  (token.indexOf('=')  !=  -1)  {  tokens.add(token.substring(0,  token.indexOf('=')));  tokens.add(token.substring(token.indexOf('=')  +  1,  token.length()));  }  else  {  tokens.add(token);  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]    Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  ArrayList  tokens  Iterator  iter  Option  currentOption  String[]  arguments  String  token  int  tokenLength    	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	111	112	1	add	if(!stopAtNonOption  &&  token.startsWith( "-- "))  {	if  (token.startsWith( "-- "))  {  	compilable	  [FE]  UnrecognizedOptionException	22	1
425	[BUG]  [BUGGY]  if(!stopAtNonOption  &&  token.startsWith( "-- "))  {    [FE]  UnrecognizedOptionException  [CONTEXT]    while  (iter.hasNext())  {    token  =  (String)  iter.next();      [BUGGY]  if(!stopAtNonOption  &&  token.startsWith( "-- "))  {  [BUGGY]    {  if  (token.indexOf('=')  !=  -1)  {  tokens.add(token.substring(0,  token.indexOf('=')));  tokens.add(token.substring(token.indexOf('=')  +  1,  token.length()));  }  else  {  tokens.add(token);  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]    Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  ArrayList  tokens  Iterator  iter  Option  currentOption  String[]  arguments  String  token  int  tokenLength    	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	111	112	1	replace	if(!stopAtNonOption  &&  token.startsWith( "-- "))  {	if  (token.startsWith( "-- "))  {  	compilable	  [FE]  UnrecognizedOptionException	22	1
425	[BUG]  [BUGGY]    [FE]  UnrecognizedOptionException  [CONTEXT]    while  (iter.hasNext())  {    token  =  (String)  iter.next();      [BUGGY]  if(token.startsWith( "-- ")||  token.endsWith( ".-- "))  {  [BUGGY]    {  if  (token.indexOf('=')  !=  -1)  {  tokens.add(token.substring(0,  token.indexOf('=')));  tokens.add(token.substring(token.indexOf('=')  +  1,  token.length()));  }  else  {  tokens.add(token);  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]    Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  ArrayList  tokens  Iterator  iter  Option  currentOption  String[]  arguments  String  token  int  tokenLength    	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	111	112	1	add	if(token.startsWith( "-- ")||  token.endsWith( ".-- "))  {	if  (token.startsWith( "-- "))  {  	compilable	  [FE]  UnrecognizedOptionException	22	1
426	[BUG]  [BUGGY]  if(token.startsWith( "-- ")||  token.endsWith( ".-- "))  {    [FE]  UnrecognizedOptionException  [CONTEXT]    while  (iter.hasNext())  {    token  =  (String)  iter.next();      [BUGGY]  if(token.startsWith( "-- ")||  token.endsWith( ".-- "))  {  [BUGGY]    {  if  (token.indexOf('=')  !=  -1)  {  tokens.add(token.substring(0,  token.indexOf('=')));  tokens.add(token.substring(token.indexOf('=')  +  1,  token.length()));  }  else  {  tokens.add(token);  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]    Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  ArrayList  tokens  Iterator  iter  Option  currentOption  String[]  arguments  String  token  int  tokenLength    	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	111	112	1	replace	if(token.startsWith( "-- ")||  token.endsWith( ".-- "))  {	if  (token.startsWith( "-- "))  {  	compilable	  [FE]  UnrecognizedOptionException	22	1
426	[BUG]  [BUGGY]    [FE]  UnrecognizedOptionException  [CONTEXT]    while  (iter.hasNext())  {    token  =  (String)  iter.next();      [BUGGY]  if(!token.startsWith( "-- "))  {  [BUGGY]    {  if  (token.indexOf('=')  !=  -1)  {  tokens.add(token.substring(0,  token.indexOf('=')));  tokens.add(token.substring(token.indexOf('=')  +  1,  token.length()));  }  else  {  tokens.add(token);  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]    Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  ArrayList  tokens  Iterator  iter  Option  currentOption  String[]  arguments  String  token  int  tokenLength    	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	111	112	1	add	if(!token.startsWith( "-- "))  {	if  (token.startsWith( "-- "))  {  	compilable	  [FE]  UnrecognizedOptionException	22	1
427	[BUG]  [BUGGY]  if(!token.startsWith( "-- "))  {    [FE]  UnrecognizedOptionException  [CONTEXT]    while  (iter.hasNext())  {    token  =  (String)  iter.next();      [BUGGY]  if(!token.startsWith( "-- "))  {  [BUGGY]    {  if  (token.indexOf('=')  !=  -1)  {  tokens.add(token.substring(0,  token.indexOf('=')));  tokens.add(token.substring(token.indexOf('=')  +  1,  token.length()));  }  else  {  tokens.add(token);  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]    Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  ArrayList  tokens  Iterator  iter  Option  currentOption  String[]  arguments  String  token  int  tokenLength    	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	111	112	1	replace	if(!token.startsWith( "-- "))  {	if  (token.startsWith( "-- "))  {  	compilable	  [FE]  UnrecognizedOptionException	22	1
