bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	failing_test_number	original_buggy	action	patch	execution_result	diagnosis	previous_bug_id	original_failing_test_number
13828868	[BUG]  [BUGGY]    [FE]  AssertionFailedError  [CONTEXT]                                                                                                                                                                                                                                                                                                                                                                                              public                                                                                                                                TimeSeries(Comparable                                                                                                                                name,                                                                                                                                String                                                                                                                                domain,                                                                                                                                String                                                                                                                                range)                                                                                                                                {                                                                                                                                super(name);                                                                                                                                this.domain                                                                                                                                =                                                                                                                                domain;                                                                                                                                                                                                                                                                                                                                                                                              [BUGGY]  this.minY  =  Double.NaN  -  2;  [BUGGY]                                                                                                                                                                                                                                                                                                                                                                                              this.range                                                                                                                                =                                                                                                                                range;                                                                                                                                this.timePeriodClass                                                                                                                                =                                                                                                                                null;                                                                                                                                this.data                                                                                                                                =                                                                                                                                new                                                                                                                                java.util.ArrayList();                                                                                                                                this.maximumItemCount                                                                                                                                =                                                                                                                                Integer.MAX_VALUE;                                                                                                                                this.maximumItemAge                                                                                                                                =                                                                                                                                Long.MAX_VALUE;                                                                                                                                this.minY                                                                                                                                =                                                                                                                                Double.NaN;                                                                                                                                this.maxY                                                                                                                                =                                                                                                                                Double.NaN;                                                                                                                                }                                                                                                                                [CLASS]                                                                                                                                TimeSeries                                                                                                                                [METHOD]                                                                                                                                <init>                                                                                                                                [RETURN_TYPE]                                                                                                                                String)                                                                                                                                                                                                                                                                Comparable                                                                                                                                name                                                                                                                                String                                                                                                                                domain                                                                                                                                String                                                                                                                                range                                                                                                                                [VARIABLES]                                                                                                                                Comparable                                                                                                                                name                                                                                                                                boolean                                                                                                                                double                                                                                                                                maxY                                                                                                                                minY                                                                                                                                Class                                                                                                                                timePeriodClass                                                                                                                                List                                                                                                                                data                                                                                                                                String                                                                                                                                DEFAULT_DOMAIN_DESCRIPTION                                                                                                                                DEFAULT_RANGE_DESCRIPTION                                                                                                                                domain                                                                                                                                range                                                                                                                                long                                                                                                                                maximumItemAge                                                                                                                                serialVersionUID                                                                                                                                int                                                                                                                                maximumItemCount                                                                                                                                                                                                                                                                	projects/Chart3/source/org/jfree/data/time/TimeSeries.java	0.1643989873053573	188	188	1	add	this.minY  =  Double.NaN  -  2;	      	compilable	  [FE]  AssertionFailedError	2304812	1
13828869	[BUG]  [BUGGY]  this.minY  =  Double.NaN  -  2;    [FE]  AssertionFailedError  [CONTEXT]                                                                                                                                                                                                                                                                                                                                                                                              public                                                                                                                                TimeSeries(Comparable                                                                                                                                name,                                                                                                                                String                                                                                                                                domain,                                                                                                                                String                                                                                                                                range)                                                                                                                                {                                                                                                                                super(name);                                                                                                                                this.domain                                                                                                                                =                                                                                                                                domain;                                                                                                                                                                                                                                                                                                                                                                                              [BUGGY]  this.minY  =  Double.NaN  -  2;  [BUGGY]                                                                                                                                                                                                                                                                                                                                                                                              this.range                                                                                                                                =                                                                                                                                range;                                                                                                                                this.timePeriodClass                                                                                                                                =                                                                                                                                null;                                                                                                                                this.data                                                                                                                                =                                                                                                                                new                                                                                                                                java.util.ArrayList();                                                                                                                                this.maximumItemCount                                                                                                                                =                                                                                                                                Integer.MAX_VALUE;                                                                                                                                this.maximumItemAge                                                                                                                                =                                                                                                                                Long.MAX_VALUE;                                                                                                                                this.minY                                                                                                                                =                                                                                                                                Double.NaN;                                                                                                                                this.maxY                                                                                                                                =                                                                                                                                Double.NaN;                                                                                                                                }                                                                                                                                [CLASS]                                                                                                                                TimeSeries                                                                                                                                [METHOD]                                                                                                                                <init>                                                                                                                                [RETURN_TYPE]                                                                                                                                String)                                                                                                                                                                                                                                                                Comparable                                                                                                                                name                                                                                                                                String                                                                                                                                domain                                                                                                                                String                                                                                                                                range                                                                                                                                [VARIABLES]                                                                                                                                Comparable                                                                                                                                name                                                                                                                                boolean                                                                                                                                double                                                                                                                                maxY                                                                                                                                minY                                                                                                                                Class                                                                                                                                timePeriodClass                                                                                                                                List                                                                                                                                data                                                                                                                                String                                                                                                                                DEFAULT_DOMAIN_DESCRIPTION                                                                                                                                DEFAULT_RANGE_DESCRIPTION                                                                                                                                domain                                                                                                                                range                                                                                                                                long                                                                                                                                maximumItemAge                                                                                                                                serialVersionUID                                                                                                                                int                                                                                                                                maximumItemCount                                                                                                                                                                                                                                                                	projects/Chart3/source/org/jfree/data/time/TimeSeries.java	0.1643989873053573	188	188	1	replace	this.minY  =  Double.NaN  -  2;	      	compilable	  [FE]  AssertionFailedError	2304812	1
42158324	[BUG]  [BUGGY]    [FE]  AssertionFailedError  [CONTEXT]                                                                                                                                                                                                                                                                                                                                                                                              private                                                                                                                                double                                                                                                                                minIgnoreNaN(double                                                                                                                                a,                                                                                                                                double                                                                                                                                b)                                                                                                                                {                                                                                                                                if                                                                                                                                (Double.isNaN(a))                                                                                                                                {                                                                                                                                return                                                                                                                                b;                                                                                                                                }                                                                                                                                else                                                                                                                                {                                                                                                                                                                                                                                                                                                                                                                                              [BUGGY]  if(Double.isNaN(a)||  Double.isInfinite(b)||  Double.isNaN(a  *  b))  {  [BUGGY]                                                                                                                                                                                                                                                                                                                                                                                              return                                                                                                                                a;                                                                                                                                }                                                                                                                                else                                                                                                                                {                                                                                                                                return                                                                                                                                Math.min(a,                                                                                                                                b);                                                                                                                                }                                                                                                                                }                                                                                                                                }                                                                                                                                [CLASS]                                                                                                                                TimeSeries                                                                                                                                [METHOD]                                                                                                                                minIgnoreNaN                                                                                                                                [RETURN_TYPE]                                                                                                                                double                                                                                                                                                                                                                                                                double                                                                                                                                a                                                                                                                                double                                                                                                                                b                                                                                                                                [VARIABLES]                                                                                                                                boolean                                                                                                                                double                                                                                                                                a                                                                                                                                b                                                                                                                                maxY                                                                                                                                minY                                                                                                                                oldY                                                                                                                                value                                                                                                                                y                                                                                                                                yy                                                                                                                                Class                                                                                                                                c                                                                                                                                periodClass                                                                                                                                timePeriodClass                                                                                                                                List                                                                                                                                data                                                                                                                                String                                                                                                                                DEFAULT_DOMAIN_DESCRIPTION                                                                                                                                DEFAULT_RANGE_DESCRIPTION                                                                                                                                description                                                                                                                                domain                                                                                                                                msg                                                                                                                                old                                                                                                                                range                                                                                                                                long                                                                                                                                index                                                                                                                                latest                                                                                                                                maximumItemAge                                                                                                                                periods                                                                                                                                serialVersionUID                                                                                                                                int                                                                                                                                count                                                                                                                                end                                                                                                                                endIndex                                                                                                                                i                                                                                                                                index                                                                                                                                maximum                                                                                                                                maximumItemCount                                                                                                                                result                                                                                                                                start                                                                                                                                startIndex                                                                                                                                                                                                                                                                	projects/Chart3/source/org/jfree/data/time/TimeSeries.java	0.1643989873053573	1269	1269	1	add	if(Double.isNaN(a)||  Double.isInfinite(b)||  Double.isNaN(a  *  b))  {	  if(Double.isInfinite(a)||    Double.isInfinite(b)||    Double.isNaN(a    *    b))    {        	compilable	  [FE]  AssertionFailedError	7026388	1
42158325	[BUG]  [BUGGY]  if(Double.isNaN(a)||  Double.isInfinite(b)||  Double.isNaN(a  *  b))  {    [FE]  AssertionFailedError  [CONTEXT]                                                                                                                                                                                                                                                                                                                                                                                              private                                                                                                                                double                                                                                                                                minIgnoreNaN(double                                                                                                                                a,                                                                                                                                double                                                                                                                                b)                                                                                                                                {                                                                                                                                if                                                                                                                                (Double.isNaN(a))                                                                                                                                {                                                                                                                                return                                                                                                                                b;                                                                                                                                }                                                                                                                                else                                                                                                                                {                                                                                                                                                                                                                                                                                                                                                                                              [BUGGY]  if(Double.isNaN(a)||  Double.isInfinite(b)||  Double.isNaN(a  *  b))  {  [BUGGY]                                                                                                                                                                                                                                                                                                                                                                                              return                                                                                                                                a;                                                                                                                                }                                                                                                                                else                                                                                                                                {                                                                                                                                return                                                                                                                                Math.min(a,                                                                                                                                b);                                                                                                                                }                                                                                                                                }                                                                                                                                }                                                                                                                                [CLASS]                                                                                                                                TimeSeries                                                                                                                                [METHOD]                                                                                                                                minIgnoreNaN                                                                                                                                [RETURN_TYPE]                                                                                                                                double                                                                                                                                                                                                                                                                double                                                                                                                                a                                                                                                                                double                                                                                                                                b                                                                                                                                [VARIABLES]                                                                                                                                boolean                                                                                                                                double                                                                                                                                a                                                                                                                                b                                                                                                                                maxY                                                                                                                                minY                                                                                                                                oldY                                                                                                                                value                                                                                                                                y                                                                                                                                yy                                                                                                                                Class                                                                                                                                c                                                                                                                                periodClass                                                                                                                                timePeriodClass                                                                                                                                List                                                                                                                                data                                                                                                                                String                                                                                                                                DEFAULT_DOMAIN_DESCRIPTION                                                                                                                                DEFAULT_RANGE_DESCRIPTION                                                                                                                                description                                                                                                                                domain                                                                                                                                msg                                                                                                                                old                                                                                                                                range                                                                                                                                long                                                                                                                                index                                                                                                                                latest                                                                                                                                maximumItemAge                                                                                                                                periods                                                                                                                                serialVersionUID                                                                                                                                int                                                                                                                                count                                                                                                                                end                                                                                                                                endIndex                                                                                                                                i                                                                                                                                index                                                                                                                                maximum                                                                                                                                maximumItemCount                                                                                                                                result                                                                                                                                start                                                                                                                                startIndex                                                                                                                                                                                                                                                                	projects/Chart3/source/org/jfree/data/time/TimeSeries.java	0.1643989873053573	1269	1269	1	replace	if(Double.isNaN(a)||  Double.isInfinite(b)||  Double.isNaN(a  *  b))  {	  if(Double.isInfinite(a)||    Double.isInfinite(b)||    Double.isNaN(a    *    b))    {        	compilable	  [FE]  AssertionFailedError	7026388	1
