bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
1	[BUG]  [BUGGY]  int  populationSize  =  getPopulationSize();  [CE]  cannot  find  symbol  n  [CONTEXT]    protected  double  calculateNumericalVariance()  {  final  double  N  =  getPopulationSize();  final  double  m  =  getNumberOfSuccesses();    [BUGGY]  int  populationSize  =  getPopulationSize();  [BUGGY]    return  (n  *  m  *  (N  -  n)  *  (N  -  m))  /  (N  *  N  *  (N  -  1));  }  [CLASS]  HypergeometricDistribution  [METHOD]  calculateNumericalVariance  [RETURN_TYPE]  double  [VARIABLES]  boolean  numericalVarianceIsCalculated  double  N  m  n  numericalVariance  p  p1  p2  p3  q  ret  long  serialVersionUID  int  dx  k  m  n  numberOfSuccesses  populationSize  sampleSize  x  x0  x1  	projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java	0.3779644730092272	294	294	1	replace	int  populationSize  =  getPopulationSize();	  final    double    n    =    getDecimalSize();    	non-compiled	[CE]  cannot  find  symbol  n	83	None
2	[BUG]  [BUGGY]  int  populationSize  =  getNumberOfSuccesses();  [CE]  cannot  find  symbol  n  [CONTEXT]    protected  double  calculateNumericalVariance()  {  final  double  N  =  getPopulationSize();  final  double  m  =  getNumberOfSuccesses();    [BUGGY]  int  populationSize  =  getNumberOfSuccesses();  [BUGGY]    return  (n  *  m  *  (N  -  n)  *  (N  -  m))  /  (N  *  N  *  (N  -  1));  }  [CLASS]  HypergeometricDistribution  [METHOD]  calculateNumericalVariance  [RETURN_TYPE]  double  [VARIABLES]  boolean  numericalVarianceIsCalculated  double  N  m  n  numericalVariance  p  p1  p2  p3  q  ret  long  serialVersionUID  int  dx  k  m  n  numberOfSuccesses  populationSize  sampleSize  x  x0  x1  	projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java	0.3779644730092272	294	294	1	replace	int  populationSize  =  getNumberOfSuccesses();	  final    double    n    =    getDecimalSize();    	non-compiled	[CE]  cannot  find  symbol  n	83	None
3	[BUG]  [BUGGY]  int  populationSize  =  getNumberOfSuccesses()  -  getPopulationSize();  [CE]  cannot  find  symbol  n  [CONTEXT]    protected  double  calculateNumericalVariance()  {  final  double  N  =  getPopulationSize();  final  double  m  =  getNumberOfSuccesses();    [BUGGY]  int  populationSize  =  getNumberOfSuccesses()  -  getPopulationSize();  [BUGGY]    return  (n  *  m  *  (N  -  n)  *  (N  -  m))  /  (N  *  N  *  (N  -  1));  }  [CLASS]  HypergeometricDistribution  [METHOD]  calculateNumericalVariance  [RETURN_TYPE]  double  [VARIABLES]  boolean  numericalVarianceIsCalculated  double  N  m  n  numericalVariance  p  p1  p2  p3  q  ret  long  serialVersionUID  int  dx  k  m  n  numberOfSuccesses  populationSize  sampleSize  x  x0  x1  	projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java	0.3779644730092272	294	294	1	replace	int  populationSize  =  getNumberOfSuccesses()  -  getPopulationSize();	  final    double    n    =    getDecimalSize();    	non-compiled	[CE]  cannot  find  symbol  n	83	None
4	[BUG]  [BUGGY]  int  populationSize  =  getPopulationSize()  -  getNumberOfSuccesses();  [CE]  cannot  find  symbol  n  [CONTEXT]    protected  double  calculateNumericalVariance()  {  final  double  N  =  getPopulationSize();  final  double  m  =  getNumberOfSuccesses();    [BUGGY]  int  populationSize  =  getPopulationSize()  -  getNumberOfSuccesses();  [BUGGY]    return  (n  *  m  *  (N  -  n)  *  (N  -  m))  /  (N  *  N  *  (N  -  1));  }  [CLASS]  HypergeometricDistribution  [METHOD]  calculateNumericalVariance  [RETURN_TYPE]  double  [VARIABLES]  boolean  numericalVarianceIsCalculated  double  N  m  n  numericalVariance  p  p1  p2  p3  q  ret  long  serialVersionUID  int  dx  k  m  n  numberOfSuccesses  populationSize  sampleSize  x  x0  x1  	projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java	0.3779644730092272	294	294	1	replace	int  populationSize  =  getPopulationSize()  -  getNumberOfSuccesses();	  final    double    n    =    getDecimalSize();    	non-compiled	[CE]  cannot  find  symbol  n	83	None
11	[BUG]  [BUGGY]      int  k  =  getNumberOfSuccesses();  n  =  getNumberOfSuccesses();  [CE]  cannot  find  symbol  n  [CONTEXT]    public  double  getNumericalMean()  {    [BUGGY]      int  k  =  getNumberOfSuccesses();  n  =  getNumberOfSuccesses();  [BUGGY]    return  (double)  (getSampleSize()  *  getNumberOfSuccesses())  /  (double)  getPopulationSize();  }  [CLASS]  HypergeometricDistribution  [METHOD]  getNumericalMean  [RETURN_TYPE]  double  [VARIABLES]  boolean  numericalVarianceIsCalculated  double  numericalVariance  p  p1  p2  p3  q  ret  long  serialVersionUID  int  dx  k  m  n  numberOfSuccesses  populationSize  sampleSize  x  x0  x1  	projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java	0.3779644730092272	268	268	1	replace	        int    k    =    getNumberOfSuccesses();    n  =  getNumberOfSuccesses();	  	non-compiled	[CE]  cannot  find  symbol  n	362	None
12	[BUG]  [BUGGY]      int  k  =  getNumberOfSuccesses();  m  =  getNumberOfSuccesses();  [CE]  cannot  find  symbol  m  [CONTEXT]    public  double  getNumericalMean()  {    [BUGGY]      int  k  =  getNumberOfSuccesses();  m  =  getNumberOfSuccesses();  [BUGGY]    return  (double)  (getSampleSize()  *  getNumberOfSuccesses())  /  (double)  getPopulationSize();  }  [CLASS]  HypergeometricDistribution  [METHOD]  getNumericalMean  [RETURN_TYPE]  double  [VARIABLES]  boolean  numericalVarianceIsCalculated  double  numericalVariance  p  p1  p2  p3  q  ret  long  serialVersionUID  int  dx  k  m  n  numberOfSuccesses  populationSize  sampleSize  x  x0  x1  	projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java	0.3779644730092272	268	268	1	replace	        int    k    =    getNumberOfSuccesses();    m  =  getNumberOfSuccesses();	  	non-compiled	[CE]  cannot  find  symbol  m	362	None
13	[BUG]  [BUGGY]      int  k  =  getNumberOfSuccesses();  N  =  getNumberOfSuccesses();  [CE]  cannot  find  symbol  N  [CONTEXT]    public  double  getNumericalMean()  {    [BUGGY]      int  k  =  getNumberOfSuccesses();  N  =  getNumberOfSuccesses();  [BUGGY]    return  (double)  (getSampleSize()  *  getNumberOfSuccesses())  /  (double)  getPopulationSize();  }  [CLASS]  HypergeometricDistribution  [METHOD]  getNumericalMean  [RETURN_TYPE]  double  [VARIABLES]  boolean  numericalVarianceIsCalculated  double  numericalVariance  p  p1  p2  p3  q  ret  long  serialVersionUID  int  dx  k  m  n  numberOfSuccesses  populationSize  sampleSize  x  x0  x1  	projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java	0.3779644730092272	268	268	1	replace	        int    k    =    getNumberOfSuccesses();    N  =  getNumberOfSuccesses();	  	non-compiled	[CE]  cannot  find  symbol  N	362	None
14	[BUG]  [BUGGY]      int  k  =  getNumberOfSuccesses();  numberOfSuccesses  =  getNumberOfSuccesses();  [CE]  cannot  assign  a  value  to  final  variable  numberOfSuccesses  [CONTEXT]    public  double  getNumericalMean()  {    [BUGGY]      int  k  =  getNumberOfSuccesses();  numberOfSuccesses  =  getNumberOfSuccesses();  [BUGGY]    return  (double)  (getSampleSize()  *  getNumberOfSuccesses())  /  (double)  getPopulationSize();  }  [CLASS]  HypergeometricDistribution  [METHOD]  getNumericalMean  [RETURN_TYPE]  double  [VARIABLES]  boolean  numericalVarianceIsCalculated  double  numericalVariance  p  p1  p2  p3  q  ret  long  serialVersionUID  int  dx  k  m  n  numberOfSuccesses  populationSize  sampleSize  x  x0  x1  	projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java	0.3779644730092272	268	268	1	replace	        int    k    =    getNumberOfSuccesses();    numberOfSuccesses  =  getNumberOfSuccesses();	  	non-compiled	[CE]  cannot  assign  a  value  to  final  variable  numberOfSuccesses	362	None
15	[BUG]  [BUGGY]  [FE]  AssertionError  testMath1021  [CONTEXT]    public  double  getNumericalMean()  {    [BUGGY]      int  k  =  getNumberOfSuccesses();  final  double  n  =  getNumberOfSuccesses();  [BUGGY]    return  (double)  (getSampleSize()  *  getNumberOfSuccesses())  /  (double)  getPopulationSize();  }  [CLASS]  HypergeometricDistribution  [METHOD]  getNumericalMean  [RETURN_TYPE]  double  [VARIABLES]  boolean  numericalVarianceIsCalculated  double  numericalVariance  p  p1  p2  p3  q  ret  long  serialVersionUID  int  dx  k  m  n  numberOfSuccesses  populationSize  sampleSize  x  x0  x1  	projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java	0.3779644730092272	268	268	1	add	        int    k    =    getNumberOfSuccesses();    final  double  n  =  getNumberOfSuccesses();	  	compilable	  [FE]  AssertionError  testMath1021	362	1
16	[BUG]  [BUGGY]      int  k  =  getNumberOfSuccesses();  final  double  n  =  getNumberOfSuccesses();  [FE]  AssertionError  testMath1021  [CONTEXT]    public  double  getNumericalMean()  {    [BUGGY]      int  k  =  getNumberOfSuccesses();  final  double  n  =  getNumberOfSuccesses();  [BUGGY]    return  (double)  (getSampleSize()  *  getNumberOfSuccesses())  /  (double)  getPopulationSize();  }  [CLASS]  HypergeometricDistribution  [METHOD]  getNumericalMean  [RETURN_TYPE]  double  [VARIABLES]  boolean  numericalVarianceIsCalculated  double  numericalVariance  p  p1  p2  p3  q  ret  long  serialVersionUID  int  dx  k  m  n  numberOfSuccesses  populationSize  sampleSize  x  x0  x1  	projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java	0.3779644730092272	268	268	1	replace	        int    k    =    getNumberOfSuccesses();    final  double  n  =  getNumberOfSuccesses();	  	compilable	  [FE]  AssertionError  testMath1021	362	1
