projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319rebuildIndex();
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319removeValue(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319removeValue();
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319this.keys.remove(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319ArrayListkeys=(ArrayList)this.keys.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319this.values.remove(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319this.keys.clear();
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319this.values.remove(index);this.values.remove(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319this.values.remove(index);this.keys.remove(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319this.values.remove(index);ArrayListvalues=this.keys.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319ArrayListkeys=(ArrayList)this.keys.get(index);ArrayListkeys=(ArrayList)this.keys.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319ArrayListkeys=(ArrayList)this.keys.get(index);ArrayListkeys=(ArrayList)this.values.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319removeValue(index);removeValue(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319removeValue(index);ArrayListvalues=this.values.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319removeValue(index);ArrayListvalues=this.keys.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319this.keys.clear();this.keys.clear();
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319this.keys.clear();ArrayListkeys=(ArrayList)this.keys.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319this.keys.clear();ArrayListkeys=(ArrayList)this.keys.get(index);this.values.clear();
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319ArrayListkeys=(ArrayList)this.values.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319removeValue(index,this.values);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319this.keys.remove(index);this.keys.remove(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319this.keys.remove(index);ArrayListkeys=(ArrayList)this.keys.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319this.keys.remove(index);ArrayListkeys=(ArrayList)this.values.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319removeValue(index,this.keys);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319removeValue(index,this.values.size());
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319this.keys.clear();ArrayListkeys=(ArrayList)this.values.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319this.keys.remove(index-1);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319ArrayListkeys=(ArrayList)this.keys.get(index);Listkeys=(ArrayList)this.keys.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319this.keys.clear();ArrayListkeys=this.keys.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319removeValue(index);this.values.remove(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319removeValue(index);ArrayListkeys=this.keys.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java319this.keys.remove(index);this.values.remove(index);
