projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[12];
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[6];
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[16];
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[1];
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[4];
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[2];
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[10];
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[256];
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[8];
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214InputStreamin=in.getInputStream();
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214in.mark(signature.length);
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214InputStreamin=this.in.getInputStream();
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214InputStreamin=getInputStream();
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214InputStreamin=newInputStream(in.getBytes());
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214InputStreamin=in.readIn();
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214byte[]signature=in.getBytes();
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[0];
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[5];
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[3];
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[10];finalbyte[]signature=newbyte[10];
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[10];finalbyte[]signature=newbyte[10);
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[10];finalbyte[]signature=newbyte[11];
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[10];Finalbyte[]signature=newbyte[10];
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[10];finalbyte[]Signature=newbyte[10];
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[10];finalbyte[]signature=newbyte[12];
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[10];finalbyte[]signature=newbyte[9];
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[256];finalbyte[]signature=newbyte[256];
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[256];Finalbyte[]signature=newbyte[256];
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[256];finalbyte[]Signature=newbyte[256];
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[256];finalbyte[]sign=newbyte[256];
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[256];byte[]signature=newbyte[256];
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[1];finalbyte[]signature=newbyte[1];
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[1];finalbyte[]signature=newbyte[2];
projects/Compress33/src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java214finalbyte[]signature=newbyte[1];finalbyte[]signature=newbyte[3];
