increase failing tests,98,replace, [FE] AlreadySelectedException testOptionGroupLong,if (selected == null || selected.equals(option.getOpt())) { ,if(selected!= null || option.equals(option.getOpt())) {
increase failing tests,98,replace, [FE] NullPointerException testOptionGroupLong,if (selected == null || selected.equals(option.getOpt())) { ,if(selected!= null || selected.equals(option.getOpt())) {
compilation error,98,replace,[CE] illegal start of type,if (selected == null || selected.equals(option.getOpt())) { , 
compilation error,32,add,[CE] class or interface expected,,  return OptionGroup.longValue();
compilation error,32,add,[CE] class or interface expected,,  return OptionGroup.LEFT;
compilation error,32,add,[CE] class or interface expected,,  return OptionGroup.valueOf(getOptions().longValue());
compilation error,32,add,[CE] class or interface expected,,  return OptionGroup.valueOf(getOptionGroup().longValue());
compilation error,32,add,[CE] class or interface expected,,  return OptionGroup.LONG;
compilation error,57,add,[CE] cannot find symbol options,,  options.put(option.getValue(), option);
compilation error,57,add,[CE] cannot find symbol option,,  optionMap.put(option.getValue(), option); this.option = option;
compilation error,57,add,[CE] cannot find symbol value,,  optionMap.put(option.getValue(), value);
increase failing tests,57,add, [FE] ClassCastException testMissingRequiredGroup,,  optionMap.put(option.getValue(), this);
increase failing tests,88,add, [FE] NullPointerException testMissingRequiredGroup,,  optionMap.put(option.getKey(), option);
compilation error,88,add,[CE] ';' expected,,  Option optionMap.put(option.getKey(), option);
increase failing tests,88,add, [FE] NullPointerException testMissingRequiredGroup,,  optionMap.remove(option.getKey());
compilation error,88,add,[CE] incompatible types,,  String selected = optionMap.get(option.getKey());
increase failing tests,88,add, [FE] NullPointerException testMissingRequiredGroup,,  this.optionMap.remove(option.getKey());
increase failing tests,113,replace, [FE] ComparisonFailure testOptionGroupLong,return selected; ,return selected!= null? null : selected;
compilation error,113,replace,[CE] incompatible types for ?: neither is a subtype of the other,return selected; ,return selected == null? this : selected;
compilation error,113,replace,[CE] missing return statement,return selected; , 
increase failing tests,113,add, [FE] junit.framework.ComparisonFailure: selected option expected:<[bar]> but was:<[[bar testOptionGroupLong,,  String selected = optionMap.keySet().toString();
increase failing tests,113,add, [FE] junit.framework.ComparisonFailure: selected option expected:<[bar]> but was:<[[bar testOptionGroupLong,,  String selected = optionMap.keySet().toString(); required = true;
compilation error,113,add,[CE] cannot find symbol,,  String selected = optionMap.getSelected();
compilation error,113,add,[CE] incompatible types,,  String selected = optionMap.get("selected");
compilation error,113,add,[CE] incompatible types,,  String selected = optionMap.keySet();
compilation error,106,add,[CE] class or interface expected,,  if(selected.equals(option.getLongOpt())) throw new IllegalArgumentException(""); }
compilation error,106,add,[CE] cannot find symbol map,,  if(selected.equals(option.getLongOpt())) { map.put(option.getKey(), option); } else { setSelected(selected); }
compilation error,100,replace,[CE] cannot find symbol,selected = option.getOpt(); ,selected = option.getSelected();
increase failing tests,100,replace, [FE] ComparisonFailure testOptionGroupLong,selected = option.getOpt(); , 
increase failing tests,76,add, [FE] StackOverflowError testMissingRequiredGroup,,  optionMap.remove(getOptions());
compilation error,76,add,[CE] cannot find symbol,,  optionMap.remove(getKey());
compilation error,76,add,[CE] method put in interface Map cannot be applied to given types;,,  optionMap.put("Option", true);
compilation error,57,replace,[CE] incompatible types for ?: neither is a subtype of the other,return this; ,return(option.getValue() == null)? this : option;
compilation error,57,replace,[CE] cannot find symbol,return this; ,return(option.hasOption(option))? this : null;
compilation error,57,replace,[CE] cannot find symbol,return this; ,return(option.hasOption(option))? this : option;
increase failing tests,88,replace, [FE] ComparisonFailure testOptionGroupLong,if (option == null) { ,if(option == null || option.getOpt()!= null) {
compilation error,88,replace,[CE] cannot find symbol,if (option == null) { ,if(option == null || optionMap.hasOption(option)) {
compilation error,98,add,[CE] illegal start of expression,,  if(optionMap.containsKey(option.getKey())) { if(selected.equals(option.getLongOpt())) { return; }
compilation error,98,add,[CE] illegal start of expression,,  if(optionMap.containsKey(option.getKey())) { if(!selected.equals(option.getLongOpt())) { return; }
compilation error,98,add,[CE] illegal start of expression,,  if(optionMap.containsKey(option.getKey())) { if(selected.equals(option.getValue())) { return; }
compilation error,98,add,[CE] illegal start of expression,,  if(optionMap.containsKey(option.getKey())) { if(!selected.equals(option.getValue())) { return; }
compilation error,100,add,[CE] ';' expected,,  Option optionMap.put(option.getKey(), option);
compilation error,37,replace,[CE] cannot find symbol optionMap,private Map optionMap = new HashMap(); , 
compilation error,55,add,[CE] cannot find symbol OptionMap,,  OptionMap.put(option.getValue(), option);
compilation error,55,add,[CE] cannot find symbol,,  optionMap.put(option.getLongValue(), option);
compilation error,55,add,[CE] incompatible types,,  option = option.getValue();
compilation error,55,add,[CE] cannot find symbol,,  option = option.getOption();
compilation error,37,add,[CE] <identifier> expected,,  optionMap = new HashMap();
compilation error,37,add,[CE] <identifier> expected,,  optionMap.put(OptionGroup.LONG, true);
compilation error,37,add,[CE] illegal start of type,,  return new HashMap();
compilation error,37,add,[CE] <identifier> expected,,  optionMap.put(OptionGroup.LONG_ROOT, true);
compilation error,37,add,[CE] illegal start of type,,  return optionMap.values();
