projects/Closure3/src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java148newNodeTraversal(compiler,newGatherCandiates()).traverse(t.getScopeRoot().getLastChild());
projects/Closure3/src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java148newNodeTraversal(compiler,candidates).traverse(t.getScopeRoot().getLastChild());
projects/Closure3/src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java148newNodeTraversal(compiler,newGatherCandiates()).traverse(t.getScopeRoot().getFirstChild());
projects/Closure3/src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java148newNodeTraversal(compiler,newGatherCandiates()).traverse(t.getScopeRoot().getLastChild(),candidates);
projects/Closure3/src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java148newNodeTraversal(compiler,newGatherCandiates()).traverse(cfg,t.getScopeRoot().getLastChild());
projects/Closure3/src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java148newNodeTraversal(compiler,newGatherCandiates()).traverse(null,t.getScopeRoot().getLastChild());
projects/Closure3/src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java148newNodeTraversal(compiler,newGatherCandiates()).traverse(t.getScopeRoot(),candidates);
projects/Closure3/src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java148
projects/Closure3/src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java148newNodeTraversal(compiler,newGatherCandiates()).traverse(candidates,t.getScopeRoot().getLastChild());
projects/Closure3/src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java148newNodeTraversal(compiler,newGatherCandiates()).traverse(numUseWithinUseCfgNode(t.getScopeRoot().getLastChild()));
projects/Closure3/src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java148newNodeTraversal(compiler,newGatherCandiates()).traverse(t.getScopeRoot(),t.getScopeRoot().getFirstChild());
projects/Closure3/src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java148newNodeTraversal(compiler,newGatherCandiates()).traverse(t.getScopeRoot(),t.getScopeRoot().getLastChild());
projects/Closure3/src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java148newNodeTraversal(compiler,newGatherCandiates()).traverse(t.getScopeRoot(),t.getLastChild());
projects/Closure3/src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java148newNodeTraversal(compiler,newGatherCandiates()).traverse(t.getScopeRoot(),cfg.getLastChild());
