compilation error,86,add,[CE] ';' expected, ,from.monthOfYear().get(instant),  from.weekyear().get(instant),  from.millisOfDay().get(instant));  from.weekOfWeekyear().get(instant), from.weekOfWeekyear().get(instant));
compilation error,85,replace,[CE] ';' expected, (from.year().get(instant),  from.monthOfYear().get(instant),  from.millisOfDay().get(instant),  ,(from.year().get(instant), from.monthOfYear().get(instant), from.dayOfMonth().get(instant), from.millisOfDay().get(instant));
compilation error,588,replace,[CE] ';' expected, return  convertByYear(instant,  iJulianChronology,  iGregorianChronology);  ,if(instant >= iCutover) { if(instant + iGregorianChronology > iJulianChronology) { return convertByWeekyear(instant, iGregorianChronology, iJulianChronology); }
compilation error,596,replace,[CE] cannot find symbol, return  convertByYear(instant,  iJulianChronology,  iGregorianChronology);  ,return convertByWeek(instant, iJulianChronology, iGregorianChronology);
compilation error,588,replace,[CE] cannot find symbol, return  convertByYear(instant,  iJulianChronology,  iGregorianChronology);  ,return convertByWeek(instant, iJulianChronology, iGregorianChronology);
compilation error,596,replace,[CE] cannot find symbol, return  convertByWeekyear(instant,  iJulianChronology,  iGregorianChronology);  ,return convertByWeeksInYear(instant, iJulianChronology, iGregorianChronology);
increase failing tests,106,replace, [FE] AssertionFailedError test_plusYears_negativeToPositive_crossCutover, static  final  Instant  DEFAULT_CUTOVER  =  new  Instant(-12119292800000L);  ,static final Instant DEFAULT_CUTOVER = new Instant(-128119292800000L);
compilation error,106,replace,[CE] no suitable constructor found for Instant(int,int), static  final  Instant  DEFAULT_CUTOVER  =  new  Instant(-12119292800000L);  ,static final Instant DEFAULT_CUTOVER = new Instant(-1, 1);
compilation error,588,add,[CE] ';' expected, ,return  convertByYear(instant,  iJulianChronology,  iGregorianChronology);  if(instant >= iCutover) { if(instant < iGregorianChronology) { return convertByYear(instant, iJulianChronology, iGregorianChronology); }
compilation error,96,replace,[CE] variable newInstant might not have been initialized, newInstant  =  to.weekOfWeekyear().set(0,  from.weekOfWeekyear().get(instant));  ,newInstant = to.weekyear().set(newInstant, from.weekOfWeekyear().get(instant));
compilation error,85,add,[CE] ')' expected, ,(from.year().get(instant),  from.monthOfYear().get(instant),  from.millisOfDay().get(instant),  (from.year().get(instant), from.monthOfYear().get(instant), from.dayOfMonth().get(instant), from.millisOfDay().get(instant));
compilation error,96,replace,[CE] variable newInstant might not have been initialized, newInstant  =  to.weekOfWeekyear().set(0,  from.weekOfWeekyear().get(instant));  ,newInstant = to.year().set(newInstant, from.year().get(instant - 1));
compilation error,86,add,[CE] ';' expected, ,from.monthOfYear().get(instant),  from.weekOfWeekyear().get(instant),  from.millisOfDay().get(instant));  from.monthOfYear().get(instant), from.weekOfWeekyear().get(instant), from.millisOfDay().get(instant));
