bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	failing_test_number	original_buggy	action	patch	execution_result	diagnosis	previous_bug_id	original_failing_test_number
123	[BUG]  [BUGGY]    [FE]  NoClassDefFoundError  [CONTEXT]    {  if  (PatternOptionBuilder.STRING_VALUE  ==  clazz)  {  return  str;  }    [BUGGY]  else  if(PatternOptionBuilder.OBJECT_VALUE!=  clazz)  {  [BUGGY]    {  return  createObject(str);  }  else  if  (PatternOptionBuilder.NUMBER_VALUE  ==  clazz)  {  return  createNumber(str);  }  else  if  (PatternOptionBuilder.DATE_VALUE  ==  clazz)  {  return  createDate(str);  [CLASS]  TypeHandler  [METHOD]  createValue  [RETURN_TYPE]  Object    String  str  Class  clazz  [VARIABLES]  boolean  Class  clazz  String  str    	projects/Cli3/src/java/org/apache/commons/cli/TypeHandler.java	1.0	66	67	1	add	else  if(PatternOptionBuilder.OBJECT_VALUE!=  clazz)  {	else  if  (PatternOptionBuilder.OBJECT_VALUE  ==  clazz)  {  	compilable	  [FE]  NoClassDefFoundError	7	1
124	[BUG]  [BUGGY]  else  if(PatternOptionBuilder.OBJECT_VALUE!=  clazz)  {    [FE]  NoClassDefFoundError  [CONTEXT]    {  if  (PatternOptionBuilder.STRING_VALUE  ==  clazz)  {  return  str;  }    [BUGGY]  else  if(PatternOptionBuilder.OBJECT_VALUE!=  clazz)  {  [BUGGY]    {  return  createObject(str);  }  else  if  (PatternOptionBuilder.NUMBER_VALUE  ==  clazz)  {  return  createNumber(str);  }  else  if  (PatternOptionBuilder.DATE_VALUE  ==  clazz)  {  return  createDate(str);  [CLASS]  TypeHandler  [METHOD]  createValue  [RETURN_TYPE]  Object    String  str  Class  clazz  [VARIABLES]  boolean  Class  clazz  String  str    	projects/Cli3/src/java/org/apache/commons/cli/TypeHandler.java	1.0	66	67	1	replace	else  if(PatternOptionBuilder.OBJECT_VALUE!=  clazz)  {	else  if  (PatternOptionBuilder.OBJECT_VALUE  ==  clazz)  {  	compilable	  [FE]  NoClassDefFoundError	7	1
3	[BUG]  [BUGGY]    [FE]  NoClassDefFoundError  [CONTEXT]    public  static  Object  createValue(String  str,  Object  obj)  {    [BUGGY]  return  createValue(str,  obj);  [BUGGY]    }  [CLASS]  TypeHandler  [METHOD]  createValue  [RETURN_TYPE]  Object    String  str  Object  obj  [VARIABLES]  boolean  Object  obj  String  str    	projects/Cli3/src/java/org/apache/commons/cli/TypeHandler.java	1.0	48	48	1	add	return  createValue(str,  obj);	return  createValue(str,  (Class)  obj);  	compilable	  [FE]  NoClassDefFoundError	1	1
4	[BUG]  [BUGGY]  return  createValue(str,  obj);    [FE]  NoClassDefFoundError  [CONTEXT]    public  static  Object  createValue(String  str,  Object  obj)  {    [BUGGY]  return  createValue(str,  obj);  [BUGGY]    }  [CLASS]  TypeHandler  [METHOD]  createValue  [RETURN_TYPE]  Object    String  str  Object  obj  [VARIABLES]  boolean  Object  obj  String  str    	projects/Cli3/src/java/org/apache/commons/cli/TypeHandler.java	1.0	48	48	1	replace	return  createValue(str,  obj);	return  createValue(str,  (Class)  obj);  	compilable	  [FE]  NoClassDefFoundError	1	1
442	[BUG]  [BUGGY]    [FE]  NoClassDefFoundError  [CONTEXT]    else  if  (PatternOptionBuilder.DATE_VALUE  ==  clazz)  {  return  createDate(str);  }  else  if  (PatternOptionBuilder.CLASS_VALUE  ==  clazz)  {  return  createClass(str);  }  else  if  (PatternOptionBuilder.FILE_VALUE  ==  clazz)  {    [BUGGY]  return  createFiles(str);  [BUGGY]    }  else  if  (PatternOptionBuilder.EXISTING_FILE_VALUE  ==  clazz)  {  return  createFile(str);  }  else  if  (PatternOptionBuilder.FILES_VALUE  ==  clazz)  {  return  createFiles(str);  }  else  if  (PatternOptionBuilder.URL_VALUE  ==  clazz)  [CLASS]  TypeHandler  [METHOD]  createValue  [RETURN_TYPE]  Object    String  str  Class  clazz  [VARIABLES]  boolean  Class  clazz  String  str    	projects/Cli3/src/java/org/apache/commons/cli/TypeHandler.java	1.0	84	84	1	add	return  createFiles(str);	return  createFile(str);  	compilable	  [FE]  NoClassDefFoundError	23	1
443	[BUG]  [BUGGY]  return  createFiles(str);    [FE]  NoClassDefFoundError  [CONTEXT]    else  if  (PatternOptionBuilder.DATE_VALUE  ==  clazz)  {  return  createDate(str);  }  else  if  (PatternOptionBuilder.CLASS_VALUE  ==  clazz)  {  return  createClass(str);  }  else  if  (PatternOptionBuilder.FILE_VALUE  ==  clazz)  {    [BUGGY]  return  createFiles(str);  [BUGGY]    }  else  if  (PatternOptionBuilder.EXISTING_FILE_VALUE  ==  clazz)  {  return  createFile(str);  }  else  if  (PatternOptionBuilder.FILES_VALUE  ==  clazz)  {  return  createFiles(str);  }  else  if  (PatternOptionBuilder.URL_VALUE  ==  clazz)  [CLASS]  TypeHandler  [METHOD]  createValue  [RETURN_TYPE]  Object    String  str  Class  clazz  [VARIABLES]  boolean  Class  clazz  String  str    	projects/Cli3/src/java/org/apache/commons/cli/TypeHandler.java	1.0	84	84	1	replace	return  createFiles(str);	return  createFile(str);  	compilable	  [FE]  NoClassDefFoundError	23	1
461	[BUG]  [BUGGY]    [FE]  NoClassDefFoundError  [CONTEXT]    else  if  (PatternOptionBuilder.DATE_VALUE  ==  clazz)  {  return  createDate(str);  }  else  if  (PatternOptionBuilder.CLASS_VALUE  ==  clazz)  {  return  createClass(str);  }  else  if  (PatternOptionBuilder.FILE_VALUE  ==  clazz)  {    [BUGGY]  if(PatternOptionBuilder.FILE_VALUE  ==  clazz)  {  return  createFile(str);  }  else  if(PatternOptionBuilder.EXISTING_FILE_VALUE  ==  clazz)  {  return  createFile(str);  }  [BUGGY]    return  createFile(str);  }  else  if  (PatternOptionBuilder.EXISTING_FILE_VALUE  ==  clazz)  {  return  createFile(str);  }  else  if  (PatternOptionBuilder.FILES_VALUE  ==  clazz)  {  return  createFiles(str);  }  else  if  (PatternOptionBuilder.URL_VALUE  ==  clazz)  [CLASS]  TypeHandler  [METHOD]  createValue  [RETURN_TYPE]  Object    String  str  Class  clazz  [VARIABLES]  boolean  Class  clazz  String  str    	projects/Cli3/src/java/org/apache/commons/cli/TypeHandler.java	1.0	84	84	1	add	if(PatternOptionBuilder.FILE_VALUE  ==  clazz)  {  return  createFile(str);  }  else  if(PatternOptionBuilder.EXISTING_FILE_VALUE  ==  clazz)  {  return  createFile(str);  }		compilable	  [FE]  NoClassDefFoundError	24	1
462	[BUG]  [BUGGY]  if(PatternOptionBuilder.FILE_VALUE  ==  clazz)  {  return  createFile(str);  }  else  if(PatternOptionBuilder.EXISTING_FILE_VALUE  ==  clazz)  {  return  createFile(str);  }    [FE]  NoClassDefFoundError  [CONTEXT]    else  if  (PatternOptionBuilder.DATE_VALUE  ==  clazz)  {  return  createDate(str);  }  else  if  (PatternOptionBuilder.CLASS_VALUE  ==  clazz)  {  return  createClass(str);  }  else  if  (PatternOptionBuilder.FILE_VALUE  ==  clazz)  {    [BUGGY]  if(PatternOptionBuilder.FILE_VALUE  ==  clazz)  {  return  createFile(str);  }  else  if(PatternOptionBuilder.EXISTING_FILE_VALUE  ==  clazz)  {  return  createFile(str);  }  [BUGGY]    return  createFile(str);  }  else  if  (PatternOptionBuilder.EXISTING_FILE_VALUE  ==  clazz)  {  return  createFile(str);  }  else  if  (PatternOptionBuilder.FILES_VALUE  ==  clazz)  {  return  createFiles(str);  }  else  if  (PatternOptionBuilder.URL_VALUE  ==  clazz)  [CLASS]  TypeHandler  [METHOD]  createValue  [RETURN_TYPE]  Object    String  str  Class  clazz  [VARIABLES]  boolean  Class  clazz  String  str    	projects/Cli3/src/java/org/apache/commons/cli/TypeHandler.java	1.0	84	84	1	replace	if(PatternOptionBuilder.FILE_VALUE  ==  clazz)  {  return  createFile(str);  }  else  if(PatternOptionBuilder.EXISTING_FILE_VALUE  ==  clazz)  {  return  createFile(str);  }		compilable	  [FE]  NoClassDefFoundError	24	1
463	[BUG]  [BUGGY]    [FE]  NoClassDefFoundError  [CONTEXT]    else  if  (PatternOptionBuilder.DATE_VALUE  ==  clazz)  {  return  createDate(str);  }  else  if  (PatternOptionBuilder.CLASS_VALUE  ==  clazz)  {  return  createClass(str);  }  else  if  (PatternOptionBuilder.FILE_VALUE  ==  clazz)  {    [BUGGY]  if(PatternOptionBuilder.EXISTING_FILE_VALUE  ==  clazz)  {  return  createFile(str);  }  else  if(PatternOptionBuilder.URL_VALUE  ==  clazz)  {  return  createURL(str);  }  [BUGGY]    return  createFile(str);  }  else  if  (PatternOptionBuilder.EXISTING_FILE_VALUE  ==  clazz)  {  return  createFile(str);  }  else  if  (PatternOptionBuilder.FILES_VALUE  ==  clazz)  {  return  createFiles(str);  }  else  if  (PatternOptionBuilder.URL_VALUE  ==  clazz)  [CLASS]  TypeHandler  [METHOD]  createValue  [RETURN_TYPE]  Object    String  str  Class  clazz  [VARIABLES]  boolean  Class  clazz  String  str    	projects/Cli3/src/java/org/apache/commons/cli/TypeHandler.java	1.0	84	84	1	add	if(PatternOptionBuilder.EXISTING_FILE_VALUE  ==  clazz)  {  return  createFile(str);  }  else  if(PatternOptionBuilder.URL_VALUE  ==  clazz)  {  return  createURL(str);  }		compilable	  [FE]  NoClassDefFoundError	24	1
464	[BUG]  [BUGGY]  if(PatternOptionBuilder.EXISTING_FILE_VALUE  ==  clazz)  {  return  createFile(str);  }  else  if(PatternOptionBuilder.URL_VALUE  ==  clazz)  {  return  createURL(str);  }    [FE]  NoClassDefFoundError  [CONTEXT]    else  if  (PatternOptionBuilder.DATE_VALUE  ==  clazz)  {  return  createDate(str);  }  else  if  (PatternOptionBuilder.CLASS_VALUE  ==  clazz)  {  return  createClass(str);  }  else  if  (PatternOptionBuilder.FILE_VALUE  ==  clazz)  {    [BUGGY]  if(PatternOptionBuilder.EXISTING_FILE_VALUE  ==  clazz)  {  return  createFile(str);  }  else  if(PatternOptionBuilder.URL_VALUE  ==  clazz)  {  return  createURL(str);  }  [BUGGY]    return  createFile(str);  }  else  if  (PatternOptionBuilder.EXISTING_FILE_VALUE  ==  clazz)  {  return  createFile(str);  }  else  if  (PatternOptionBuilder.FILES_VALUE  ==  clazz)  {  return  createFiles(str);  }  else  if  (PatternOptionBuilder.URL_VALUE  ==  clazz)  [CLASS]  TypeHandler  [METHOD]  createValue  [RETURN_TYPE]  Object    String  str  Class  clazz  [VARIABLES]  boolean  Class  clazz  String  str    	projects/Cli3/src/java/org/apache/commons/cli/TypeHandler.java	1.0	84	84	1	replace	if(PatternOptionBuilder.EXISTING_FILE_VALUE  ==  clazz)  {  return  createFile(str);  }  else  if(PatternOptionBuilder.URL_VALUE  ==  clazz)  {  return  createURL(str);  }		compilable	  [FE]  NoClassDefFoundError	24	1
