bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	failing_test_number	patch
1	[BUG] [BUGGY] else if (w == LengthConstraintType.FIXED) { [FE] double) [CONTEXT] if (h == LengthConstraintType.NONE) { contentSize = arrangeNN(container, g2); } else if (h == LengthConstraintType.FIXED) { throw new RuntimeException("Not implemented."); } else if (h == LengthConstraintType.RANGE) { throw new RuntimeException("Not implemented."); } } [BUGGY] else if (w == LengthConstraintType.FIXED) { [BUGGY] if (h == LengthConstraintType.NONE) { contentSize = arrangeFN(container, g2, constraint.getWidth()); } else if (h == LengthConstraintType.FIXED) { contentSize = arrangeFF(container, g2, constraint); } else if (h == LengthConstraintType.RANGE) { contentSize = arrangeFR(container, g2, constraint); } } [CLASS] BorderArrangement [METHOD] arrange [RETURN_TYPE] Size2D  BlockContainer container Graphics2D g2 RectangleConstraint constraint [VARIABLES] Size2D contentSize boolean BlockContainer container LengthConstraintType h w Block block bottomBlock centerBlock leftBlock rightBlock topBlock RectangleConstraint constraint contentConstraint long serialVersionUID Graphics2D g2  	projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java	1.0	147	147	1	
2	[BUG] [BUGGY] if (h == LengthConstraintType.NONE) { [FE] double) [CONTEXT] contentSize = arrangeNN(container, g2); } else if (h == LengthConstraintType.FIXED) { throw new RuntimeException("Not implemented."); } else if (h == LengthConstraintType.RANGE) { throw new RuntimeException("Not implemented."); } } else if (w == LengthConstraintType.FIXED) { [BUGGY] if (h == LengthConstraintType.NONE) { [BUGGY] contentSize = arrangeFN(container, g2, constraint.getWidth()); } else if (h == LengthConstraintType.FIXED) { contentSize = arrangeFF(container, g2, constraint); } else if (h == LengthConstraintType.RANGE) { contentSize = arrangeFR(container, g2, constraint); } } else if (w == LengthConstraintType.RANGE) { [CLASS] BorderArrangement [METHOD] arrange [RETURN_TYPE] Size2D  BlockContainer container Graphics2D g2 RectangleConstraint constraint [VARIABLES] Size2D contentSize boolean BlockContainer container LengthConstraintType h w Block block bottomBlock centerBlock leftBlock rightBlock topBlock RectangleConstraint constraint contentConstraint long serialVersionUID Graphics2D g2  	projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java	1.0	148	148	1	
3	[BUG] [BUGGY] contentSize = arrangeFN(container, g2, constraint.getWidth()); [FE] double) [CONTEXT] } else if (h == LengthConstraintType.FIXED) { throw new RuntimeException("Not implemented."); } else if (h == LengthConstraintType.RANGE) { throw new RuntimeException("Not implemented."); } } else if (w == LengthConstraintType.FIXED) { if (h == LengthConstraintType.NONE) { [BUGGY] contentSize = arrangeFN(container, g2, constraint.getWidth()); [BUGGY] } else if (h == LengthConstraintType.FIXED) { contentSize = arrangeFF(container, g2, constraint); } else if (h == LengthConstraintType.RANGE) { contentSize = arrangeFR(container, g2, constraint); } } else if (w == LengthConstraintType.RANGE) { if (h == LengthConstraintType.NONE) { [CLASS] BorderArrangement [METHOD] arrange [RETURN_TYPE] Size2D  BlockContainer container Graphics2D g2 RectangleConstraint constraint [VARIABLES] Size2D contentSize boolean BlockContainer container LengthConstraintType h w Block block bottomBlock centerBlock leftBlock rightBlock topBlock RectangleConstraint constraint contentConstraint long serialVersionUID Graphics2D g2  	projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java	1.0	149	149	1	
4	[BUG] [BUGGY] else if (h == LengthConstraintType.FIXED) { [FE] double) [CONTEXT] throw new RuntimeException("Not implemented."); } else if (h == LengthConstraintType.RANGE) { throw new RuntimeException("Not implemented."); } } else if (w == LengthConstraintType.FIXED) { if (h == LengthConstraintType.NONE) { contentSize = arrangeFN(container, g2, constraint.getWidth()); } [BUGGY] else if (h == LengthConstraintType.FIXED) { [BUGGY] contentSize = arrangeFF(container, g2, constraint); } else if (h == LengthConstraintType.RANGE) { contentSize = arrangeFR(container, g2, constraint); } } else if (w == LengthConstraintType.RANGE) { if (h == LengthConstraintType.NONE) { throw new RuntimeException("Not implemented."); } [CLASS] BorderArrangement [METHOD] arrange [RETURN_TYPE] Size2D  BlockContainer container Graphics2D g2 RectangleConstraint constraint [VARIABLES] Size2D contentSize boolean BlockContainer container LengthConstraintType h w Block block bottomBlock centerBlock leftBlock rightBlock topBlock RectangleConstraint constraint contentConstraint long serialVersionUID Graphics2D g2  	projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java	1.0	151	151	1	
5	[BUG] [BUGGY] contentSize = arrangeFF(container, g2, constraint); [FE] double) [CONTEXT] } else if (h == LengthConstraintType.RANGE) { throw new RuntimeException("Not implemented."); } } else if (w == LengthConstraintType.FIXED) { if (h == LengthConstraintType.NONE) { contentSize = arrangeFN(container, g2, constraint.getWidth()); } else if (h == LengthConstraintType.FIXED) { [BUGGY] contentSize = arrangeFF(container, g2, constraint); [BUGGY] } else if (h == LengthConstraintType.RANGE) { contentSize = arrangeFR(container, g2, constraint); } } else if (w == LengthConstraintType.RANGE) { if (h == LengthConstraintType.NONE) { throw new RuntimeException("Not implemented."); } else if (h == LengthConstraintType.FIXED) { [CLASS] BorderArrangement [METHOD] arrange [RETURN_TYPE] Size2D  BlockContainer container Graphics2D g2 RectangleConstraint constraint [VARIABLES] Size2D contentSize boolean BlockContainer container LengthConstraintType h w Block block bottomBlock centerBlock leftBlock rightBlock topBlock RectangleConstraint constraint contentConstraint long serialVersionUID Graphics2D g2  	projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java	1.0	152	152	1	
6	[BUG] [BUGGY] double[] w = new double[5]; [FE] double) [CONTEXT] double width) { [BUGGY] double[] w = new double[5]; [BUGGY] double[] h = new double[5]; RectangleConstraint c1 = new RectangleConstraint(width, null, LengthConstraintType.FIXED, 0.0, null, LengthConstraintType.NONE); if (this.topBlock != null) { Size2D size = this.topBlock.arrange(g2, c1); w[0] = size.width; h[0] = size.height; } if (this.bottomBlock != null) { [CLASS] BorderArrangement [METHOD] arrangeFN [RETURN_TYPE] Size2D  BlockContainer container Graphics2D g2 double width [VARIABLES] Size2D size boolean double[] h w BlockContainer container double height maxW width Block block bottomBlock centerBlock leftBlock rightBlock topBlock RectangleConstraint c1 c2 c3 c4 long serialVersionUID Graphics2D g2  	projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java	1.0	277	277	1	
7	[BUG] [BUGGY] double[] h = new double[5]; [FE] double) [CONTEXT] double width) { double[] w = new double[5]; [BUGGY] double[] h = new double[5]; [BUGGY] RectangleConstraint c1 = new RectangleConstraint(width, null, LengthConstraintType.FIXED, 0.0, null, LengthConstraintType.NONE); if (this.topBlock != null) { Size2D size = this.topBlock.arrange(g2, c1); w[0] = size.width; h[0] = size.height; } if (this.bottomBlock != null) { Size2D size = this.bottomBlock.arrange(g2, c1); [CLASS] BorderArrangement [METHOD] arrangeFN [RETURN_TYPE] Size2D  BlockContainer container Graphics2D g2 double width [VARIABLES] Size2D size boolean double[] h w BlockContainer container double height maxW width Block block bottomBlock centerBlock leftBlock rightBlock topBlock RectangleConstraint c1 c2 c3 c4 long serialVersionUID Graphics2D g2  	projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java	1.0	278	278	1	
8	[BUG] [BUGGY] RectangleConstraint c1 = new RectangleConstraint(width, null,  LengthConstraintType.FIXED, 0.0, null,  LengthConstraintType.NONE); [FE] double) [CONTEXT] double width) { double[] w = new double[5]; double[] h = new double[5]; [BUGGY] RectangleConstraint c1 = new RectangleConstraint(width, null,        LengthConstraintType.FIXED, 0.0, null,        LengthConstraintType.NONE); [BUGGY] LengthConstraintType.FIXED, 0.0, null, LengthConstraintType.NONE); if (this.topBlock != null) { Size2D size = this.topBlock.arrange(g2, c1); w[0] = size.width; h[0] = size.height; } if (this.bottomBlock != null) { Size2D size = this.bottomBlock.arrange(g2, c1); w[1] = size.width; [CLASS] BorderArrangement [METHOD] arrangeFN [RETURN_TYPE] Size2D  BlockContainer container Graphics2D g2 double width [VARIABLES] Size2D size boolean double[] h w BlockContainer container double height maxW width Block block bottomBlock centerBlock leftBlock rightBlock topBlock RectangleConstraint c1 c2 c3 c4 long serialVersionUID Graphics2D g2  	projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java	1.0	279	281	1	
9	[BUG] [BUGGY] if (this.topBlock != null) { [FE] double) [CONTEXT] double width) { double[] w = new double[5]; double[] h = new double[5]; RectangleConstraint c1 = new RectangleConstraint(width, null, LengthConstraintType.FIXED, 0.0, null, LengthConstraintType.NONE); [BUGGY] if (this.topBlock != null) { [BUGGY] Size2D size = this.topBlock.arrange(g2, c1); w[0] = size.width; h[0] = size.height; } if (this.bottomBlock != null) { Size2D size = this.bottomBlock.arrange(g2, c1); w[1] = size.width; h[1] = size.height; } RectangleConstraint c2 = new RectangleConstraint(0.0, [CLASS] BorderArrangement [METHOD] arrangeFN [RETURN_TYPE] Size2D  BlockContainer container Graphics2D g2 double width [VARIABLES] Size2D size boolean double[] h w BlockContainer container double height maxW width Block block bottomBlock centerBlock leftBlock rightBlock topBlock RectangleConstraint c1 c2 c3 c4 long serialVersionUID Graphics2D g2  	projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java	1.0	282	282	1	
10	[BUG] [BUGGY] if (this.bottomBlock != null) { [FE] double) [CONTEXT] double[] w = new double[5]; double[] h = new double[5]; RectangleConstraint c1 = new RectangleConstraint(width, null, LengthConstraintType.FIXED, 0.0, null, LengthConstraintType.NONE); if (this.topBlock != null) { Size2D size = this.topBlock.arrange(g2, c1); w[0] = size.width; h[0] = size.height; } [BUGGY] if (this.bottomBlock != null) { [BUGGY] Size2D size = this.bottomBlock.arrange(g2, c1); w[1] = size.width; h[1] = size.height; } RectangleConstraint c2 = new RectangleConstraint(0.0, new Range(0.0, width), LengthConstraintType.RANGE, 0.0, null, LengthConstraintType.NONE); if (this.leftBlock != null) { Size2D size = this.leftBlock.arrange(g2, c2); w[2] = size.width; [CLASS] BorderArrangement [METHOD] arrangeFN [RETURN_TYPE] Size2D  BlockContainer container Graphics2D g2 double width [VARIABLES] Size2D size boolean double[] h w BlockContainer container double height maxW width Block block bottomBlock centerBlock leftBlock rightBlock topBlock RectangleConstraint c1 c2 c3 c4 long serialVersionUID Graphics2D g2  	projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java	1.0	287	287	1	
