patch is same with buggy,,LengthConstraintType h = contentConstraint.getHeightConstraintType(); ,LengthConstraintType h = contentConstraint.getHeightConstraintType();
compilation error,[CE] cannot find symbol contentsConstraint,LengthConstraintType h = contentConstraint.getHeightConstraintType(); ,LengthConstraintType h = contentsConstraint.getHeightConstraintType();
compilation error,[CE] cannot find symbol,LengthConstraintType h = contentConstraint.getHeightConstraintType(); ,LengthConstraintType h = contentConstraint.getheightConstraintType();
compilation error,[CE] variable w is already defined in method arrange(BlockContainer,Graphics2D,RectangleConstraint),LengthConstraintType h = contentConstraint.getHeightConstraintType(); ,LengthConstraintType w = contentConstraint.getHeightConstraintType();
compilation error,[CE] cannot find symbol,LengthConstraintType h = contentConstraint.getHeightConstraintType(); ,LesngthConstraintType h = contentConstraint.getHeightConstraintType();
compilation error,[CE] cannot find symbol,LengthConstraintType h = contentConstraint.getHeightConstraintType(); ,lengthConstraintType h = contentConstraint.getHeightConstraintType();
compilation error,[CE] cannot find symbol,LengthConstraintType h = contentConstraint.getHeightConstraintType(); ,LengthConstraintType h = contentConstraint.getHEightConstraintType();
compilation error,[CE] cannot find symbol,LengthConstraintType h = contentConstraint.getHeightConstraintType(); ,LengthConstraintType h = contentConstraint.getWeightConstraintType();
compilation error,[CE] cannot find symbol,LengthConstraintType h = contentConstraint.getHeightConstraintType(); ,LengthConstraintType h = contentConstraint.getHightConstraintType();
patch is same with buggy,,Size2D size = this.leftBlock.arrange(g2, c3); ,Size2D size = this.leftBlock.arrange(g2, c3);
patch is same with buggy,,Size2D size = this.leftBlock.arrange(g2, c3); ,Size 2D size = this.leftBlock.arrange(g2, c3);
compilation error,[CE] package the does not exist,Size2D size = this.leftBlock.arrange(g2, c3); ,Size2D size = the.leftBlock.arrange(g2, c3);
compilation error,[CE] cannot find symbol,Size2D size = this.leftBlock.arrange(g2, c3); ,size2D size = this.leftBlock.arrange(g2, c3);
patch is same with buggy,,Size2D size = this.leftBlock.arrange(g2, c3); ,Size2D size =this.leftBlock.arrange(g2, c3);
compilation error,[CE] package a does not exist,Size2D size = this.leftBlock.arrange(g2, c3); ,Size2D size = a.leftBlock.arrange(g2, c3);
