projects/Chart6/source/org/jfree/chart/util/ShapeList.java133
projects/Chart6/source/org/jfree/chart/util/ShapeList.java133stream.defaultWriteObject();
projects/Chart6/source/org/jfree/chart/util/ShapeList.java133SerialUtilities.writeShape(shape,stream);
projects/Chart6/source/org/jfree/chart/util/ShapeList.java133SerialUtilities.writeShape(this.shape,stream);
projects/Chart6/source/org/jfree/chart/util/ShapeList.java133stream.writeInt(-1);
projects/Chart6/source/org/jfree/chart/util/ShapeList.java133SerialUtilities.writeShape(stream,stream);
projects/Chart6/source/org/jfree/chart/util/ShapeList.java133stream.writeObject();
projects/Chart6/source/org/jfree/chart/util/ShapeList.java133stream.writeInt(0);
projects/Chart6/source/org/jfree/chart/util/ShapeList.java133stream.writeInt(-1);stream.writeInt(-1);
projects/Chart6/source/org/jfree/chart/util/ShapeList.java133stream.writeInt(-1);SerialUtilities.writeShape(stream,-1);
projects/Chart6/source/org/jfree/chart/util/ShapeList.java133stream.writeInt(-1);SerialUtilities.writeShape(shape,stream);
projects/Chart6/source/org/jfree/chart/util/ShapeList.java133stream.defaultWriteObject();stream.defaultWriteObject();
projects/Chart6/source/org/jfree/chart/util/ShapeList.java133stream.defaultWriteObject();SerialUtilities.writeShape(this.shape,stream);
projects/Chart6/source/org/jfree/chart/util/ShapeList.java133stream.defaultWriteObject();SerialUtilities.writeShape(stream);
projects/Chart6/source/org/jfree/chart/util/ShapeList.java133stream.writeInt(-1);SerialUtilities.writeShape(stream,stream);
projects/Chart6/source/org/jfree/chart/util/ShapeList.java133stream.defaultWriteObject();SerialUtilities.writeShape(stream,stream);
projects/Chart6/source/org/jfree/chart/util/ShapeList.java133stream.writeInt(size());
projects/Chart6/source/org/jfree/chart/util/ShapeList.java133stream.defaultWriteObject();SerialUtilities.writeShape(this,stream);
projects/Chart6/source/org/jfree/chart/util/ShapeList.java133stream.writeInt(-1);SerialUtilities.writeShape(stream);
