bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	failing_test_number	action	patch
1	[BUG] [BUGGY] return createValue(str, (Class) obj); [FE] NoClassDefFoundError testSimplePattern [CONTEXT] public static Object createValue(String str, Object obj) { [BUGGY] return createValue(str, (Class) obj); [BUGGY] } [CLASS] TypeHandler [METHOD] createValue [RETURN_TYPE] Object  String str Object obj [VARIABLES] boolean Object obj String str  	projects/Cli3/src/java/org/apache/commons/cli/TypeHandler.java	1.0	48	48	1	replace	
2	[BUG] [BUGGY] [FE] NoClassDefFoundError testSimplePattern [CONTEXT] public static Object createValue(String str, Object obj) { [BUGGY] [BUGGY] return createValue(str, (Class) obj); } [CLASS] TypeHandler [METHOD] createValue [RETURN_TYPE] Object  String str Object obj [VARIABLES] boolean Object obj String str  	projects/Cli3/src/java/org/apache/commons/cli/TypeHandler.java	1.0	48	48	1	add	
3	[BUG] [BUGGY] if (PatternOptionBuilder.STRING_VALUE == clazz) { [FE] NoClassDefFoundError testSimplePattern [CONTEXT] { [BUGGY] if (PatternOptionBuilder.STRING_VALUE == clazz)  { [BUGGY] { return str; } else if (PatternOptionBuilder.OBJECT_VALUE == clazz) { return createObject(str); } else if (PatternOptionBuilder.NUMBER_VALUE == clazz) { return createNumber(str); [CLASS] TypeHandler [METHOD] createValue [RETURN_TYPE] Object  String str Class clazz [VARIABLES] boolean Class clazz String str  	projects/Cli3/src/java/org/apache/commons/cli/TypeHandler.java	1.0	62	63	1	replace	
4	[BUG] [BUGGY] [FE] NoClassDefFoundError testSimplePattern [CONTEXT] { [BUGGY] [BUGGY] if (PatternOptionBuilder.STRING_VALUE == clazz)  { { return str; } else if (PatternOptionBuilder.OBJECT_VALUE == clazz) { return createObject(str); } else if (PatternOptionBuilder.NUMBER_VALUE == clazz) { return createNumber(str); [CLASS] TypeHandler [METHOD] createValue [RETURN_TYPE] Object  String str Class clazz [VARIABLES] boolean Class clazz String str  	projects/Cli3/src/java/org/apache/commons/cli/TypeHandler.java	1.0	62	63	1	add	
5	[BUG] [BUGGY] return str; [FE] NoClassDefFoundError testSimplePattern [CONTEXT] { if (PatternOptionBuilder.STRING_VALUE == clazz) { [BUGGY] return str; [BUGGY] } else if (PatternOptionBuilder.OBJECT_VALUE == clazz) { return createObject(str); } else if (PatternOptionBuilder.NUMBER_VALUE == clazz) { return createNumber(str); } else if (PatternOptionBuilder.DATE_VALUE == clazz) [CLASS] TypeHandler [METHOD] createValue [RETURN_TYPE] Object  String str Class clazz [VARIABLES] boolean Class clazz String str  	projects/Cli3/src/java/org/apache/commons/cli/TypeHandler.java	1.0	64	64	1	replace	
6	[BUG] [BUGGY] [FE] NoClassDefFoundError testSimplePattern [CONTEXT] { if (PatternOptionBuilder.STRING_VALUE == clazz) { [BUGGY] [BUGGY] return str; } else if (PatternOptionBuilder.OBJECT_VALUE == clazz) { return createObject(str); } else if (PatternOptionBuilder.NUMBER_VALUE == clazz) { return createNumber(str); } else if (PatternOptionBuilder.DATE_VALUE == clazz) [CLASS] TypeHandler [METHOD] createValue [RETURN_TYPE] Object  String str Class clazz [VARIABLES] boolean Class clazz String str  	projects/Cli3/src/java/org/apache/commons/cli/TypeHandler.java	1.0	64	64	1	add	
7	[BUG] [BUGGY] else if (PatternOptionBuilder.OBJECT_VALUE == clazz) { [FE] NoClassDefFoundError testSimplePattern [CONTEXT] { if (PatternOptionBuilder.STRING_VALUE == clazz) { return str; } [BUGGY] else if (PatternOptionBuilder.OBJECT_VALUE == clazz)  { [BUGGY] { return createObject(str); } else if (PatternOptionBuilder.NUMBER_VALUE == clazz) { return createNumber(str); } else if (PatternOptionBuilder.DATE_VALUE == clazz) { return createDate(str); [CLASS] TypeHandler [METHOD] createValue [RETURN_TYPE] Object  String str Class clazz [VARIABLES] boolean Class clazz String str  	projects/Cli3/src/java/org/apache/commons/cli/TypeHandler.java	1.0	66	67	1	replace	
8	[BUG] [BUGGY] [FE] NoClassDefFoundError testSimplePattern [CONTEXT] { if (PatternOptionBuilder.STRING_VALUE == clazz) { return str; } [BUGGY] [BUGGY] else if (PatternOptionBuilder.OBJECT_VALUE == clazz)  { { return createObject(str); } else if (PatternOptionBuilder.NUMBER_VALUE == clazz) { return createNumber(str); } else if (PatternOptionBuilder.DATE_VALUE == clazz) { return createDate(str); [CLASS] TypeHandler [METHOD] createValue [RETURN_TYPE] Object  String str Class clazz [VARIABLES] boolean Class clazz String str  	projects/Cli3/src/java/org/apache/commons/cli/TypeHandler.java	1.0	66	67	1	add	
9	[BUG] [BUGGY] return createObject(str); [FE] NoClassDefFoundError testSimplePattern [CONTEXT] { if (PatternOptionBuilder.STRING_VALUE == clazz) { return str; } else if (PatternOptionBuilder.OBJECT_VALUE == clazz) { [BUGGY] return createObject(str); [BUGGY] } else if (PatternOptionBuilder.NUMBER_VALUE == clazz) { return createNumber(str); } else if (PatternOptionBuilder.DATE_VALUE == clazz) { return createDate(str); } else if (PatternOptionBuilder.CLASS_VALUE == clazz) [CLASS] TypeHandler [METHOD] createValue [RETURN_TYPE] Object  String str Class clazz [VARIABLES] boolean Class clazz String str  	projects/Cli3/src/java/org/apache/commons/cli/TypeHandler.java	1.0	68	68	1	replace	
10	[BUG] [BUGGY] [FE] NoClassDefFoundError testSimplePattern [CONTEXT] { if (PatternOptionBuilder.STRING_VALUE == clazz) { return str; } else if (PatternOptionBuilder.OBJECT_VALUE == clazz) { [BUGGY] [BUGGY] return createObject(str); } else if (PatternOptionBuilder.NUMBER_VALUE == clazz) { return createNumber(str); } else if (PatternOptionBuilder.DATE_VALUE == clazz) { return createDate(str); } else if (PatternOptionBuilder.CLASS_VALUE == clazz) [CLASS] TypeHandler [METHOD] createValue [RETURN_TYPE] Object  String str Class clazz [VARIABLES] boolean Class clazz String str  	projects/Cli3/src/java/org/apache/commons/cli/TypeHandler.java	1.0	68	68	1	add	
