FL_Ranking,Iteration,Time
1,1,90.53593873977661
1,1,195.61806392669678
2,1,1740.757677078247
2,1,1778.732165813446
2,1,1796.3725085258484
2,1,1813.4961063861847
2,1,1900.9750723838806
2,2,2110.7596871852875
2,2,2192.77148604393
2,2,2229.9897153377533
2,2,2319.122472524643
2,2,2435.9628632068634
2,2,2744.8790879249573
2,2,3416.5132009983063
2,2,3453.529972553253
2,2,3485.8971650600433
2,2,3930.9954183101654
2,2,4124.359823703766
4,0,7245.523206233978
4,1,7275.689893960953
4,2,8318.112198591232
4,2,8332.429294586182
4,2,8398.213132619858
4,2,8529.503658771515
5,0,8743.472036600113
5,0,8773.699856996536
46,0,40438.31931042671
46,1,40453.354135513306
46,1,40465.37118315697
46,1,40495.059364795685
46,1,40507.84473490715
46,1,40521.5404586792
46,1,40531.0672044754
46,1,40567.65282344818
46,1,40586.710227012634
46,1,40604.45360612869
46,2,40659.48000788689
46,2,40664.90008878708
46,2,40670.391010046005
46,2,40827.34353303909
46,2,40834.510519742966
46,2,40893.22060585022
46,2,40924.55847835541
46,2,40995.24175238609
46,2,41019.74953007698
46,2,41037.0396296978
46,2,41071.80528664589
46,2,41079.01008892059
