projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[0];
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[1];
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[2];
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticbyte[]NO_INTS=newbyte[0];
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[16];
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[6];
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[16];finalJsonParseExceptionex=newJsonParseException();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[16];finalJsonParseException<?>exception=null;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[16];finalJsonParseException<?>exception=newJsonParseException(JsonParseException.class);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[16];finalJsonParseException<?>exception=newJsonParseException();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[16];finalJsonParseException{
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[1];finalJsonParseException<?>exception=null;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[1];finalJsonParseException<?>exception=newJsonParseException(JsonParseException.class);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[1];finalJsonParseExceptionex=newJsonParseException();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[1];finalJsonParseException<?>exception=newJsonParseException();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[1];finalJsonParseExceptionex=newJsonParser();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[6];finalJsonParseException<?>exception=newJsonParseException(JsonParseException.class);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[6];finalJsonParseException<?>exception=null;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[6];finalJsonParseExceptionex=newJsonParseException();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[6];finalJsonParseException<?>exception=newJsonParseException();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[6];finalJsonParseExceptionex=newJsonParser();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticbyte[]NO_INTS=newbyte[0];finalJsonParseException<?>exception=null;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticbyte[]NO_INTS=newbyte[0];finalJsonParseException<?>exception=newJsonParseException(JsonParseException.class);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticbyte[]NO_INTS=newbyte[0];finalJsonParseException<?>exception=newJsonParseException(""));
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticbyte[]NO_INTS=newbyte[0];finalJsonParseExceptionex=newJsonParseException();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticbyte[]NO_INTS=newbyte[0];finalJsonParseException<?>exception=newJsonParseException();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[5];
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[10];
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67JsonParseException.class.getSimpleName();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67JsonParseException.class.getSimpleName());
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67finalJsonParseExceptionjsonParseException=newJsonParseException(JsonParseException.class);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67finalJsonParseExceptionjsonParseException=newJsonParseException();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67finalJsonParseExceptionjsonParseException=newJsonParseException(JsonParserMinimal.class);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticbyte[]NO_INTS=newbyte[1];
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticbyte[]NO_INTS=newbyte[2];
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticbyte[]NO_INTS=newbyte[6];
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[2];finalJsonParseException<?>exception=null;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[2];finalJsonParseException<?>exception=newJsonParseException(JsonParseException.class);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[2];finalJsonParseExceptionex=newJsonParseException();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[2];finalJsonParseException<?>exception=newJsonParseException();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[2];finalJsonParseExceptionex=newJsonParser();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticbyte[]NO_INTS=newbyte[16];
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67returnJsonParseException.class.getSimpleName();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67JsonParseExceptionjsonParseException=null;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67JsonParseExceptionjsonParseException=newJsonParseException();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67finalJsonParseExceptionex=newJsonParseException("JsonParseException:"+getMessage());
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67finalJsonParseExceptionex=newJsonParseException();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[2];finalJsonParseException{returnnewJsonParseException(this,NO_INTS);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[2];finalJsonParseException{returnnewJsonParseException(null);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[2];finalJsonParseException{returnnewJsonParseException(null,NO_INTS);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[2];finalJsonParseException{
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticbyte[]NO_INTS=newbyte[0];finalJsonParseException<JsonParseException>exception=null;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticbyte[]NO_INTS=newbyte[0];finalJsonParseException<?>exception=newJsonParseException(null);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticbyte[]NO_INTS=newbyte[0];finalJsonParseException{
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[1];finalJsonParseException{returnnewJsonParseException(this,NO_INTS);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[1];finalJsonParseException{returnnewJsonParseException(null);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[1];finalJsonParseException{returnnewJsonParseException(null,NO_INTS);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[1];finalJsonParseException{
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[12];
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[64];
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[16];finalJsonParseException{returnnewJsonParseException(this,NO_INTS);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[16];finalJsonParseException{returnnewJsonParseException(null);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[16];finalJsonParseException{returnnewJsonParseException(null,NO_INTS);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[6];finalJsonParseException{returnnewJsonParseException(this,NO_INTS);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[6];finalJsonParseException{returnnewJsonParseException(null);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[6];finalJsonParseException{returnnewJsonParseException(null,NO_INTS);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[6];finalJsonParseException{
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[6];finalJsonParseExceptionexception=null;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[6];finalJsonParseExceptionex=null;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67protectedfinalstaticint[]NO_INTS=newint[6];finalstaticJsonParseExceptionex=newJsonParseException("JsonParseException:");
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java67returnnewJsonParseException(getMessage());
