FL_Ranking,Iteration,Time
1,0,59.160550594329834
1,2,2336.710726737976
1,2,2954.749044418335
1,2,2971.4594078063965
1,2,2989.396996974945
1,2,3007.568886756897
1,2,3025.144465446472
1,2,3042.7653815746307
1,2,3061.227423429489
1,2,3346.431111574173
1,2,4006.5608048439026
1,2,4687.933883190155
1,2,5011.984966039658
1,2,5031.16971373558
1,2,5050.0739912986755
1,2,5072.999532699585
1,2,5091.593571424484
1,2,5109.536717414856
1,2,7376.794979810715
1,2,7394.663717031479
1,2,7412.719417333603
1,2,7431.215572595596
1,2,7453.217464923859
1,2,7470.183268785477
1,2,8460.956322669983
1,2,8480.134736061096
1,2,8499.516519546509
1,2,8524.350594043732
1,2,8543.288101196289
1,2,9118.660177469254
1,2,9137.888288974762
1,2,9157.404522895813
1,2,9183.317645788193
1,2,9202.53040599823
1,2,9222.427689552307
1,2,10218.585273504257
1,2,10240.659062862396
1,2,10261.462900876999
1,2,10283.100446462631
1,2,10310.240140914917
1,2,10820.55690741539
1,2,12174.840909957886
1,2,12195.585544109344
1,2,12216.48677778244
1,2,12237.414385795593
1,2,12262.325835704803
1,2,12425.703141212463
1,2,12445.908942937851
1,2,12472.150996685028
1,2,12493.848946809769
1,2,12515.238665342331
1,2,12535.534546852112
1,2,14621.166059732437
1,2,15749.03969669342
1,2,15769.417835474014
1,2,15790.339614868164
1,2,15810.081303358078
1,2,15829.413526058197
1,2,15849.801829099655
1,2,16443.99309039116
1,2,16464.10667347908
1,2,16485.404381990433
1,2,16506.328238487244
1,2,16527.58644104004
1,2,16548.02292895317
1,2,18144.452107667923
1,2,18164.477473020554
1,2,18190.04647874832
1,2,19478.36226630211
1,2,19498.758120775223
1,2,20831.61767601967
1,2,24095.73962378502
1,2,24114.94818663597
1,2,24272.757509231567
1,2,25573.406666755676
1,2,25599.161084651947
1,2,25619.9427652359
1,2,25640.80441403389
1,2,25662.322018623352
1,2,26123.51321530342
1,2,26425.039254665375
1,2,26446.230570793152
1,2,26465.949912786484
1,2,26486.84867811203
1,2,26512.77510857582
1,2,26532.84022450447
1,2,28422.7561712265
1,2,28443.20256471634
1,2,28469.645972967148
1,2,29046.306895256042
1,2,29470.418442726135
1,2,29550.609361886978
1,2,30182.3389210701
1,2,30272.231089115143
1,2,30418.944222211838
1,2,31041.048679351807
1,2,33010.38975906372
1,2,33126.89088177681
1,2,33187.37592601776
1,2,33209.24866294861
1,2,33627.68657326698
1,2,33691.27938556671
1,2,34310.93758106232
1,2,34330.49561738968
1,2,35189.169310092926
1,2,36090.05269241333
1,2,36823.97291326523
1,2,37429.403411626816
1,2,37993.97675323486
1,2,38193.45093655586
1,2,41363.179460048676
1,2,41381.94970059395
1,2,42960.06785106659
1,2,43192.58041739464
1,2,43212.62592172623
1,2,43232.761363983154
1,2,43304.81620192528
