projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,MAX_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(subtree,left,right);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree.cloneTree());
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right+1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right-1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMutator(subtree,left,right);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMoveChildOp(subtree,left,right);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right,MAX_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right,MISSING_A_NON_NUMBER_ERROR);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right,false);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right,1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right,0);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right,true);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right,MAX_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right,false);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right,subtree);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right,true);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right,this);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree.cloneTree(),MAX_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree.clone());
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree.cloneBinaryOperator());
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree.cloneTree(),1);
