bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testDefaultArgName  [CONTEXT]  public  boolean  hasArgName()  {  [BUGGY]    String  argName  =  getArgName();  [BUGGY]  return  argName  !=  null  &&  argName.length()  >  0;  }  [CLASS]  Option  [METHOD]  hasArgName  [RETURN_TYPE]  boolean  [VARIABLES]  boolean  hasArg  optionalArg  required  char  valuesep  Object  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  numberOfArgs  	projects/Cli31/src/main/java/org/apache/commons/cli/Option.java	0.5	328	328	1	add	    String  argName  =  getArgName();		compilable	  [FE]  ComparisonFailure  testDefaultArgName	16	1
2	[BUG]  [BUGGY]    String  argName  =  getArgName();  [FE]  ComparisonFailure  testDefaultArgName  [CONTEXT]  public  boolean  hasArgName()  {  [BUGGY]    String  argName  =  getArgName();  [BUGGY]  return  argName  !=  null  &&  argName.length()  >  0;  }  [CLASS]  Option  [METHOD]  hasArgName  [RETURN_TYPE]  boolean  [VARIABLES]  boolean  hasArg  optionalArg  required  char  valuesep  Object  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  numberOfArgs  	projects/Cli31/src/main/java/org/apache/commons/cli/Option.java	0.5	328	328	1	replace	    String  argName  =  getArgName();		compilable	  [FE]  ComparisonFailure  testDefaultArgName	16	1	add
2	[BUG]  [BUGGY]    String  argName  =(String)this.values.get(argName);  [CE]  method  get  in  interface  List  cannot  be  applied  to  given  types;  [CONTEXT]  public  boolean  hasArgName()  {  [BUGGY]    String  argName  =(String)this.values.get(argName);  [BUGGY]  return  argName  !=  null  &&  argName.length()  >  0;  }  [CLASS]  Option  [METHOD]  hasArgName  [RETURN_TYPE]  boolean  [VARIABLES]  boolean  hasArg  optionalArg  required  char  valuesep  Object  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  numberOfArgs  	projects/Cli31/src/main/java/org/apache/commons/cli/Option.java	0.5	328	328	1	replace	    String  argName  =(String)this.values.get(argName);		non-compiled	[CE]  method  get  in  interface  List  cannot  be  applied  to  given  types;	16	None	add
3	[BUG]  [BUGGY]    String  argName  =  getDefaultArgName();  [CE]  cannot  find  symbol  [CONTEXT]  public  boolean  hasArgName()  {  [BUGGY]    String  argName  =  getDefaultArgName();  [BUGGY]  return  argName  !=  null  &&  argName.length()  >  0;  }  [CLASS]  Option  [METHOD]  hasArgName  [RETURN_TYPE]  boolean  [VARIABLES]  boolean  hasArg  optionalArg  required  char  valuesep  Object  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  numberOfArgs  	projects/Cli31/src/main/java/org/apache/commons/cli/Option.java	0.5	328	328	1	replace	    String  argName  =  getDefaultArgName();		non-compiled	[CE]  cannot  find  symbol	16	None	add
4	[BUG]  [BUGGY]    String  argName  =  getValues().keySet();  [CE]  cannot  find  symbol  [CONTEXT]  public  boolean  hasArgName()  {  [BUGGY]    String  argName  =  getValues().keySet();  [BUGGY]  return  argName  !=  null  &&  argName.length()  >  0;  }  [CLASS]  Option  [METHOD]  hasArgName  [RETURN_TYPE]  boolean  [VARIABLES]  boolean  hasArg  optionalArg  required  char  valuesep  Object  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  numberOfArgs  	projects/Cli31/src/main/java/org/apache/commons/cli/Option.java	0.5	328	328	1	replace	    String  argName  =  getValues().keySet();		non-compiled	[CE]  cannot  find  symbol	16	None	add
11	[BUG]  [BUGGY]    if(name!=  null)  {  this.defaultWidth  =  defaultWidth;  }  else  {  this.defaultSyntaxPrefix  =  defaultSyntaxPrefix.setArgName(name);  }  [CE]  cannot  find  symbol  [CONTEXT]  public  void  setArgName(String  name)  {  this.defaultArgName  =  name;  [BUGGY]    if(name!=  null)  {  this.defaultWidth  =  defaultWidth;  }  else  {  this.defaultSyntaxPrefix  =  defaultSyntaxPrefix.setArgName(name);  }  [BUGGY]  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  setArgName  [RETURN_TYPE]  void  String  name  [VARIABLES]  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_LONG_OPT_SEPARATOR  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  longOptSeparator  name  newline  prefix  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  defaultDescPad  defaultLeftPad  defaultWidth  padding  width  Comparator  optionComparator  	projects/Cli31/src/main/java/org/apache/commons/cli/HelpFormatter.java	0.7071067811865475	315	315	1	replace	    if(name!=  null)  {  this.defaultWidth  =  defaultWidth;  }  else  {  this.defaultSyntaxPrefix  =  defaultSyntaxPrefix.setArgName(name);  }		non-compiled	[CE]  cannot  find  symbol	8	None	add
12	[BUG]  [BUGGY]    if(name!=  null)  {  this.defaultWidth  =  defaultWidth;  }  else  {  this.defaultSyntaxPrefix  =  defaultSyntaxPrefix.getDefaultArgName();  setDefaultArgName(name);  }  [CE]  cannot  find  symbol  [CONTEXT]  public  void  setArgName(String  name)  {  this.defaultArgName  =  name;  [BUGGY]    if(name!=  null)  {  this.defaultWidth  =  defaultWidth;  }  else  {  this.defaultSyntaxPrefix  =  defaultSyntaxPrefix.getDefaultArgName();  setDefaultArgName(name);  }  [BUGGY]  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  setArgName  [RETURN_TYPE]  void  String  name  [VARIABLES]  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_LONG_OPT_SEPARATOR  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  longOptSeparator  name  newline  prefix  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  defaultDescPad  defaultLeftPad  defaultWidth  padding  width  Comparator  optionComparator  	projects/Cli31/src/main/java/org/apache/commons/cli/HelpFormatter.java	0.7071067811865475	315	315	1	replace	    if(name!=  null)  {  this.defaultWidth  =  defaultWidth;  }  else  {  this.defaultSyntaxPrefix  =  defaultSyntaxPrefix.getDefaultArgName();  setDefaultArgName(name);  }		non-compiled	[CE]  cannot  find  symbol	8	None	add
14	[BUG]  [BUGGY]    if(name!=  null)  {  this.defaultWidth  =  defaultWidth;  }  else  {  this.defaultSyntaxPrefix  =  defaultSyntaxPrefix.getArgName();  setDefaultArgName(name);  }  [CE]  cannot  find  symbol  [CONTEXT]  public  void  setArgName(String  name)  {  this.defaultArgName  =  name;  [BUGGY]    if(name!=  null)  {  this.defaultWidth  =  defaultWidth;  }  else  {  this.defaultSyntaxPrefix  =  defaultSyntaxPrefix.getArgName();  setDefaultArgName(name);  }  [BUGGY]  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  setArgName  [RETURN_TYPE]  void  String  name  [VARIABLES]  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_LONG_OPT_SEPARATOR  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  longOptSeparator  name  newline  prefix  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  defaultDescPad  defaultLeftPad  defaultWidth  padding  width  Comparator  optionComparator  	projects/Cli31/src/main/java/org/apache/commons/cli/HelpFormatter.java	0.7071067811865475	315	315	1	replace	    if(name!=  null)  {  this.defaultWidth  =  defaultWidth;  }  else  {  this.defaultSyntaxPrefix  =  defaultSyntaxPrefix.getArgName();  setDefaultArgName(name);  }		non-compiled	[CE]  cannot  find  symbol	8	None	add
15	[BUG]  [BUGGY]    firePropertyChange( "ArgName ",  name);  [CE]  cannot  find  symbol  [CONTEXT]  public  void  setArgName(String  name)  {  this.defaultArgName  =  name;  [BUGGY]    firePropertyChange( "ArgName ",  name);  [BUGGY]  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  setArgName  [RETURN_TYPE]  void  String  name  [VARIABLES]  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_LONG_OPT_SEPARATOR  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  longOptSeparator  name  newline  prefix  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  defaultDescPad  defaultLeftPad  defaultWidth  padding  width  Comparator  optionComparator  	projects/Cli31/src/main/java/org/apache/commons/cli/HelpFormatter.java	0.7071067811865475	315	315	1	replace	    firePropertyChange( "ArgName ",  name);		non-compiled	[CE]  cannot  find  symbol	8	None	add
31	[BUG]  [BUGGY]  return  this.argName;  [CE]  non-static  variable  this  cannot  be  referenced  from  a  static  context  [CONTEXT]  public  static  OptionBuilder  hasArg()  {  OptionBuilder.numberOfArgs  =  1;  [BUGGY]  return  this.argName;  [BUGGY]  }  [CLASS]  OptionBuilder  [METHOD]  hasArg  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  optionalArg  required  OptionBuilder  instance  char  valuesep  Object  type  String  argName  description  longopt  newLongopt  int  numberOfArgs  	projects/Cli31/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.5	111	111	1	replace	return  this.argName;	return  instance;  	non-compiled	[CE]  non-static  variable  this  cannot  be  referenced  from  a  static  context	19	None	replace
32	[BUG]  [BUGGY]  return  optionBuilder;  [CE]  cannot  find  symbol  optionBuilder  [CONTEXT]  public  static  OptionBuilder  hasArg()  {  OptionBuilder.numberOfArgs  =  1;  [BUGGY]  return  optionBuilder;  [BUGGY]  }  [CLASS]  OptionBuilder  [METHOD]  hasArg  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  optionalArg  required  OptionBuilder  instance  char  valuesep  Object  type  String  argName  description  longopt  newLongopt  int  numberOfArgs  	projects/Cli31/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.5	111	111	1	replace	return  optionBuilder;	return  instance;  	non-compiled	[CE]  cannot  find  symbol  optionBuilder	19	None	replace
