projects/Compress17/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java117if(buffer[start]==''){
projects/Compress17/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java117if(start<end||buffer[start]==''){
projects/Compress17/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java117if(buffer[start]==''||buffer[end-1]==''){
projects/Compress17/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java117if(length[start]==''){
projects/Compress17/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java117if(buffer[start]==''||buffer[start]==end){
projects/Compress17/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java117if(buffer[start]==''||buffer[start-1]==''){
projects/Compress17/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java117
projects/Compress17/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java117if(buffer[start]==0){
projects/Compress17/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java117if(buffer[start]==''||end>buffer[start-1]){
projects/Compress17/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java117if(buffer[start]==''||buffer[start-1]=='-'){
projects/Compress17/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java117if(buffer[start]==''||buffer[start]=='-'){
projects/Compress17/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java117if(buffer[start]==''||buffer[start+1]=='-'){
