compilation error,96,add,[CE] bad operand types for binary operator '/', ,this.value = stroke / 2.0 * 1;
compilation error,96,add,[CE] no suitable constructor found for Double(double,Stroke,Paint,Stroke,float), ,if(this.value!= value) { this.value = value * 1.0; } else { this.value = new Double(value, stroke, outlinePaint, outlineStroke, alpha); }
compilation error,96,add,[CE] no suitable constructor found for Double(double,Stroke,Stroke,Paint,float), ,if(this.value!= value) { this.value = value * 1.0; } else { this.value = new Double(value, stroke, outlineStroke, outlinePaint, alpha); }
patch is same with buggy,96,replace,, this.value  =  value  /  2  *  1;  , 
compilation error,96,add,[CE] no suitable constructor found for Double(double,Stroke,Paint,Stroke,float), ,if(this.value!= value) { this.value = value * 1.5; } else { this.value = new Double(value, stroke, outlinePaint, outlineStroke, alpha); }
compilation error,96,add,[CE] no suitable constructor found for Double(double,Stroke,Stroke,Paint,float), ,if(this.value!= value) { this.value = value * 1.5; } else { this.value = new Double(value, stroke, outlineStroke, outlinePaint, alpha); }
compilation error,96,add,[CE] bad operand types for binary operator '/', ,this.value = stroke / 3 * stroke.doubleValue();
patch is same with buggy,96,replace,, this.value  =  value  /  2  *  1;  , 
compilation error,96,add,[CE] bad operand types for binary operator '/', ,this.value = stroke / 2 + 1;
compilation error,96,add,[CE] bad operand types for binary operator '/', ,this.value = stroke / 2 * 1;
compilation error,96,add,[CE] cannot find symbol, ,if(this.value!= value) { this.value = value * 1.0; } else { this.value = outlinePaint.getPaint(); draw(value, outlineStroke, outlinePaint, outlinePaint, alpha); }
compilation error,96,add,[CE] cannot find symbol, ,if(this.value!= value) { this.value = value * 1.0; } else { this.value = outlinePaint.getPaint(); draw(value, outlineStroke, outlinePaint, outlineStroke, alpha); }
compilation error,96,add,[CE] cannot find symbol, ,if(outlineStroke!= null) { this.value = stroke.doubleValue(); } else { this.value = outlineStroke.doubleValue(); }
compilation error,96,add,[CE] cannot find symbol, ,if(outlineStroke!= null) { this.value = outlineStroke.get(stroke); } else { this.value = new Double(value); }
compilation error,96,add,[CE] cannot find symbol, ,if(outlineStroke!= null) { this.value = stroke.doubleValue(); } else { this.value = outlineStroke.doubleValue() + stroke.doubleValue(); }
compilation error,96,add,[CE] illegal start of expression, ,if(outlineStroke!= null) { this.value = outlineStroke.getPaint(); if(outlinePaint!= null) { this.value = value / 2; }
compilation error,96,add,[CE] bad operand types for binary operator '*', ,if(this.value!= value) { this.value = value * 1.5; } else { this.value =(value * outlineStroke); }
compilation error,96,add,[CE] bad operand types for binary operator '*', ,if(this.value!= value) { this.value = value * 1.5; } else { this.value =(value * outlinePaint)? outlineStroke : paint; }
compilation error,96,add,[CE] cannot find symbol, ,if(this.value!= value) { this.value = outlineStroke.get(stroke); } else { this.value =(float)value; }
compilation error,96,add,[CE] cannot find symbol, ,if(this.value!= value) { this.value = outlineStroke.get(stroke); } else { this.value = new Double(value); }
compilation error,96,add,[CE] no suitable constructor found for ValueMarker(double,Stroke,Paint,Stroke,float), ,if(this.value!= value) { this.value = value * 1.5; } else { this.value = new ValueMarker(this.value, stroke, outlinePaint, outlineStroke, alpha); }
compilation error,96,add,[CE] no suitable constructor found for ValueMarker(ValueMarker,Stroke,Paint,Stroke,float), ,if(this.value!= value) { this.value = value * 1.5; } else { this.value = new ValueMarker(this, stroke, outlinePaint, outlineStroke, alpha); }
compilation error,96,add,[CE] no suitable constructor found for ValueMarker(double,Stroke,Paint,Stroke,float), ,if(this.value!= value) { this.value = value * 1.0; } else { this.value = new ValueMarker(value, stroke, outlinePaint, outlineStroke, alpha); }
compilation error,96,add,[CE] no suitable constructor found for ValueMarker(double,Stroke,Stroke,Paint,float), ,if(this.value!= value) { this.value = value * 1.0; } else { this.value = new ValueMarker(value, stroke, outlineStroke, outlinePaint, alpha); }
compilation error,96,add,[CE] incompatible types, ,if(this.value!= alpha) { this.value = new Double(value); } else { this.value = new Double(value, stroke, outlinePaint, outlineStroke, alpha); }
compilation error,96,add,[CE] no suitable constructor found for ValueMarker(double,Stroke,Paint,Stroke,float), ,if(this.value!= alpha) { this.value = new ValueMarker(this.value, stroke, outlinePaint, outlineStroke, alpha); } else { this.value = new Double(value); }
compilation error,96,replace,[CE] ';' expected, this.value  =  value  /  2.0  *  1;  ,this.value = value / 2.0, alpha;
compilation error,96,add,[CE] no suitable constructor found for ValueMarker(double,Stroke,Paint,Stroke,float), ,if(this.value!= 0.0) { this.value = new ValueMarker(this.value, stroke, outlinePaint, outlineStroke, alpha); } else { this.value = new Double(value); }
