bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	failing_test_number	action	patch
1	[BUG] [BUGGY] return this.charset; [FE] DecoderException [CONTEXT] public String getDefaultCharset() { [BUGGY] return this.charset; [BUGGY] } [CLASS] QuotedPrintableCodec [METHOD] getDefaultCharset [RETURN_TYPE] String  [VARIABLES] BitSet PRINTABLE_CHARS printable String charset pString boolean byte ESCAPE_CHAR SPACE TAB c  	projects/Codec11/src/main/java/org/apache/commons/codec/net/QuotedPrintableCodec.java	0.5773502691896257	405	405	5	replace	
2	[BUG] [BUGGY] [FE] DecoderException [CONTEXT] public String getDefaultCharset() { [BUGGY] [BUGGY] return this.charset; } [CLASS] QuotedPrintableCodec [METHOD] getDefaultCharset [RETURN_TYPE] String  [VARIABLES] BitSet PRINTABLE_CHARS printable String charset pString boolean byte ESCAPE_CHAR SPACE TAB c  	projects/Codec11/src/main/java/org/apache/commons/codec/net/QuotedPrintableCodec.java	0.5773502691896257	405	405	5	add	
3	[BUG] [BUGGY] this(CharEncoding.UTF_8); [FE] DecoderException [CONTEXT] public QuotedPrintableCodec() { [BUGGY] this(CharEncoding.UTF_8); [BUGGY] } [CLASS] QuotedPrintableCodec [METHOD] <init> [RETURN_TYPE] QuotedPrintableCodec()  [VARIABLES] BitSet PRINTABLE_CHARS String charset boolean byte ESCAPE_CHAR SPACE TAB  	projects/Codec11/src/main/java/org/apache/commons/codec/net/QuotedPrintableCodec.java	0.5270462766947299	91	91	5	replace	
4	[BUG] [BUGGY] [FE] DecoderException [CONTEXT] public QuotedPrintableCodec() { [BUGGY] [BUGGY] this(CharEncoding.UTF_8); } [CLASS] QuotedPrintableCodec [METHOD] <init> [RETURN_TYPE] QuotedPrintableCodec()  [VARIABLES] BitSet PRINTABLE_CHARS String charset boolean byte ESCAPE_CHAR SPACE TAB  	projects/Codec11/src/main/java/org/apache/commons/codec/net/QuotedPrintableCodec.java	0.5270462766947299	91	91	5	add	
5	[BUG] [BUGGY] } [FE] DecoderException [CONTEXT] public QuotedPrintableCodec() { this(CharEncoding.UTF_8); [BUGGY] } [BUGGY]  [CLASS] QuotedPrintableCodec [METHOD] <init> [RETURN_TYPE] QuotedPrintableCodec()  [VARIABLES] BitSet PRINTABLE_CHARS String charset boolean byte ESCAPE_CHAR SPACE TAB  	projects/Codec11/src/main/java/org/apache/commons/codec/net/QuotedPrintableCodec.java	0.5270462766947299	92	92	5	replace	
6	[BUG] [BUGGY] [FE] DecoderException [CONTEXT] public QuotedPrintableCodec() { this(CharEncoding.UTF_8); [BUGGY] [BUGGY] } [CLASS] QuotedPrintableCodec [METHOD] <init> [RETURN_TYPE] QuotedPrintableCodec()  [VARIABLES] BitSet PRINTABLE_CHARS String charset boolean byte ESCAPE_CHAR SPACE TAB  	projects/Codec11/src/main/java/org/apache/commons/codec/net/QuotedPrintableCodec.java	0.5270462766947299	92	92	5	add	
7	[BUG] [BUGGY] super(); [FE] DecoderException [CONTEXT] public QuotedPrintableCodec(String charset) { [BUGGY] super(); [BUGGY] this.charset = charset; } [CLASS] QuotedPrintableCodec [METHOD] <init> [RETURN_TYPE] String)  String charset [VARIABLES] BitSet PRINTABLE_CHARS String charset boolean byte ESCAPE_CHAR SPACE TAB  	projects/Codec11/src/main/java/org/apache/commons/codec/net/QuotedPrintableCodec.java	0.5	101	101	5	replace	
8	[BUG] [BUGGY] [FE] DecoderException [CONTEXT] public QuotedPrintableCodec(String charset) { [BUGGY] [BUGGY] super(); this.charset = charset; } [CLASS] QuotedPrintableCodec [METHOD] <init> [RETURN_TYPE] String)  String charset [VARIABLES] BitSet PRINTABLE_CHARS String charset boolean byte ESCAPE_CHAR SPACE TAB  	projects/Codec11/src/main/java/org/apache/commons/codec/net/QuotedPrintableCodec.java	0.5	101	101	5	add	
9	[BUG] [BUGGY] this.charset = charset; [FE] DecoderException [CONTEXT] public QuotedPrintableCodec(String charset) { super(); [BUGGY] this.charset = charset; [BUGGY] } [CLASS] QuotedPrintableCodec [METHOD] <init> [RETURN_TYPE] String)  String charset [VARIABLES] BitSet PRINTABLE_CHARS String charset boolean byte ESCAPE_CHAR SPACE TAB  	projects/Codec11/src/main/java/org/apache/commons/codec/net/QuotedPrintableCodec.java	0.5	102	102	5	replace	
10	[BUG] [BUGGY] [FE] DecoderException [CONTEXT] public QuotedPrintableCodec(String charset) { super(); [BUGGY] [BUGGY] this.charset = charset; } [CLASS] QuotedPrintableCodec [METHOD] <init> [RETURN_TYPE] String)  String charset [VARIABLES] BitSet PRINTABLE_CHARS String charset boolean byte ESCAPE_CHAR SPACE TAB  	projects/Codec11/src/main/java/org/apache/commons/codec/net/QuotedPrintableCodec.java	0.5	102	102	5	add	
11	[BUG] [BUGGY] } [FE] DecoderException [CONTEXT] public QuotedPrintableCodec(String charset) { super(); this.charset = charset; [BUGGY] } [BUGGY]  [CLASS] QuotedPrintableCodec [METHOD] <init> [RETURN_TYPE] String)  String charset [VARIABLES] BitSet PRINTABLE_CHARS String charset boolean byte ESCAPE_CHAR SPACE TAB  	projects/Codec11/src/main/java/org/apache/commons/codec/net/QuotedPrintableCodec.java	0.5	103	103	5	replace	
12	[BUG] [BUGGY] [FE] DecoderException [CONTEXT] public QuotedPrintableCodec(String charset) { super(); this.charset = charset; [BUGGY] [BUGGY] } [CLASS] QuotedPrintableCodec [METHOD] <init> [RETURN_TYPE] String)  String charset [VARIABLES] BitSet PRINTABLE_CHARS String charset boolean byte ESCAPE_CHAR SPACE TAB  	projects/Codec11/src/main/java/org/apache/commons/codec/net/QuotedPrintableCodec.java	0.5	103	103	5	add	
13	[BUG] [BUGGY] private static final BitSet PRINTABLE_CHARS = new BitSet(256); [FE] DecoderException [CONTEXT] [BUGGY] private static final BitSet PRINTABLE_CHARS = new BitSet(256); [BUGGY]  [CLASS] QuotedPrintableCodec  [VARIABLES] 	projects/Codec11/src/main/java/org/apache/commons/codec/net/QuotedPrintableCodec.java	0.4879500364742666	62	62	5	replace	
14	[BUG] [BUGGY] [FE] DecoderException [CONTEXT] [BUGGY] [BUGGY] private static final BitSet PRINTABLE_CHARS = new BitSet(256); [CLASS] QuotedPrintableCodec  [VARIABLES] 	projects/Codec11/src/main/java/org/apache/commons/codec/net/QuotedPrintableCodec.java	0.4879500364742666	62	62	5	add	
