projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_BLKSIZE,TarBuffer.DEFAULT_RCDSIZE);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_RCDSIZE,TarBuffer.DEFAULT_BLKSIZE);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_BLKSIZE,TarBuffer.DEFAULT_RCDSIZE,0);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_BLKSIZE,TarBuffer.DEFAULT_RCDSIZE,4);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_BLKSIZE,TarBuffer.DEFAULT_RCDSIZE,true);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_BLKSIZE,TarBuffer.DEFAULT_RCDSIZE,8);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_BLKSIZE,TarBuffer.DEFAULT_RCDSIZE,false);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_BLKSIZE,TarBuffer.DEFAULT_RCDSIZE,assemLen);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_BLKSIZE,TarBuffer.DEFAULT_RCDSIZE,TarBuffer.DEFAULT_GNU);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_RCDIZE,TarBuffer.DEFAULT_BLKSIZE);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_BLKSIZE,TarBuffer.DEFAULT_RCDSIZE,TarBuffer.DEFAULT_ENTRY);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_CRDSIZE,TarBuffer.DEFAULT_BLKSIZE);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_BACKSLASH,TarBuffer.DEFAULT_RCDSIZE);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_RANGE,TarBuffer.DEFAULT_RCDSIZE);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_BLKSIZE,TarBuffer.DEFAULT_RCDSIZE,TarBuffer.DEFAULT_GLOBAL);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_RCDSIZE,TarBuffer.DEFAULT_BLKSIZE,0);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_RCDSIZE,TarBuffer.DEFAULT_BLKSIZE,true);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_RCDSIZE,TarBuffer.DEFAULT_BLKSIZE,false);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_RCDSIZE,TarBuffer.DEFAULT_BLKSIZE,4);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_RCDSIZE,TarBuffer.DEFAULT_BLKSIZE,8);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_RCDSIZE,TarBuffer.DEFAULT_BLKSIZE,2);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_CRDSIZE,TarBuffer.DEFAULT_BLKSIZE,0);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_BLKSIZE,TarBuffer.DEFAULT_CRDSIZE);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_CRDSIZE,TarBuffer.DEFAULT_BLKSIZE,true);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_CRDSIZE,TarBuffer.DEFAULT_BLKSIZE,false);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_CRDSIZE,TarBuffer.DEFAULT_BLKSIZE,4);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_CRDSIZE,TarBuffer.DEFAULT_BLKSIZE,8);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_CRDSIZE,TarBuffer.DEFAULT_BLKSIZE,2);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_RANGE,TarBuffer.DEFAULT_RCDSIZE,0);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_RCDSIZE,TarBuffer.DEFAULT_RANGE);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_RANGE,TarBuffer.DEFAULT_RCDSIZE,true);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_RANGE,TarBuffer.DEFAULT_RCDSIZE,4);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_RANGE,TarBuffer.DEFAULT_RCDSIZE,8);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_RANGE,TarBuffer.DEFAULT_RCDSIZE,false);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_RANGE,TarBuffer.DEFAULT_RCDSIZE,2);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_RCDIZE,TarBuffer.DEFAULT_BLKSIZE,0);
projects/Compress18/src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java94this(os,TarBuffer.DEFAULT_BLKSIZE,TarBuffer.DEFAULT_RCDIZE);
