bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	failing_test_number	action	patch
1	[BUG] [BUGGY] return; [FE] junit.framework.AssertionFailedError: Expected: function some_function(){var a [CONTEXT] private void traverse(Node node) {     if (!shouldVisit(node)) { [BUGGY] return; [BUGGY] } int visits = 0; do { Node c = node.getFirstChild(); while(c != null) { traverse(c); Node next = c.getNext(); c = next; } [CLASS] PeepholeOptimizationsPass ScopeState StateStack PeepholeChangeHandler [METHOD] traverse [RETURN_TYPE] void  Node node [VARIABLES] AbstractCompiler compiler boolean changed traverseChildScopes AbstractPeepholeOptimization[] optimizations peepholeOptimizations Node c next node ArrayList states int currentDepth visits StateStack traversalState  	projects/Closure13/src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java	0.4082482904638631	119	119	1	replace	
2	[BUG] [BUGGY] [FE] junit.framework.AssertionFailedError: Expected: function some_function(){var a [CONTEXT] private void traverse(Node node) {     if (!shouldVisit(node)) { [BUGGY] [BUGGY] return; } int visits = 0; do { Node c = node.getFirstChild(); while(c != null) { traverse(c); Node next = c.getNext(); c = next; } [CLASS] PeepholeOptimizationsPass ScopeState StateStack PeepholeChangeHandler [METHOD] traverse [RETURN_TYPE] void  Node node [VARIABLES] AbstractCompiler compiler boolean changed traverseChildScopes AbstractPeepholeOptimization[] optimizations peepholeOptimizations Node c next node ArrayList states int currentDepth visits StateStack traversalState  	projects/Closure13/src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java	0.4082482904638631	119	119	1	add	
3	[BUG] [BUGGY] return false; [FE] junit.framework.AssertionFailedError: Expected: function some_function(){var a [CONTEXT] private boolean shouldVisit(Node node) { if (node.isFunction() || node.isScript()) { ScopeState previous = traversalState.peek(); if (!previous.traverseChildScopes) { [BUGGY] return false; [BUGGY] } traversalState.push(); } return true; } [CLASS] PeepholeOptimizationsPass ScopeState StateStack PeepholeChangeHandler [METHOD] shouldVisit [RETURN_TYPE] boolean  Node node [VARIABLES] AbstractCompiler compiler boolean changed traverseChildScopes AbstractPeepholeOptimization[] optimizations peepholeOptimizations Node node ArrayList states ScopeState previous int currentDepth visits StateStack traversalState  	projects/Closure13/src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java	0.4082482904638631	160	160	1	replace	
4	[BUG] [BUGGY] [FE] junit.framework.AssertionFailedError: Expected: function some_function(){var a [CONTEXT] private boolean shouldVisit(Node node) { if (node.isFunction() || node.isScript()) { ScopeState previous = traversalState.peek(); if (!previous.traverseChildScopes) { [BUGGY] [BUGGY] return false; } traversalState.push(); } return true; } [CLASS] PeepholeOptimizationsPass ScopeState StateStack PeepholeChangeHandler [METHOD] shouldVisit [RETURN_TYPE] boolean  Node node [VARIABLES] AbstractCompiler compiler boolean changed traverseChildScopes AbstractPeepholeOptimization[] optimizations peepholeOptimizations Node node ArrayList states ScopeState previous int currentDepth visits StateStack traversalState  	projects/Closure13/src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java	0.4082482904638631	160	160	1	add	
5	[BUG] [BUGGY] somethingChanged = true; [FE] junit.framework.AssertionFailedError: Expected: function some_function(){var a [CONTEXT] Node currentVersionOfNode = n; boolean somethingChanged = false; do { somethingChanged = false; for (AbstractPeepholeOptimization optimization : peepholeOptimizations) { Node newVersionOfNode = optimization.optimizeSubtree(currentVersionOfNode); if (newVersionOfNode != currentVersionOfNode) { [BUGGY] somethingChanged = true; [BUGGY]  currentVersionOfNode = newVersionOfNode; } if (currentVersionOfNode == null) { return; } } } while(somethingChanged); } [CLASS] PeepholeOptimizationsPass ScopeState StateStack PeepholeChangeHandler [METHOD] visit [RETURN_TYPE] void  Node n [VARIABLES] AbstractCompiler compiler boolean changed somethingChanged traverseChildScopes AbstractPeepholeOptimization[] optimizations peepholeOptimizations Node currentVersionOfNode n newVersionOfNode AbstractPeepholeOptimization optimization ArrayList states int currentDepth visits StateStack traversalState  	projects/Closure13/src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java	0.23570226039551587	184	184	1	replace	
6	[BUG] [BUGGY] [FE] junit.framework.AssertionFailedError: Expected: function some_function(){var a [CONTEXT] Node currentVersionOfNode = n; boolean somethingChanged = false; do { somethingChanged = false; for (AbstractPeepholeOptimization optimization : peepholeOptimizations) { Node newVersionOfNode = optimization.optimizeSubtree(currentVersionOfNode); if (newVersionOfNode != currentVersionOfNode) { [BUGGY] [BUGGY] somethingChanged = true; currentVersionOfNode = newVersionOfNode; } if (currentVersionOfNode == null) { return; } } } while(somethingChanged); } [CLASS] PeepholeOptimizationsPass ScopeState StateStack PeepholeChangeHandler [METHOD] visit [RETURN_TYPE] void  Node n [VARIABLES] AbstractCompiler compiler boolean changed somethingChanged traverseChildScopes AbstractPeepholeOptimization[] optimizations peepholeOptimizations Node currentVersionOfNode n newVersionOfNode AbstractPeepholeOptimization optimization ArrayList states int currentDepth visits StateStack traversalState  	projects/Closure13/src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java	0.23570226039551587	184	184	1	add	
7	[BUG] [BUGGY] currentVersionOfNode = newVersionOfNode; [FE] junit.framework.AssertionFailedError: Expected: function some_function(){var a [CONTEXT] do { somethingChanged = false; for (AbstractPeepholeOptimization optimization : peepholeOptimizations) { Node newVersionOfNode = optimization.optimizeSubtree(currentVersionOfNode); if (newVersionOfNode != currentVersionOfNode) { somethingChanged = true; [BUGGY] currentVersionOfNode = newVersionOfNode; [BUGGY] } if (currentVersionOfNode == null) { return; } } } while(somethingChanged); } [CLASS] PeepholeOptimizationsPass ScopeState StateStack PeepholeChangeHandler [METHOD] visit [RETURN_TYPE] void  Node n [VARIABLES] AbstractCompiler compiler boolean changed somethingChanged traverseChildScopes AbstractPeepholeOptimization[] optimizations peepholeOptimizations Node currentVersionOfNode n newVersionOfNode AbstractPeepholeOptimization optimization ArrayList states int currentDepth visits StateStack traversalState  	projects/Closure13/src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java	0.23570226039551587	186	186	1	replace	
8	[BUG] [BUGGY] [FE] junit.framework.AssertionFailedError: Expected: function some_function(){var a [CONTEXT] do { somethingChanged = false; for (AbstractPeepholeOptimization optimization : peepholeOptimizations) { Node newVersionOfNode = optimization.optimizeSubtree(currentVersionOfNode); if (newVersionOfNode != currentVersionOfNode) { somethingChanged = true; [BUGGY] [BUGGY] currentVersionOfNode = newVersionOfNode; } if (currentVersionOfNode == null) { return; } } } while(somethingChanged); } [CLASS] PeepholeOptimizationsPass ScopeState StateStack PeepholeChangeHandler [METHOD] visit [RETURN_TYPE] void  Node n [VARIABLES] AbstractCompiler compiler boolean changed somethingChanged traverseChildScopes AbstractPeepholeOptimization[] optimizations peepholeOptimizations Node currentVersionOfNode n newVersionOfNode AbstractPeepholeOptimization optimization ArrayList states int currentDepth visits StateStack traversalState  	projects/Closure13/src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java	0.23570226039551587	186	186	1	add	
9	[BUG] [BUGGY] state.changed = false; [FE] junit.framework.AssertionFailedError: Expected: function some_function(){var a [CONTEXT] private boolean shouldRetraverse(Node node) { if (node.getParent() != null && node.isFunction() || node.isScript()) { ScopeState state = traversalState.peek(); if (state.changed) {     [BUGGY] state.changed = false; [BUGGY] state.traverseChildScopes = false; return true; } } return false; } [CLASS] PeepholeOptimizationsPass ScopeState StateStack PeepholeChangeHandler [METHOD] shouldRetraverse [RETURN_TYPE] boolean  Node node [VARIABLES] AbstractCompiler compiler boolean changed traverseChildScopes AbstractPeepholeOptimization[] optimizations peepholeOptimizations Node node ArrayList states ScopeState state int currentDepth visits StateStack traversalState  	projects/Closure13/src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java	0.21320071635561041	148	148	1	replace	
10	[BUG] [BUGGY] [FE] junit.framework.AssertionFailedError: Expected: function some_function(){var a [CONTEXT] private boolean shouldRetraverse(Node node) { if (node.getParent() != null && node.isFunction() || node.isScript()) { ScopeState state = traversalState.peek(); if (state.changed) {     [BUGGY] [BUGGY] state.changed = false; state.traverseChildScopes = false; return true; } } return false; } [CLASS] PeepholeOptimizationsPass ScopeState StateStack PeepholeChangeHandler [METHOD] shouldRetraverse [RETURN_TYPE] boolean  Node node [VARIABLES] AbstractCompiler compiler boolean changed traverseChildScopes AbstractPeepholeOptimization[] optimizations peepholeOptimizations Node node ArrayList states ScopeState state int currentDepth visits StateStack traversalState  	projects/Closure13/src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java	0.21320071635561041	148	148	1	add	
11	[BUG] [BUGGY] state.traverseChildScopes = false; [FE] junit.framework.AssertionFailedError: Expected: function some_function(){var a [CONTEXT] private boolean shouldRetraverse(Node node) { if (node.getParent() != null && node.isFunction() || node.isScript()) { ScopeState state = traversalState.peek(); if (state.changed) {     state.changed = false; [BUGGY] state.traverseChildScopes = false; [BUGGY] return true; } } return false; } [CLASS] PeepholeOptimizationsPass ScopeState StateStack PeepholeChangeHandler [METHOD] shouldRetraverse [RETURN_TYPE] boolean  Node node [VARIABLES] AbstractCompiler compiler boolean changed traverseChildScopes AbstractPeepholeOptimization[] optimizations peepholeOptimizations Node node ArrayList states ScopeState state int currentDepth visits StateStack traversalState  	projects/Closure13/src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java	0.21320071635561041	149	149	1	replace	
12	[BUG] [BUGGY] [FE] junit.framework.AssertionFailedError: Expected: function some_function(){var a [CONTEXT] private boolean shouldRetraverse(Node node) { if (node.getParent() != null && node.isFunction() || node.isScript()) { ScopeState state = traversalState.peek(); if (state.changed) {     state.changed = false; [BUGGY] [BUGGY] state.traverseChildScopes = false; return true; } } return false; } [CLASS] PeepholeOptimizationsPass ScopeState StateStack PeepholeChangeHandler [METHOD] shouldRetraverse [RETURN_TYPE] boolean  Node node [VARIABLES] AbstractCompiler compiler boolean changed traverseChildScopes AbstractPeepholeOptimization[] optimizations peepholeOptimizations Node node ArrayList states ScopeState state int currentDepth visits StateStack traversalState  	projects/Closure13/src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java	0.21320071635561041	149	149	1	add	
13	[BUG] [BUGGY] return true; [FE] junit.framework.AssertionFailedError: Expected: function some_function(){var a [CONTEXT] private boolean shouldRetraverse(Node node) { if (node.getParent() != null && node.isFunction() || node.isScript()) { ScopeState state = traversalState.peek(); if (state.changed) {     state.changed = false; state.traverseChildScopes = false; [BUGGY] return true; [BUGGY] } } return false; } [CLASS] PeepholeOptimizationsPass ScopeState StateStack PeepholeChangeHandler [METHOD] shouldRetraverse [RETURN_TYPE] boolean  Node node [VARIABLES] AbstractCompiler compiler boolean changed traverseChildScopes AbstractPeepholeOptimization[] optimizations peepholeOptimizations Node node ArrayList states ScopeState state int currentDepth visits StateStack traversalState  	projects/Closure13/src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java	0.21320071635561041	150	150	1	replace	
14	[BUG] [BUGGY] [FE] junit.framework.AssertionFailedError: Expected: function some_function(){var a [CONTEXT] private boolean shouldRetraverse(Node node) { if (node.getParent() != null && node.isFunction() || node.isScript()) { ScopeState state = traversalState.peek(); if (state.changed) {     state.changed = false; state.traverseChildScopes = false; [BUGGY] [BUGGY] return true; } } return false; } [CLASS] PeepholeOptimizationsPass ScopeState StateStack PeepholeChangeHandler [METHOD] shouldRetraverse [RETURN_TYPE] boolean  Node node [VARIABLES] AbstractCompiler compiler boolean changed traverseChildScopes AbstractPeepholeOptimization[] optimizations peepholeOptimizations Node node ArrayList states ScopeState state int currentDepth visits StateStack traversalState  	projects/Closure13/src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java	0.21320071635561041	150	150	1	add	
15	[BUG] [BUGGY] AbstractPeepholeOptimization... optimizations) { [FE] junit.framework.AssertionFailedError: Expected: function some_function(){var a [CONTEXT] PeepholeOptimizationsPass(AbstractCompiler compiler, [BUGGY] AbstractPeepholeOptimization... optimizations) { [BUGGY] this.compiler = compiler; this.peepholeOptimizations = optimizations; } [CLASS] PeepholeOptimizationsPass ScopeState StateStack PeepholeChangeHandler [METHOD] <init> [RETURN_TYPE] AbstractPeepholeOptimization[])  AbstractCompiler compiler optimizations [VARIABLES] AbstractCompiler compiler boolean changed traverseChildScopes AbstractPeepholeOptimization[] optimizations peepholeOptimizations ArrayList states int currentDepth StateStack traversalState  	projects/Closure13/src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java	0.1796053020267749	94	94	1	replace	
16	[BUG] [BUGGY] [FE] junit.framework.AssertionFailedError: Expected: function some_function(){var a [CONTEXT] PeepholeOptimizationsPass(AbstractCompiler compiler, [BUGGY] [BUGGY] AbstractPeepholeOptimization... optimizations) { this.compiler = compiler; this.peepholeOptimizations = optimizations; } [CLASS] PeepholeOptimizationsPass ScopeState StateStack PeepholeChangeHandler [METHOD] <init> [RETURN_TYPE] AbstractPeepholeOptimization[])  AbstractCompiler compiler optimizations [VARIABLES] AbstractCompiler compiler boolean changed traverseChildScopes AbstractPeepholeOptimization[] optimizations peepholeOptimizations ArrayList states int currentDepth StateStack traversalState  	projects/Closure13/src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java	0.1796053020267749	94	94	1	add	
17	[BUG] [BUGGY] private StateStack traversalState = new StateStack(); [FE] junit.framework.AssertionFailedError: Expected: function some_function(){var a [CONTEXT] [BUGGY] private StateStack traversalState = new StateStack(); [BUGGY]  [CLASS] PeepholeOptimizationsPass ScopeState StateStack PeepholeChangeHandler  [VARIABLES] 	projects/Closure13/src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java	0.1796053020267749	41	41	1	replace	
18	[BUG] [BUGGY] [FE] junit.framework.AssertionFailedError: Expected: function some_function(){var a [CONTEXT] [BUGGY] [BUGGY] private StateStack traversalState = new StateStack(); [CLASS] PeepholeOptimizationsPass ScopeState StateStack PeepholeChangeHandler  [VARIABLES] 	projects/Closure13/src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java	0.1796053020267749	41	41	1	add	
19	[BUG] [BUGGY] this.compiler = compiler; [FE] junit.framework.AssertionFailedError: Expected: function some_function(){var a [CONTEXT] PeepholeOptimizationsPass(AbstractCompiler compiler, AbstractPeepholeOptimization... optimizations) { [BUGGY] this.compiler = compiler; [BUGGY] this.peepholeOptimizations = optimizations; } [CLASS] PeepholeOptimizationsPass ScopeState StateStack PeepholeChangeHandler [METHOD] <init> [RETURN_TYPE] AbstractPeepholeOptimization[])  AbstractCompiler compiler optimizations [VARIABLES] AbstractCompiler compiler boolean changed traverseChildScopes AbstractPeepholeOptimization[] optimizations peepholeOptimizations ArrayList states int currentDepth StateStack traversalState  	projects/Closure13/src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java	0.1796053020267749	95	95	1	replace	
20	[BUG] [BUGGY] [FE] junit.framework.AssertionFailedError: Expected: function some_function(){var a [CONTEXT] PeepholeOptimizationsPass(AbstractCompiler compiler, AbstractPeepholeOptimization... optimizations) { [BUGGY] [BUGGY] this.compiler = compiler; this.peepholeOptimizations = optimizations; } [CLASS] PeepholeOptimizationsPass ScopeState StateStack PeepholeChangeHandler [METHOD] <init> [RETURN_TYPE] AbstractPeepholeOptimization[])  AbstractCompiler compiler optimizations [VARIABLES] AbstractCompiler compiler boolean changed traverseChildScopes AbstractPeepholeOptimization[] optimizations peepholeOptimizations ArrayList states int currentDepth StateStack traversalState  	projects/Closure13/src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java	0.1796053020267749	95	95	1	add	
21	[BUG] [BUGGY] this.peepholeOptimizations = optimizations; [FE] junit.framework.AssertionFailedError: Expected: function some_function(){var a [CONTEXT] PeepholeOptimizationsPass(AbstractCompiler compiler, AbstractPeepholeOptimization... optimizations) { this.compiler = compiler; [BUGGY] this.peepholeOptimizations = optimizations; [BUGGY] } [CLASS] PeepholeOptimizationsPass ScopeState StateStack PeepholeChangeHandler [METHOD] <init> [RETURN_TYPE] AbstractPeepholeOptimization[])  AbstractCompiler compiler optimizations [VARIABLES] AbstractCompiler compiler boolean changed traverseChildScopes AbstractPeepholeOptimization[] optimizations peepholeOptimizations ArrayList states int currentDepth StateStack traversalState  	projects/Closure13/src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java	0.1796053020267749	96	96	1	replace	
22	[BUG] [BUGGY] [FE] junit.framework.AssertionFailedError: Expected: function some_function(){var a [CONTEXT] PeepholeOptimizationsPass(AbstractCompiler compiler, AbstractPeepholeOptimization... optimizations) { this.compiler = compiler; [BUGGY] [BUGGY] this.peepholeOptimizations = optimizations; } [CLASS] PeepholeOptimizationsPass ScopeState StateStack PeepholeChangeHandler [METHOD] <init> [RETURN_TYPE] AbstractPeepholeOptimization[])  AbstractCompiler compiler optimizations [VARIABLES] AbstractCompiler compiler boolean changed traverseChildScopes AbstractPeepholeOptimization[] optimizations peepholeOptimizations ArrayList states int currentDepth StateStack traversalState  	projects/Closure13/src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java	0.1796053020267749	96	96	1	add	
23	[BUG] [BUGGY] } [FE] junit.framework.AssertionFailedError: Expected: function some_function(){var a [CONTEXT] PeepholeOptimizationsPass(AbstractCompiler compiler, AbstractPeepholeOptimization... optimizations) { this.compiler = compiler; this.peepholeOptimizations = optimizations; [BUGGY] } [BUGGY]  [CLASS] PeepholeOptimizationsPass ScopeState StateStack PeepholeChangeHandler [METHOD] <init> [RETURN_TYPE] AbstractPeepholeOptimization[])  AbstractCompiler compiler optimizations [VARIABLES] AbstractCompiler compiler boolean changed traverseChildScopes AbstractPeepholeOptimization[] optimizations peepholeOptimizations ArrayList states int currentDepth StateStack traversalState  	projects/Closure13/src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java	0.1796053020267749	97	97	1	replace	
