projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179intsampleSize=getNumberOfSuccesses();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179intsampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179intsampleSize=this.numberOfSuccesses;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnsampleSize;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnthis.sampleSize;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnthis.populationSize;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179intsampleSize=getPopulationSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnnumberOfSuccesses;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179intsampleSize=getSampleSize()+1;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179intsampleSize=this.numberOfSuccesses-1;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnnumberOfSuccesses;intnumberOfSuccesses=getNumberOfSuccesses();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnnumberOfSuccesses;intnumberOfSuccesses=this.numberOfSuccesses;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnnumberOfSuccesses;intnumberOfSuccesses=getNumberOfSuccesses();if(numberOfSuccesses!=0){returnnumberOfSuccesses;}
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179intsampleSize=getNumberOfSuccesses()+1;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnthis.populationSize;intpopulationSize=this.populationSize;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnthis.populationSize;intpopulationSize=getNumberOfSuccesses();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnthis.populationSize;intsampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179intsampleSize=getSampleSize();intsampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179intsampleSize=getSampleSize();IntegersampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179intsampleSize=getPopulationSize();intsampleSize=getPopulationSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179intsampleSize=getPopulationSize();IntegersampleSize=getPopulationSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnthis.sampleSize;intsampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnthis.sampleSize;intsampleSize=this.sampleSize;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnthis.sampleSize;this.sampleSize;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179intsampleSize=getNumberOfSuccesses();intsampleSize=getNumberOfSuccesses();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179intsampleSize=getNumberOfSuccesses();IntegersampleSize=getNumberOfSuccesses();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnthis.sampleSize-1;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnthis.sampleSize-(this.numberOfSuccesses*numberOfSuccesses);
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179intsampleSize=this.numberOfSuccesses;intsampleSize=this.numberOfSuccesses;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179intsampleSize=this.numberOfSuccesses;IntegersampleSize=this.numberOfSuccesses;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnthis.populationSize-(this.numberOfSuccesses*numberOfSuccesses);
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnthis.populationSize-1;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179intsampleSize=this.populationSize;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnthis.sampleSize;intsampleSize=getNumberOfSuccesses();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnthis.sampleSize;intsampleSize=this.numberOfSuccesses;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnthis.populationSize;intsampleSize=getNumberOfSuccesses();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnthis.populationSize;intsampleSize=this.populationSize;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnthis.populationSize;intn=this.populationSize;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnnumberOfSuccesses;intnumberOfSuccesses=getNumberOfSuccesses();if(numberOfSuccesses!=0){returnsampleSize;}
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnnumberOfSuccesses;intsampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnnumberOfSuccesses;intsampleSize=this.numberOfSuccesses;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnthis.populationSize/(this.numberOfSuccesses-sampleSize);
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java179returnthis.sampleSize+(this.numberOfSuccesses-sampleSize);
