projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426w[0]=constraint.getWidth();
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426w[0]=constraint.getHeight();
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426w[1]=constraint.getWidth();
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426Size2Dsize=this.bottomBlock.arrange(g2,c3);
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426Size2Dsize=this.bottomBlock.arrange(g2,c2);
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426Size2Dsize=this.bottomBlock.arrange(g2,c1);
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426Size2Dsize=this.bottomBlock.arrange(g2,h);
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426w[0]=constraint.getHeight()+1;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426w[1]=constraint.getWidth();w[1]=constraint.getWidth();
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426w[1]=constraint.getWidth();w[2]=constraint.getWidth();
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426w[1]=constraint.getWidth();w[1]=constraint.getHeight();
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426w[0]=constraint.getHeight();w[0]=constraint.getHeight();
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426w[0]=constraint.getHeight();w[0]=constraint.getWidth();
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426w[0]=constraint.getHeight();intw[0]=constraint.getHeight();
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426Size2Dsize=this.bottomBlock.arrange(g2,w);
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426w[1]=constraint.getHeight();
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426w[1]=constraint.getWidth()+1;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426w[0]=constraint.getHeight();Size2Dsize=constraint.getHeight();
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426if(constraint.getWidth()>LengthConstraintType.RANGE){double[]w=newdouble[5];double[]h=newdouble[5];}
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426if(constraint.getWidth()==0.0){double[]w=newdouble[5];double[]h=newdouble[5];}
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426w[0]=constraint.getHeight();w[0]=constraint.getHeight());
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426w[1]=constraint.getWidth();w[0]=constraint.getWidth();
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426if(constraint.getHeight()>LengthConstraintType.FIXED){double[]w=newdouble[5];double[]h=newdouble[5];}
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426if(constraint.getHeight()>LengthConstraintType.FIXED){double[]w=newdouble[2];double[]h=newdouble[2];}
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java426if(constraint.getHeight()>LengthConstraintType.FIXED){double[]w=newdouble[1];double[]h=newdouble[1];}
