projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,root);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,externs,root);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,externals,root);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121Namespacenamespace=newGlobalNamespace(compiler,externs,root);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,externs);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,root,n);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,externs.cloneTree(),root);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121Namespacenamespace=newGlobalNamespace(compiler,root,externs);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121Namespacenamespace=newGlobalNamespace(compiler,externs,root,NAMESPACE_REDEFINED_WARNING);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121Namespacenamespace=newGlobalNamespace(compiler,externs,root,UNSAFE_THIS);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121Namespacenamespace=newGlobalNamespace(compiler,externs,root,inlineAliases);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121Namespacenamespace=newGlobalNamespace(compiler,externs,root,globalNames);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121Namespacenamespace=newGlobalNamespace(compiler,externs,root,n);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121Namespacenamespace=newGlobalNamespace(compiler,externs,root,INVALID_NAMESPACE);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,root,externs);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,externs,root,UNSAFE_THIS);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,externs,root,collapsePropertiesOnExternTypes);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,externs,root,inlineAliases);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,externs,root,globalNames);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,externs,root,n);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,root,externals);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,externs,root,null);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,root.cloneTree(),externs);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,externs.cloneTree(),root,inlineAliases);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,externs.cloneTree(),root,UNSAFE_THIS);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,externs.cloneTree(),root,namespace);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,externs.cloneTree(),root,parent);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,externs,n);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,root,UNSAFE_THIS);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,root,n,UNSAFE_THIS);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,root,n,inlineAliases);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121Namen=namespace.getNameForest();
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121Namen=namespace.getName();
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121Namespacenamespace=newGlobalNamespace(compiler,externs,root.getFirstChild());
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace.setName(n.getString());
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121Namespacenamespace=newGlobalNamespace(compiler,root,globalNames);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121Namespacenamespace=newGlobalNamespace(compiler,externs,root.getLastChild());
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121Namespacenamespace=newGlobalNamespace(compiler,externs,root,namespace);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121Namespacenamespace=newGlobalNamespace(compiler,externs,root,UNSAFE_NAMESPACE_WARNING);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,externs,root,NAMESPACE_REDEFINED_WARNING);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,externs,root,namespace);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,externs,root,INVALID_NAMESPACE);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121Namespacenamespace=newGlobalNamespace(compiler,externs);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,root,n,NAMESPACE_REDEFINED_WARNING);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,root,n,UNSAFE_NAMESPACE_WARNING);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,externs.cloneTree(),root,NAMESPACE_REDEFINED_WARNING);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,externs.cloneTree(),root,INVALID_NAMESPACE);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace.addChildToBack(newGlobalNamespace(compiler,externs,root));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace.setNameForest(n);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121Namespacenamespace=newGlobalNamespace(compiler,externs,root.getParent());
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,externs,root,INVALID_THIS);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java121namespace=newGlobalNamespace(compiler,externs.cloneTree(),inlineAliases);
