projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.data=newArrayList();
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.data=Collections.emptyList();
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.data=newLinkedList();
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.range=range;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.range=DEFAULT_DOMAIN_DESCRIPTION;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.domain=domain;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.range=DEFAULT_RANGE_DESCRIPTION;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.domain=domain;this.domain=domain;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.domain=domain;if(domain!=null){this.domain=domain;}else{List<Comparable>data=newArrayList();for(inti=0,length=data.size();i<length;++i){this.data.add(data[i]);}
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.domain=domain;if(domain!=null){this.domain=domain;}else{List<Comparable>data=newArrayList();for(inti=0,length=data.length;i<length;++i){this.data.add(data[i]);}
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.domain=DEFAULT_DOMAIN_DESCRIPTION;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.domain=name;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.range=DEFAULT_RANGE_DESCRIPTION;this.range=DEFAULT_RANGE_DESCRIPTION;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.range=DEFAULT_RANGE_DESCRIPTION;this.range=DEFAULT_DOMAIN_DESCRIPTION;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.range=DEFAULT_RANGE_DESCRIPTION;This.range=DEFAULT_RANGE_DESCRIPTION;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.data=newArrayList();this.data=newArrayList();
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.data=newArrayList();This.data=newArrayList();
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.range=DEFAULT_DOMAIN_DESCRIPTION;this.range=DEFAULT_DOMAIN_DESCRIPTION;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.range=DEFAULT_DOMAIN_DESCRIPTION;if(range==null){this.range=DEFAULT_DOMAIN_DESCRIPTION;}
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.range=DEFAULT_DOMAIN_DESCRIPTION;This.range=DEFAULT_DOMAIN_DESCRIPTION;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.data=Collections.EMPTY_LIST;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.range=Range.valueOf(range);
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.range=DEFAULT_RANGE_DESCRIPTION;this.domain=DEFAULT_RANGE_DESCRIPTION;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.range=DEFAULT_DOMAIN_DESCRIPTION;this.domain=DEFAULT_DOMAIN_DESCRIPTION;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.domain=domain;This.domain=domain;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.data=newArrayList();this.domain=newArrayList();
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.data=newArrayList();this.range=newArrayList();
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.range=DEFAULT_RANGE_DESCRIPTION;this.domain=DEFAULT_DOMAIN_DESCRIPTION;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.domain=domain;if(domain!=null){this.domain=domain;}else{List<Comparable>data=newArrayList();for(inti=0;i<data.size();++i){data.add(data[i]);}
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java131this.domain=domain;if(domain!=null){this.domain=domain;}else{List<Comparable>data=newArrayList();for(inti=0;i<data.size();++i){setData(data.get(i).getData());}
