projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321intsampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321intsampleSize=getNumberOfSuccesses();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321IntegersampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getNumberOfSuccesses(),getSampleSize());
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getSampleSize(),getNumberOfSuccesses());
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getNumberOfSuccesses(),getSampleSize()+1);
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getNumberOfSuccesses(),getUpperBound());
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321intsampleSize=getSampleSize();intsampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321intsampleSize=getSampleSize();IntsampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getSampleSize(),getNumberOfSuccesses());intsampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getSampleSize(),getNumberOfSuccesses());intsampleSize=getNumberOfSuccesses();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getSampleSize(),getNumberOfSuccesses());IntegersampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321intsampleSize=getNumberOfSuccesses()-1;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getNumberOfSuccesses(),getSampleSize()+1);intsampleSize=getSampleSize()+1;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getNumberOfSuccesses(),getSampleSize()+1);intsampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getNumberOfSuccesses(),getSampleSize()+1);intsampleSize=getNumberOfSuccesses();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321IntegersampleSize=getNumberOfSuccesses();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321IntegersampleSize=getPopulationSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321intsampleSize=getSampleSize()+1;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321intsampleSize=getNumberOfSuccesses();intsampleSize=getNumberOfSuccesses();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321intsampleSize=getNumberOfSuccesses();IntegersampleSize=getNumberOfSuccesses();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321IntegersampleSize=getSampleSize();IntegersampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321IntegersampleSize=getSampleSize();intsampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getNumberOfSuccesses(),getUpperBound()+1);
