projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java893
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java893Stringinput=(String)this.cleanInput.toUpperCase(java.util.Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java893Stringinput=getInput().toUpperCase(java.util.Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java893Stringinput=this.cleanInput.toUpperCase(java.util.Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java893if(input!=null){Stringinput=getInput().toUpperCase(java.util.Locale.ENGLISH);returninput.toUpperCase(java.util.Locale.ENGLISH);}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java893if(input!=null){Stringinput=getInput().toUpperCase(java.util.Locale.ENGLISH);if(input==null){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java893if(input!=null){Stringinput=getInput().toUpperCase(java.util.Locale.ENGLISH);if(input!=null){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java893Stringinput=(String)this.cleanInput.toUpperCase(java.util.Locale.ENGLISH);cleanInput=input;
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java893Stringinput=(String)this.cleanInput.toUpperCase(java.util.Locale.ENGLISH);if(input!=null){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java893Stringinput=getInput().toUpperCase(java.util.Locale.ENGLISH);cleanInput=input;
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java893Stringinput=getInput().toUpperCase(java.util.Locale.ENGLISH);if(input!=null){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java893returnnull;
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java893returnthis;
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java893if(input!=null)returnnull;if(input.toUpperCase(java.util.Locale.ENGLISH)==String.valueOf(input.toUpperCase(java.util.Locale.ENGLISH)){returnthis;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java893if(input!=null)returnnull;if(input.toUpperCase(java.util.Locale.ENGLISH)==String.valueOf(input.toUpperCase(java.util.Locale.ENGLISH)){returnnewDoubleMetaphoneResult();}
