projects/Math72/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java240
projects/Math72/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java240y1=y0;
projects/Math72/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java240doubley1=y0;
projects/Math72/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java240doubley2=x0;
projects/Math72/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java240doubley1=y2;
projects/Math72/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java240y1=y2;
projects/Math72/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java240y1=y3;
projects/Math72/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java240y1=y2+1;
projects/Math72/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java240if(Math.abs(y2)<=tolerance){setResult(x0,i);returnresult;}
projects/Math72/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java240if(Math.abs(y2)<=tolerance){setResult(x1,i);returnresult;}
projects/Math72/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java240if(Math.abs(y2)<Math.abs(y1)){setResult(x1,i);returnresult;}
projects/Math72/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java240if(Math.abs(y1)<=tolerance){setResult(x1,i);returnresult;}
projects/Math72/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java240if(Math.abs(y2)<Math.abs(y1)){setResult(x0,x1);returnresult;}
projects/Math72/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java240y1=oldDelta;
projects/Math72/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java240y1=y2+delta;
projects/Math72/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java240if(Math.abs(oldDelta)<=tolerance){setResult(x1,i);returnresult;}
projects/Math72/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java240if(Math.abs(y1)<=functionValueAccuracy){setResult(x1,i);returnresult;}
projects/Math72/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java240y1=oldDelta+1;
projects/Math72/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java240if(Math.abs(y1)<Math.abs(y2)){setResult(x0,x1);returnresult;}
projects/Math72/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java240if(Math.abs(y0)<Math.abs(y1)){setResult(x0,x1);returnresult;}
projects/Math72/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java240if(Math.abs(y2)<=Math.abs(y1)){setResult(x0,x1);returnresult;}
projects/Math72/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java240doubley1=oldDelta;
projects/Math72/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java240if(Math.abs(y2)<=functionValueAccuracy){setResult(x0,i);returnresult;}
