projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293this(nameType,ruleType,concat,DEFAULT_MAX_PHONEMES);
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293this(nameType,ruleType,null,DEFAULT_MAX_PHONEMES);
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293this(nameType,ruleType,concat,DEFAULT_MIN_PHONEMES);
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293this(nameType,ruleType,concat);
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293this(nameType,ruleType,DEFAULT_MAX_PHONEMES);
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293super(nameType,ruleType,concat);
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293NameTypenameType=nameType.getName();
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293this(nameType,ruleType,concat,DEFAULT_PAX_PHONEMES);
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293this(nameType,ruleType,concat,0,DEFAULT_MAX_PHONEMES);
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293this(nameType,ruleType,concat,NAME_PREFIXES);
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293this(nameType,ruleType,concat,DEFAULT_MAX_PHONEMES,DEFAULT_PREFIXES);
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293this(nameType,ruleType,concat,DEFAULT_MAX_PHONEMES,NAME_PREFIXES);
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293this(nameType,ruleType,concat,DEFAULT_MAX_PHONEMES,maxPhonemes);
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293this(nameType,ruleType,concat,DEFAULT_MIN_PHONEMES,DEFAULT_MAX_PHONEMES);
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293this(nameType,ruleType,concat,DEFAULT_MAX_PHONEMES,MAX_PHONEMES);
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293this(nameType,ruleType,concat,DEFAULT_MAX_PHONEMES,0);
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293this(nameType,ruleType,concat,DEFAULT_MAX_PHONEMES,DEFAULT_NAME_PREFIXES);
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293this(nameType,ruleType,concat,DEFAULT_MAX_PHONEMES,DEFAULT_PARENTHESES);
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293this(nameType,ruleType,concat,DEFAULT_MAX_PHONEMES,MAX_PREFIXES);
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293this(nameType,ruleType,concat,DEFAULT_MAX_PHONEMES,DEFAULT_PLREFIXES);
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293NameTypenameType=nameType.getReferenceName();
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293this(nameType,ruleType,concat,DEFAULT_PREFIXES);
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293NameTypenameType=nameType.getRuleType();
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293NameTypenameType=nameType.getNameType();
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293PhonemeBuilderphonemeBuilder=newPhonemeBuilder(nameType.getName());
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293this(nameType,ruleType,concat,DEFAULT_MAX_PHONEMES,DEFAULT_SYNTHETIC);
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293this(nameType,ruleType,concat,DEFAULT_MAX_PHONEMES,DEFAULT_PLAIN_PHONEMES);
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293this(nameType,ruleType,concat,DEFAULT_MAX_PHONEMES,DEFAULT_CHECKES);
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293this(nameType,ruleType,concat,DEFAULT_MAX_PHONEMES,DEFAULT_PARENTHESIZED);
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293NameTypenameType=nameType.getRawClass();
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293this(nameType.getName(),ruleType.getName(),concat);
projects/Codec14/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java293this(nameType,ruleType,concat,DEFAULT_MASK_PHONEMES);
