projects/Chart15/source/org/jfree/chart/plot/PiePlot.java389
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java389doublelabelGap=0.0;
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java389doublelabelGap=0.0d;
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java389doublelabelGap=1.0;
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java389privatedoublelabelGap=0.025;
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java389privatedoublelabelGap=0.0;
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java389privatedoublelabelGap=1.0;
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java389doublelabelGap=0.025;
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java389privatedoublelabelGap=0.0;doublelabelGap=0.0;
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java389privatedoublelabelGap=0.0;Double.parseDouble(labelGap);
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java389privatedoublelabelGap=0.0;PiePlot<K,V>plot=getPlot();
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java389privatedoublelabelGap=1.0;doublelabelGap=1.0;
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java389privatedoublelabelGap=1.0;doublelabelGap=0.0;
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java389privatedoublelabelGap=1.0;PiePlot<K,V>plot=getPlot();
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java389privatedoublelabelGap=1.0;doublelabelGap=Double.parseDouble(labelGap);
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java389privatedoublelabelGap=0.0;PiePlot<AssertionFailedError>piePlot=newPiePlot<AssertionFailedError>();
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java389privatedoublelabelGap=0.0;PiePlot<AssertionFailedError>PiePlot<AssertionFailedError>
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java389privatedoublelabelGap=1.0;PiePlotplot=getPlot();
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java389privatedoublelabelGap=0.0;doublelabelGap=getLabelGap();
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java389privatedoublelabelGap=0.0;doublelabelGap=1.0;
