projects/Time5/src/main/java/org/joda/time/Period.java737
projects/Time5/src/main/java/org/joda/time/Period.java737int[]periods=getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX);
projects/Time5/src/main/java/org/joda/time/Period.java737int[]years=getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX);
projects/Time5/src/main/java/org/joda/time/Period.java737int[]children=getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX);
projects/Time5/src/main/java/org/joda/time/Period.java737returngetPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX);
projects/Time5/src/main/java/org/joda/time/Period.java737returngetPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX,ZERO);
projects/Time5/src/main/java/org/joda/time/Period.java737returngetPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX,this);
projects/Time5/src/main/java/org/joda/time/Period.java737intduration=getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX);
projects/Time5/src/main/java/org/joda/time/Period.java737int[]ya=getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX);
projects/Time5/src/main/java/org/joda/time/Period.java737returngetPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX,1);
projects/Time5/src/main/java/org/joda/time/Period.java737intduration=getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX);intduration=getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX);
projects/Time5/src/main/java/org/joda/time/Period.java737intduration=getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX);longduration=getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX);
projects/Time5/src/main/java/org/joda/time/Period.java737returngetPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX,0,0);
projects/Time5/src/main/java/org/joda/time/Period.java737returngetPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX,duration,ZERO);
projects/Time5/src/main/java/org/joda/time/Period.java737int[]ya=getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX,ZERO);
projects/Time5/src/main/java/org/joda/time/Period.java737int[]ya=getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX,1);
projects/Time5/src/main/java/org/joda/time/Period.java737intduration=getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX,ZERO);
projects/Time5/src/main/java/org/joda/time/Period.java737int[]years=getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX,ZERO);
projects/Time5/src/main/java/org/joda/time/Period.java737int[]years=getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX,YEAR_INDEX);
projects/Time5/src/main/java/org/joda/time/Period.java737returngetPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX,this,duration);
projects/Time5/src/main/java/org/joda/time/Period.java737returngetPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX,ZERO,this);
projects/Time5/src/main/java/org/joda/time/Period.java737int[]children=getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX,ZERO);
projects/Time5/src/main/java/org/joda/time/Period.java737int[]children=getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX,1);
projects/Time5/src/main/java/org/joda/time/Period.java737int[]periods=getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX,ZERO);
projects/Time5/src/main/java/org/joda/time/Period.java737int[]periods=getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX,periodType.years);
projects/Time5/src/main/java/org/joda/time/Period.java737returngetPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX,0,1);
projects/Time5/src/main/java/org/joda/time/Period.java737returngetPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX,ZERO,1);
projects/Time5/src/main/java/org/joda/time/Period.java737int[]periods=getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX,1);
projects/Time5/src/main/java/org/joda/time/Period.java737returngetPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX,0,ZERO);
projects/Time5/src/main/java/org/joda/time/Period.java737returngetPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX,this,ZERO);
projects/Time5/src/main/java/org/joda/time/Period.java737int[]ya=getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX,YEAR_INDEX);
projects/Time5/src/main/java/org/joda/time/Period.java737returngetPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX,2);
projects/Time5/src/main/java/org/joda/time/Period.java737int[]periods=getPeriodType().getIndexedField(this,PeriodType.YEAR_INDEX,periodType);
