FL_Ranking,Iteration,Time
1,0,93.4271948337555
2,1,5896.155264854431
2,1,5915.328368902206
2,1,5934.518538951874
2,1,5959.93940114975
2,1,5979.896271467209
2,1,6281.0237736701965
2,1,6326.359630346298
2,1,6355.516938924789
2,1,6429.883634090424
2,1,6470.063086986542
2,1,6533.607066869736
2,1,6558.320367097855
2,2,6664.070008277893
2,2,6697.695845603943
2,2,6720.736033916473
2,2,6747.814977884293
2,2,6826.23490858078
2,2,6861.055329084396
2,2,6949.890188694
2,2,6967.707069396973
2,2,6986.747285604477
2,2,7004.7377898693085
2,2,7150.263300180435
2,2,7220.829091310501
2,2,7638.299869298935
2,2,7832.754431724548
2,2,7927.796579837799
2,2,8176.375922203064
2,2,8195.020994186401
2,2,8214.557359218597
2,2,8233.063575744629
2,2,8291.248384475708
2,2,8315.581802368164
2,2,8334.693100452423
2,2,8351.820054292679
2,2,8434.624757528305
2,2,8485.657764673233
2,2,8540.882684707642
2,2,8645.425977945328
2,2,8807.642196416855
2,2,8845.937688589096
2,2,9100.538164377213
2,2,9343.571680545807
2,2,9391.192237138748
2,2,9437.95952129364
2,2,9542.298969507217
2,2,9591.660103321075
2,2,9666.41796040535
