projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=1;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=0;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=2;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalint_tokenInputRow=1;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalprotectedint_tokenInputRow=1;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedlong_tokenInputRow=1L;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalprotectedint_tokenInputRow=0;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalint_tokenInputRow=0;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalint_tokenInputRow=1;finalint_tokenInputRow=1;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalint_tokenInputRow=1;finalint_tokenInputRow=2;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalint_tokenInputRow=1;finalint_tokenInputRow=Math.min(_tokenInputRow,_tokenInputRow);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalint_tokenInputRow=1;finalint_tokenInputRow=Math.max(1,_tokenInputRow);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalint_tokenInputRow=1;finalint_tokenInputRow=Math.max(_tokenInputRow,_tokenInputRow);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=1L;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedlong_tokenInputRow=1;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalint_tokenInputRow=2;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finallong_tokenInputRow=1L;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalint_tokenInputRow=1L;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalprotectedint_tokenInputRow=1;finalprotectedint_tokenInputRow=1;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalprotectedint_tokenInputRow=1;finalprotectedint_tokenInputRow=2;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalprotectedint_tokenInputRow=1;finalprotectedint_tokenInputRow=3;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalprotectedint_tokenInputRow=1;finalprotectedint_tokenInputRow=0;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalprotectedint_tokenInputRow=1;finalprotectedint_tokenInputRow=(int)Math.rint(_tokenInputRow);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107JsonParserBase.this.tokenInputRow();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107JsonParserBase.this.reportError("msg.json.token.input.key");
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107JsonParserBase.this.reportError("msg.input.tokenInputRow");
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107JsonParserBase.this.reportError("msg.json.input.tokenInputRow");
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=2;JsonParseExceptionjsonParseException=null;
