projects/Closure32/src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java1381ignoreStar=true;
projects/Closure32/src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java1381ignoreStar=false;
projects/Closure32/src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java1381if(ignoreStar){ignoreStar=true;}else{builder.append("n");}
projects/Closure32/src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java1381if(ignoredStar){ignoreStar=true;}else{builder.append("n");}
projects/Closure32/src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java1381if(!ignoreStar){ignoreStar=true;}else{builder.append("n");}
projects/Closure32/src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java1381if(ignoreStar){ignoreStar=true;}
projects/Closure32/src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java1381if(ignoreStar){ignoreStar=true;}else{thrownewIllegalArgumentException("");}
projects/Closure32/src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java1381if(!ignoreStar){ignoreStar=true;}
projects/Closure32/src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java1381
projects/Closure32/src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java1381if(ignoredStar==false){ignoreStar=true;}else{builder.append("n");}
projects/Closure32/src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java1381if(ignoreStar){ignoreStar=true;}else{thrownewIllegalStateException("");}
projects/Closure32/src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java1381if(ignoreStar){ignoreStar=false;}else{builder.append("n");}
projects/Closure32/src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java1381if(ignoreStar){ignoreStar=true;}else{buffer.append("n");}
