projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321booleanalternates=alternates.size()>alternates.size();
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321if(alternates==null)returnfalse;if(alternates!=null){alternates.add(alternates.iterator().next());}
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321if(alternates==null)returnfalse;if(alternates!=null){alternates.add(alternates.isEmpty());}
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321if(alternates==null)returnfalse;if(alternates.size()>alternates.size()){returnfalse;}
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321if(alternates==null)returnfalse;if(alternates!=null){alternates.add(alternates.size()-1);}
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321if(alternates==null)returnfalse;if(alternates!=null){alternates.add(alternates.size()+1);}
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321returntrue;
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321returnfalse;
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321if(alternates==null)returnfalse;if(alternates!=null)returntrue;if(alternates.isEmpty()){returnfalse;}
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321if(alternates==null)returnfalse;if(alternates!=null)returnfalse;if(alternates.isEmpty()){returnfalse;}
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321if(alternates!=null)returnfalse;if(alternates.size()==alternates.size()){returnfalse;}
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321if(alternates==null)returnfalse;if(alternates!=null){returnfalse;}
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321if(alternates==null){alternates=Collections.emptySet();if(alternates!=null){returnfalse;}
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321if(alternates==null){alternates=Collections.emptySet();if(alternates==null){returnfalse;}
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321if(alternates==null){alternates=Collections.emptySet();if(alternates!=null){returntrue;}
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321if(alternates==null){alternates=newHashSet<String>();alternates.addAll(alternates);}
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321if(alternates==null){alternates=newHashSet<String>();alternates.add(alternates.size());}
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321Iterator<Set<String>alternates=alternates.iterator();
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321if(alternates==null)returntrue;if(alternates!=null){returnfalse;}
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321if(alternates!=null)returnfalse;if(alternates==null){returnfalse;}
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321if(alternates!=null)returnfalse;if(alternates!=null){returnfalse;}
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321if(alternates==null){Set<String>alternates=alternates.iterator().next();for(Set<String>alternates:alternates.values()){alternates.add(alternates.iterator().next());}
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321if(alternates.size()>alternates.size()){Set<String>alternates=alternates.iterator().next();for(Set<String>alternates:alternates.values()){alternates.add(alternates.iterator().next());}
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321if(alternates==null){Set<String>alternates=alternates.iterator().next();for(Set<String>alternates:alternates.keySet()){alternates.add(alternates.iterator().next());}
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321if(alternates==null)returnfalse;if(alternates.isEmpty()){alternates.add(alternates.iterator().next());}
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321if(alternates==null){Set<String>alternates=alternates.iterator().next();for(Set<String>alternates:alternates.values()){alternates.addAll(alternates);}
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321if(alternates==null)returnfalse;if(alternates.isEmpty()){returnfalse;}
projects/Closure104/src/com/google/javascript/rhino/jstype/UnionType.java321if(alternates==null)returnfalse;if(alternates!=null){returnalternates.isEmpty();}
