projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java322g2.setStroke(this.errorIndicatorStroke);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java322g2.setPaint(getItemOutlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java322g2.setStroke(getItemOutlineStroke(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java322
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java322g2.setPaint(getItemPaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java322g2.setPaint(getItemIndicatorPaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java322g2.setFont(getItemFont(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java322g2.setFont(getItemFont(row,column),this.errorIndicatorStroke);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java322g2.setPaint(getItemPaint(row,column));g2.setPaint(getItemPaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java322g2.setPaint(getItemPaint(row,column));g2.setStroke(getItemPaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java322g2.setPaint(getItemOutlinePaint(row,column),this.errorIndicatorStroke);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java322g2.setPaint(getItemIndicatorPaint(row,column),this.errorIndicatorStroke);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java322g2.setPaint(getItemOutlinePaint(row,column));g2.setPaint(getItemOutlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java322g2.setPaint(getItemOutlinePaint(row,column));g2.setStroke(getItemOutlineStroke(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java322g2.setStroke(getItemOutlineStroke(row,column));g2.setStroke(getItemOutlineStroke(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java322g2.setStroke(getItemOutlineStroke(row,column));g2.setPaint(getItemOutlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java322g2.setPaint(getItemOutlinePaint(row,column));g2.setPaint(getItemInlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java322g2.setPaint(getItemIndicatorPaint(row,column),highVal);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java322g2.setPaint(getItemIndividualPaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java322g2.setPaint(this.errorIndicatorStroke);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java322g2.setPaint(getItemPaint(row,column));g2.setFont(getItemPaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java322g2.setStroke(getItemIndicatorStroke(row,column));
