FL_Ranking,Iteration,Time
16,1,99090.68946361542
16,1,99205.87524223328
16,2,99296.77596616745
16,2,99308.87940168381
16,2,99333.08186650276
16,2,99343.12063074112
16,2,99348.94566392899
16,2,99366.31452202797
16,2,99408.2115085125
16,2,99426.47081208229
16,2,99452.5550236702
16,2,99459.1299893856
16,2,99675.4651517868
16,2,99719.43364143372
16,2,99816.14434194565
16,2,99910.62423634529
16,2,99915.62581634521
16,2,100417.29244613647
18,1,102876.84793186188
18,1,102975.16804885864
18,1,103055.76030230522
18,2,103176.50695633888
18,2,103208.48582744598
18,2,103216.24905323982
18,2,103221.37708258629
18,2,103230.21941494942
18,2,103235.11333847046
18,2,103267.63292622566
18,2,103438.40126848221
18,2,103460.19779276848
18,2,103469.1816329956
18,2,103547.52206325531
18,2,103559.22240138054
18,2,103571.57662534714
18,2,103925.82530546188
18,2,103936.67499351501
18,2,104004.17607235909
18,2,104315.39875030518
18,2,104324.74354100227
18,2,104505.47153043747
18,2,104826.53193640709
19,0,105097.59934210777
19,2,105451.81114268303
19,2,105458.72191762924
19,2,105522.68600296974
19,2,105587.48848891258
19,2,105592.349142313
19,2,105597.31281995773
19,2,105615.9798643589
19,2,105620.73106646538
19,2,105722.50268697739
19,2,105739.51110696793
19,2,105744.73435664177
19,2,105751.36325955391
19,2,105992.9615983963
