projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2874returnevaluatesToLocalValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2874returnevaluatesToLocalValue(value.getFirstChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2874returnevaluatesToLocalValue(value.getLastChild(),locals)&&evaluatesToLocalValue(value.getFirstChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2874returnevaluatesToLocalValue(value.getFirstChild(),locals)&&evaluatesToLocalValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2874returnevaluatesToLocalValue(value.getFirstChild(),locales);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2874returnevaluatesToLocalValue(value.getLastChild(),locals)||evaluatesToLocalValue(value.getFirstChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2874returnevaluatesToLocalValue(value.getLastChild(),locals)&&evaluatesToLocalValue(value.getString(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2874
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2874returnevaluatesToLocalValue(value.getFirstChild(),locals)||evaluatesToLocalValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2874returnevaluatesToLocalValue(value.getFirstChild(),locals)&&evaluatesToLocalValue(value.getLastChild(),locales);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2874returnevaluatesToLocalValue(value.getFirstChild(),locals)&&evaluatesToLocalValue(value.getString(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2874returnevaluatesToLocalValue(value.getFirstChild(),locals)||evaluatesToLocalValue(value.getString(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2874returnevaluatesToLocalValue(value.getFirstChild(),locales)&&evaluatesToLocalValue(value.getString(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2874returnevaluatesToLocalValue(value.getFirstChild(),locals)&&evaluatesToLocalValue(value.getFirstChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2874returnevaluatesToLocalValue(value.getFirstChild(),locals)||evaluatesToLocalValue(value.getFirstChild(),locals);
