projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292this.minMiddleIndex=index;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292this.minMiddleIndex=index+1;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292this.minMiddleIndex=middle;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292s=getDataItem(this.minMiddleIndex).getPeriod().getStart().getTime();
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292this.minMiddleIndex=0;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292this.maxMiddleIndex=index;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292this.minMiddleIndex=index-1;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292s=getDataItem(this.minMiddleIndex).getPeriod().getStart().getTime();s=getDataItem(this.minMiddleIndex).getPeriod().getStart().getTime();
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292s=getDataItem(this.minMiddleIndex).getPeriod().getStart().getTime();s=getDataItem(this.minMiddleIndex).getPeriod().getEnd().getTime();
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292this.minMiddleIndex=index-1;this.minMiddleIndex=index-1;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292this.minMiddleIndex=index-1;This.minMiddleIndex=index-1;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292this.minMiddleIndex=index+2;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292this.minMiddleIndex=index+1;this.minMiddleIndex=index+1;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292this.minMiddleIndex=index+1;This.minMiddleIndex=index+1;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292this.maxMiddleIndex=index;this.maxMiddleIndex=index;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292this.maxMiddleIndex=index;this.maxMiddleIndex=index+1;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292this.maxMiddleIndex=index;this.maxMiddleIndex=index-1;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292this.minMiddleIndex=0;this.minMiddleIndex=0;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292this.minMiddleIndex=0;This.minMiddleIndex=0;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292this.maxMiddleIndex=index+1;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292this.maxMiddleIndex=middle;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292s=getDataItem(this.minMiddleIndex).getPeriod().getEnd().getTime();
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292s=getDataItem(this.minMiddleIndex).getPeriod().getStart().getTime();s=getDataItem(this.minMiddleIndex).getPeriod().getSTARt().getTime();
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292this.maxMiddleIndex=0;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java292this.maxMiddleIndex=index;This.maxMiddleIndex=index;
