projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.minStartIndex=index;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.minStartIndex=index+1;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.minEndIndex=index;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.minStartIndex=index-1;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.period.setIndex(index);
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.data.add(period);
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271longend=getDataItem(this.minStartIndex).getPeriod().getStart().getTime();
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271longend=getDataItem(this.minStartIndex).getPeriod().getEnd().getTime();
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.period.setIndex(index+1);
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271longend=getDataItem(this.minStartIndex).getPeriod().getEnd().getTime()-1;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.minStartIndex=index-1;this.minStartIndex=index-1;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.minStartIndex=index-1;This.minStartIndex=index-1;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.minStartIndex=index;this.minStartIndex=index;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.minStartIndex=index;This.minStartIndex=index;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.data.add(start,period);
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.data.add(start);
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.minStartIndex=index+2;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.minStartIndex=index+1;this.minStartIndex=index+1;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.minStartIndex=index+1;This.minStartIndex=index+1;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.minEndIndex=index+1;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.minEndIndex=index;this.minEndIndex=index;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.minEndIndex=index;this.minStartIndex=index;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.data.add(period);this.data.add(period);
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.data.add(period);This.data.add(period);
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.minStartIndex=index-1;intindex=getDataItem(this.minStartIndex).getPeriod().getStart().getTime();
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.minStartIndex=index-1;intindex=getDataItem(this.minStartIndex).getPeriod().getStart();
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.minStartIndex=index;intindex=getDataItem(this.minStartIndex).getPeriod().getStart().getTime();
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.minStartIndex=index;intindex=getDataItem(this.minStartIndex).getPeriod().getStart();
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.minEndIndex=index-1;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.data.add(period);this.data.add(period,start);
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.minEndIndex=index;intminEndIndex=index;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.minStartIndex=index-1;intindex=getDataItem(this.minStartIndex).getPeriod().getStart().getTime();this.minStartIndex=index-1;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.minStartIndex=index;this.minStartIndex=index+1;
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.data.add(period);this.data.add(period,index);
projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java271this.minEndIndex=index;This.minEndIndex=index;
