projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317this.values.remove(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317this.keys.remove(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317ArrayListkeys=(ArrayList)this.keys.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317this.values.remove(index-1);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317ArrayListkeys=this.keys.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317this.values.clear();
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317this.values.clear();this.values.clear();
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317this.values.clear();ArrayListvalues=newArrayList(this.values.size());
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317this.values.clear();ArrayListvalues=newArrayList(this.keys.size());
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317ArrayListkeys=(ArrayList)this.values.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317ArrayListkeys=(ArrayList)this.keys.get(index);ArrayListkeys=(ArrayList)this.keys.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317ArrayListkeys=(ArrayList)this.keys.get(index);Listkeys=(ArrayList)this.keys.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317this.keys.remove(index-1);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317this.keys.remove(index);this.keys.remove(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317this.keys.remove(index);this.values.remove(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317this.keys.remove(index);ArrayListkeys=this.keys.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317this.values.remove(index);this.values.remove(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317this.values.remove(index-1);this.values.remove(index-1);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317this.values.remove(index-1);ArrayListkeys=(ArrayList)this.values.get(index-1);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317this.values.remove(index-1);ArrayListkeys=this.values.get(index-1);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317Listkeys=this.keys.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317this.values.remove(index-1);ArrayListvalues=this.values.get(index-1);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317this.values.remove(index);this.keys.remove(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317this.values.remove(index);ArrayListvalues=this.keys.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317this.keys.remove(0);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317this.keys.clear();
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317this.values.clear();ArrayListvalues=newArrayList();
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java317this.values.clear();this.keys.clear();
