projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304setValue(value,rowKey,columnKey);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304this.columnKeys.add(value);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304this.columnKeys.add(rowKey);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304}
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304this.rowKeys.add(value);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304addValue(value,rowKey,columnKey);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304this.rowKeys.add(newDouble(rowKey));
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304this.columnKeys.add(value);fireDatasetChanged();
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304addValue(value,rowKey,columnKey);addValue(value,rowKey,columnKey);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304addValue(value,rowKey,columnKey);setValue(value,rowKey,columnKey);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304addValue(value,rowKey,columnKey);this.rowKeys.add(value);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304this.columnKeys.add(rowKey);this.columnKeys.add(columnKey);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304this.columnKeys.add(rowKey);this.rowKeys.add(rowKey);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304this.columnKeys.add(rowKey);this.columnKeys.add(rowKey);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304setValue(value,rowKey,columnKey);setValue(value,rowKey,columnKey);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304setValue(value,rowKey,columnKey);this.columnKeys.add(value);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304setValue(value,rowKey,columnKey);this.rowKeys.add(newDouble(rowKey));
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304this.columnKeys.add(rowKey);fireDatasetChanged();
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304this.rowKeys.add(value,rowKey,columnKey);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304this.columnKeys.add(value);this.columnKeys.add(value);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304this.columnKeys.add(value);this.rowKeys.add(value);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304this.columnKeys.add(value);this.rowKeys.add(columnKey);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304this.columnKeys.add(rowKey,columnKey);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304this.rowKeys.add(rowKey);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304this.rowKeys.add(newDouble(rowKey,columnKey));
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304this.rowKeys.add(newDouble(rowKey),rowKey);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304setValue(value,rowKey,columnKey);if(sortRowKeys){AssertionFailedError==newAssertionFailedError();}
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304setValue(value,rowKey,columnKey);if(sortRowKeys){AssertionFailedError==newAssertionFailedError();}else{setRowKey(newNumberInputStream(rowKey,columnKey));}
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304setRowKey(value,rowKey,columnKey);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304this.columnKeys.add(value);this.rows.add(value);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304this.columnKeys.add(columnKey);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304addValue(value,rowKey,columnKey);this.rowKeys.add(rowKey);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304if(columnKey!=null){setValue(value,rowKey,columnKey);}
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304setValue(value,rowKey,columnKey);if(columnKey!=null){setValue(value,rowKey,columnKey);}
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304setValue(value,rowKey,columnKey);if(columnKey!=null){setValue(value,rowKey,columnKey);}else{ListrowKeys=newArrayList();rows.add(rowKey);}
projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java304if(columnKey!=null){addValue(value,rowKey,columnKey);}else{setValue(rowKey,columnKey);}
