projects/Compress31/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java247string=string.replaceAll("\0","{NUL}");//ReplaceNULstoallowstringtobeprintedfinalStrings="Invalidbyte"+currentByte+"atoffset"+(current-offset)+"in'"+string+"'len="+length;
projects/Compress31/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java247string=string.replaceAll("0","{0}");
projects/Compress31/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java247string=string.replaceAll("0","{'"+currentByte+"'atoffset"+(current-offset)+"in'"+string+"'len="+length;
projects/Compress31/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java247string=string.replaceAll("0","{0}");//ReplaceNULstoallowstringtobeprintedfinalStrings='"+currentByte+"atoffset"+(current-offset)+"in'"+string+"'len="+length;
projects/Compress31/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java247string.replaceAll("0","{0}");//ReplaceNULstoallowstringtobeprintedfinalStrings='"+currentByte+"atoffset"+(current-offset)+"in'"+string+"'len="+length;
projects/Compress31/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java247string=string.replaceAll("0","{0}");//replaceNULstoallowstringtobeprintedfinalStrings='"+currentByte+"atoffset"+(current-offset)+"in'"+string+"'len="+length;
projects/Compress31/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java247string=string.replaceAll("0","{'"+currentByte+"atoffset"+(current-offset)+"in'"+string+"'len="+length;
projects/Compress31/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java247string.replaceAll("0","{0}");
projects/Compress31/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java247
projects/Compress31/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java247string=string.replaceAll("0","{'"+currentByte+"','"+string+"'len="+length;
projects/Compress31/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java247string=string.replaceAll("0","{'"+currentByte+"'in'"+string+"'len="+length;
projects/Compress31/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java247string=string.replaceAll("0","{'"+currentByte+"'}");
projects/Compress31/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java247string=string.replaceAll("0",newString(currentByte));
projects/Compress31/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java247string=string.replaceAll("0","{'"+currentByte+"'len="+length);
projects/Compress31/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java247string=string.replaceAll("u00","{NUL}");
projects/Compress31/src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java247string.replaceAll("0","{'"+currentByte+"'atoffset"+(current-offset)+"in'"+string+"'len="+length;
