bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
2	[BUG]  [BUGGY]  [FE]  UnrecognizedOptionException  test  [CONTEXT]    [BUGGY]  private  final  ArrayList  tokens  =  new  ArrayList();  [BUGGY]    [CLASS]  PosixParser  [VARIABLES]  	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	33	33	1	add	private  final  ArrayList  tokens  =  new  ArrayList();	private  ArrayList  tokens  =  new  ArrayList();  	compilable	  [FE]  UnrecognizedOptionException  test	2	1
3	[BUG]  [BUGGY]  private  final  ArrayList  tokens  =  new  ArrayList();  [FE]  UnrecognizedOptionException  test  [CONTEXT]    [BUGGY]  private  final  ArrayList  tokens  =  new  ArrayList();  [BUGGY]    [CLASS]  PosixParser  [VARIABLES]  	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	33	33	1	replace	private  final  ArrayList  tokens  =  new  ArrayList();	private  ArrayList  tokens  =  new  ArrayList();  	compilable	  [FE]  UnrecognizedOptionException  test	2	1
3	[BUG]  [BUGGY]  private  List  tokens  =  new  ArrayList();  [CE]  cannot  find  symbol  [CONTEXT]    [BUGGY]  private  List  tokens  =  new  ArrayList();  [BUGGY]    [CLASS]  PosixParser  [VARIABLES]  	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	33	33	1	replace	private  List  tokens  =  new  ArrayList();	private  ArrayList  tokens  =  new  ArrayList();  	non-compiled	[CE]  cannot  find  symbol	2	None
4	[BUG]  [BUGGY]  [FE]  UnrecognizedOptionException  test  [CONTEXT]    [BUGGY]  protected  ArrayList  tokens  =  new  ArrayList();  [BUGGY]    [CLASS]  PosixParser  [VARIABLES]  	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	33	33	1	add	protected  ArrayList  tokens  =  new  ArrayList();	private  ArrayList  tokens  =  new  ArrayList();  	compilable	  [FE]  UnrecognizedOptionException  test	2	1
5	[BUG]  [BUGGY]  protected  ArrayList  tokens  =  new  ArrayList();  [FE]  UnrecognizedOptionException  test  [CONTEXT]    [BUGGY]  protected  ArrayList  tokens  =  new  ArrayList();  [BUGGY]    [CLASS]  PosixParser  [VARIABLES]  	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	33	33	1	replace	protected  ArrayList  tokens  =  new  ArrayList();	private  ArrayList  tokens  =  new  ArrayList();  	compilable	  [FE]  UnrecognizedOptionException  test	2	1
5	[BUG]  [BUGGY]    [CE]  cannot  find  symbol  tokens  [CONTEXT]    [BUGGY]    [BUGGY]    [CLASS]  PosixParser  [VARIABLES]  	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	33	33	1	replace	  	private  ArrayList  tokens  =  new  ArrayList();  	non-compiled	[CE]  cannot  find  symbol  tokens	2	None
11	[BUG]  [BUGGY]    tokens.add(new  ArrayList());  [CE]  <identifier>  expected  [CONTEXT]    [BUGGY]    tokens.add(new  ArrayList());  [BUGGY]  private  ArrayList  tokens  =  new  ArrayList();  [CLASS]  PosixParser  [VARIABLES]  	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	33	33	1	replace	    tokens.add(new  ArrayList());		non-compiled	[CE]  <identifier>  expected	3	None
12	[BUG]  [BUGGY]    return  new  ArrayList();  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    return  new  ArrayList();  [BUGGY]  private  ArrayList  tokens  =  new  ArrayList();  [CLASS]  PosixParser  [VARIABLES]  	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	33	33	1	replace	    return  new  ArrayList();		non-compiled	[CE]  illegal  start  of  type	3	None
13	[BUG]  [BUGGY]    tokens.add( "n ");  [CE]  <identifier>  expected  [CONTEXT]    [BUGGY]    tokens.add( "n ");  [BUGGY]  private  ArrayList  tokens  =  new  ArrayList();  [CLASS]  PosixParser  [VARIABLES]  	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	33	33	1	replace	    tokens.add( "n ");		non-compiled	[CE]  <identifier>  expected	3	None
14	[BUG]  [BUGGY]    tokens.add( "[ ");  [CE]  <identifier>  expected  [CONTEXT]    [BUGGY]    tokens.add( "[ ");  [BUGGY]  private  ArrayList  tokens  =  new  ArrayList();  [CLASS]  PosixParser  [VARIABLES]  	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	33	33	1	replace	    tokens.add( "[ ");		non-compiled	[CE]  <identifier>  expected	3	None
15	[BUG]  [BUGGY]    tokens.addAll( "n ");  [CE]  <identifier>  expected  [CONTEXT]    [BUGGY]    tokens.addAll( "n ");  [BUGGY]  private  ArrayList  tokens  =  new  ArrayList();  [CLASS]  PosixParser  [VARIABLES]  	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	33	33	1	replace	    tokens.addAll( "n ");		non-compiled	[CE]  <identifier>  expected	3	None
21	[BUG]  [BUGGY]    tokens.add(token);  [CE]  cannot  find  symbol  token  [CONTEXT]  {  init();  [BUGGY]    tokens.add(token);  [BUGGY]  this.options  =  options;  Iterator  iter  =  Arrays.asList(arguments).iterator();  String  token;  while  (iter.hasNext())  {  token  =  (String)  iter.next();  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]  Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  ArrayList  tokens  Iterator  iter  Option  currentOption  String[]  arguments  String  token  int  tokenLength  	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	98	98	1	replace	    tokens.add(token);		non-compiled	[CE]  cannot  find  symbol  token	15	None
22	[BUG]  [BUGGY]    tokens.add(token);  tokenLength++;  [CE]  cannot  find  symbol  token  [CONTEXT]  {  init();  [BUGGY]    tokens.add(token);  tokenLength++;  [BUGGY]  this.options  =  options;  Iterator  iter  =  Arrays.asList(arguments).iterator();  String  token;  while  (iter.hasNext())  {  token  =  (String)  iter.next();  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]  Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  ArrayList  tokens  Iterator  iter  Option  currentOption  String[]  arguments  String  token  int  tokenLength  	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	98	98	1	replace	    tokens.add(token);  tokenLength++;		non-compiled	[CE]  cannot  find  symbol  token	15	None
23	[BUG]  [BUGGY]    tokens.add(token);  currentOption  =  options.getOption(token);  [CE]  cannot  find  symbol  token  [CONTEXT]  {  init();  [BUGGY]    tokens.add(token);  currentOption  =  options.getOption(token);  [BUGGY]  this.options  =  options;  Iterator  iter  =  Arrays.asList(arguments).iterator();  String  token;  while  (iter.hasNext())  {  token  =  (String)  iter.next();  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]  Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  ArrayList  tokens  Iterator  iter  Option  currentOption  String[]  arguments  String  token  int  tokenLength  	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	98	98	1	replace	    tokens.add(token);  currentOption  =  options.getOption(token);		non-compiled	[CE]  cannot  find  symbol  token	15	None
24	[BUG]  [BUGGY]    tokenLength  =  token.length();  [CE]  cannot  find  symbol  tokenLength  [CONTEXT]  {  init();  [BUGGY]    tokenLength  =  token.length();  [BUGGY]  this.options  =  options;  Iterator  iter  =  Arrays.asList(arguments).iterator();  String  token;  while  (iter.hasNext())  {  token  =  (String)  iter.next();  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]  Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  ArrayList  tokens  Iterator  iter  Option  currentOption  String[]  arguments  String  token  int  tokenLength  	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	98	98	1	replace	    tokenLength  =  token.length();		non-compiled	[CE]  cannot  find  symbol  tokenLength	15	None
25	[BUG]  [BUGGY]    tokens.add(token);  currentOption  =  options.iterator();  [CE]  cannot  find  symbol  token  [CONTEXT]  {  init();  [BUGGY]    tokens.add(token);  currentOption  =  options.iterator();  [BUGGY]  this.options  =  options;  Iterator  iter  =  Arrays.asList(arguments).iterator();  String  token;  while  (iter.hasNext())  {  token  =  (String)  iter.next();  [CLASS]  PosixParser  [METHOD]  flatten  [RETURN_TYPE]  String[]  Options  options  String[]  arguments  boolean  stopAtNonOption  [VARIABLES]  Options  options  boolean  eatTheRest  stopAtNonOption  ArrayList  tokens  Iterator  iter  Option  currentOption  String[]  arguments  String  token  int  tokenLength  	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	98	98	1	replace	    tokens.add(token);  currentOption  =  options.iterator();		non-compiled	[CE]  cannot  find  symbol  token	15	None
31	[BUG]  [BUGGY]  [FE]  UnrecognizedOptionException  test  [CONTEXT]  private  void  init()  {  eatTheRest  =  false;  tokens.clear();  [BUGGY]    tokens.clear();  [BUGGY]  currentOption  =  null;  }  [CLASS]  PosixParser  [METHOD]  init  [RETURN_TYPE]  void  [VARIABLES]  ArrayList  tokens  Options  options  Option  currentOption  boolean  eatTheRest  	projects/Cli2/src/java/org/apache/commons/cli/PosixParser.java	1.0	53	53	1	add	    tokens.clear();		compilable	  [FE]  UnrecognizedOptionException  test	9	1
