increase failing tests,75,replace, [FE] NullPointerException testQuinticMin,   this.maxEvaluations  =  maxEvaluations  -  1;  ,this.maxEvaluations = totalEvaluations - 1;
increase failing tests,75,replace, [FE] NullPointerException testQuinticMin,   this.maxEvaluations  =  maxEvaluations  -  1;  ,this.maxEvaluations = starts - 1;
increase failing tests,75,replace, [FE] NullPointerException testQuinticMin,   this.maxEvaluations  =  maxEvaluations  -  1;  ,this.maxEvaluations = maxEvaluations / 1;
increase failing tests,155,replace, [FE] ConvergenceException testQuinticMin,   int  starts  =  min  -  startValue  +  Math.min(startValue,  max);  ,double starts = min - startValue + Math.min(startValue, max);
increase failing tests,74,replace, [FE] ArrayIndexOutOfBoundsException testQuinticMin,   this.totalEvaluations  =  totalEvaluations  +  1;  ,this.totalEvaluations = starts + 1;
increase failing tests,74,replace, [FE] ArrayIndexOutOfBoundsException testQuinticMin,   this.totalEvaluations  =  totalEvaluations  +  1;  ,this.totalEvaluations = totalEvaluations * 1;
increase failing tests,74,replace, [FE] ArrayIndexOutOfBoundsException testQuinticMin,   this.totalEvaluations  =  totalEvaluations  +  1;  ,this.totalEvaluations = totalEvaluations / 1;
increase failing tests,75,replace, [FE] NullPointerException testQuinticMin,   this.maxEvaluations  =  maxEvaluations;  ,this.totalEvaluations = totalEvaluations;
increase failing tests,75,replace, [FE] NullPointerException testQuinticMin,   this.maxEvaluations  =  maxEvaluations;  ,this.totalEvaluations = starts;
increase failing tests,75,replace, [FE] NullPointerException testQuinticMin,   this.maxEvaluations  =  0;  ,this.maxEvaluations = 1;
increase failing tests,154,replace, [FE] NullPointerException testQuinticMin,   int  starts  =  min  -  startValue;  ,double starts = min - startValue;
increase failing tests,74,replace, [FE] AssertionError testQuinticMin, this.starts  =  starts  ||  starts  >  0?  1  :  0;  ,this.starts = starts > 0? 1 : 0;
increase failing tests,74,replace, [FE] ArrayIndexOutOfBoundsException testQuinticMin,   this.maxEvaluations  =  maxEvaluations  +  1;  ,this.maxEvaluations = totalEvaluations + 1;
increase failing tests,74,replace, [FE] ArrayIndexOutOfBoundsException testQuinticMin,   this.maxEvaluations  =  maxEvaluations  +  1;  ,this.maxEvaluations = starts + 1;
increase failing tests,74,replace, [FE] ArrayIndexOutOfBoundsException testQuinticMin,   this.maxEvaluations  =  maxEvaluations  +  1;  ,this.maxEvaluations = maxEvaluations / 1;
increase failing tests,75,replace, [FE] NullPointerException testQuinticMin,   this.maxEvaluations  =  maxEvaluations  +  1;  ,this.maxEvaluations = starts + 1;
increase failing tests,74,replace, [FE] ArrayIndexOutOfBoundsException testQuinticMin,   this.maxEvaluations  =  totalEvaluations;  ,this.maxEvaluations = starts;
increase failing tests,74,replace, [FE] ArrayIndexOutOfBoundsException testQuinticMin,   this.maxEvaluations  =  maxEvaluations  +  1  /  2;  ,this.maxEvaluations = maxEvaluations / 2;
increase failing tests,74,replace, [FE] ArrayIndexOutOfBoundsException testQuinticMin,   this.maxEvaluations  =  maxEvaluations  +  1  /  2;  ,this.maxEvaluations = maxEvaluations * 1;
increase failing tests,75,replace, [FE] NullPointerException testQuinticMin,   this.maxEvaluations  =  totalEvaluations;  ,this.totalEvaluations = totalEvaluations + 1;
increase failing tests,155,replace, [FE] ArrayIndexOutOfBoundsException testQuinticMin,   int  starts  =  generator.getStart();  ,optima = new UnivariateRealPointValuePair[0];
increase failing tests,155,replace, [FE] ArrayIndexOutOfBoundsException testQuinticMin,   int  starts  =  generator.getStart();  ,optima = new UnivariateRealPointValuePair[1];
increase failing tests,160,replace, [FE] AssertionError testQuinticMin, final  double  bound1  =(min  -  0)?  min  :  min  +  generator.nextDouble()  *  (max  -  min);  ,final double bound1 =(i >= 0)? min : min + generator.nextDouble() * (max - min);
increase failing tests,74,replace, [FE] ArrayIndexOutOfBoundsException testQuinticMin,   this.maxEvaluations  =  0;  ,this.maxEvaluations = 1;
increase failing tests,74,replace, [FE] ArrayIndexOutOfBoundsException testQuinticMin,   this.maxEvaluations  =  0;  ,this.maxEvaluations = 2;
increase failing tests,154,replace, [FE] NullPointerException testQuinticMin,   int  starts  =  Math.min(startValue,  min);  ,double starts = Math.min(startValue, min);
increase failing tests,75,replace, [FE] NullPointerException testQuinticMin,   this.maxEvaluations  =  maxEvaluations  +  1;  ,this.totalEvaluations = totalEvaluations - 1;
increase failing tests,75,replace, [FE] NullPointerException testQuinticMin,   this.maxEvaluations  =  maxEvaluations  -  1;  ,this.totalEvaluations = 0;
increase failing tests,154,replace, [FE] NullPointerException testQuinticMin,   int  starts  =  Math.min(startValue,  max);  ,double starts = Math.min(startValue, max);
increase failing tests,75,replace, [FE] NullPointerException testQuinticMin,   this.maxEvaluations  =  maxEvaluations;  ,this.maxEvaluations = starts;
increase failing tests,155,add, [FE] AssertionError testQuinticMin, ,totalEvaluations  =  2;  int totalEvaluations = 1;
increase failing tests,160,replace, [FE] AssertionError testQuinticMin, final  double  bound1  =(min  -  0)?  min  :  min  +  generator.nextDouble()  *  (max  -  min);  ,final double bound1 =(min > 0)? min : min + generator.nextDouble() *(max - min);
increase failing tests,75,replace, [FE] NullPointerException testQuinticMin,   this.maxEvaluations  =  maxEvaluations;  ,this.totalEvaluations = starts + 1;
increase failing tests,74,replace, [FE] ArrayIndexOutOfBoundsException testQuinticMin,   this.maxEvaluations  =  maxEvaluations;  ,this.totalEvaluations = totalEvaluations - 1;
increase failing tests,74,replace, [FE] ArrayIndexOutOfBoundsException testQuinticMin,   this.maxEvaluations  =  maxEvaluations;  ,this.totalEvaluations = totalEvaluations;
increase failing tests,155,add, [FE] AssertionError testQuinticMin, ,totalEvaluations  =  1;  int totalEvaluations = 1;
increase failing tests,75,replace, [FE] NullPointerException testQuinticMin,   this.maxEvaluations  =  maxEvaluations  -  1;  ,this.maxEvaluations = maxEvaluations * 1;
increase failing tests,74,replace, [FE] ArrayIndexOutOfBoundsException testQuinticMin,   this.totalEvaluations  =  totalEvaluations  +  1;  ,this.totalEvaluations = maxEvaluations + 1;
increase failing tests,74,replace, [FE] ArrayIndexOutOfBoundsException testQuinticMin,   this.maxEvaluations  =  0;  ,this.maxEvaluations = totalEvaluations - 1;
increase failing tests,74,replace, [FE] ArrayIndexOutOfBoundsException testQuinticMin,   this.maxEvaluations  =  maxEvaluations  +  1;  ,this.maxEvaluations = maxEvaluations + 2;
