bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action2	[BUG]  [BUGGY]  [FE]  java.lang.AssertionError:  expected  null  shouldParseConcatenatedShortOptions  [CONTEXT]  private  boolean  isShortOption(String  token)  {  if  (!token.startsWith( "- ")  ||  token.length()  ==  1)  {  return  false;  }    [BUGGY]  int  pos  =  token.lastIndexOf( "= ");  [BUGGY]  String  optName  =  pos  ==  -1  ?  token.substring(1)  :  token.substring(1,  pos);  return  options.hasShortOption(optName);  }  [CLASS]  DefaultParser  [METHOD]  isShortOption  [RETURN_TYPE]  boolean  String  token  [VARIABLES]  Options  options  CommandLine  cmd  boolean  selected  skipParsing  stopAtNonOption  Option  currentOption  opt  List  expectedOpts  String  argument  currentToken  optName  option  token  value  int  pos  	projects/Cli38/src/main/java/org/apache/commons/cli/DefaultParser.java	0.7071067811865475	308	308	1	add	int  pos  =  token.lastIndexOf( "= ");	int  pos  =  token.indexOf( "= ");  	compilable	  [FE]  java.lang.AssertionError:  expected  null  shouldParseConcatenatedShortOptions	5	1
3	[BUG]  [BUGGY]  int  pos  =  token.lastIndexOf( "= ");  [FE]  java.lang.AssertionError:  expected  null  shouldParseConcatenatedShortOptions  [CONTEXT]  private  boolean  isShortOption(String  token)  {  if  (!token.startsWith( "- ")  ||  token.length()  ==  1)  {  return  false;  }    [BUGGY]  int  pos  =  token.lastIndexOf( "= ");  [BUGGY]  String  optName  =  pos  ==  -1  ?  token.substring(1)  :  token.substring(1,  pos);  return  options.hasShortOption(optName);  }  [CLASS]  DefaultParser  [METHOD]  isShortOption  [RETURN_TYPE]  boolean  String  token  [VARIABLES]  Options  options  CommandLine  cmd  boolean  selected  skipParsing  stopAtNonOption  Option  currentOption  opt  List  expectedOpts  String  argument  currentToken  optName  option  token  value  int  pos  	projects/Cli38/src/main/java/org/apache/commons/cli/DefaultParser.java	0.7071067811865475	308	308	1	replace	int  pos  =  token.lastIndexOf( "= ");	int  pos  =  token.indexOf( "= ");  	compilable	  [FE]  java.lang.AssertionError:  expected  null  shouldParseConcatenatedShortOptions	5	1	replace
3	[BUG]  [BUGGY]  [FE]  java.lang.AssertionError:  expected  null  shouldParseConcatenatedShortOptions  [CONTEXT]  private  boolean  isShortOption(String  token)  {  if  (!token.startsWith( "- ")  ||  token.length()  ==  1)  {  return  false;  }    [BUGGY]  int  pos  =  token.indexOf( "-1 ");  [BUGGY]  String  optName  =  pos  ==  -1  ?  token.substring(1)  :  token.substring(1,  pos);  return  options.hasShortOption(optName);  }  [CLASS]  DefaultParser  [METHOD]  isShortOption  [RETURN_TYPE]  boolean  String  token  [VARIABLES]  Options  options  CommandLine  cmd  boolean  selected  skipParsing  stopAtNonOption  Option  currentOption  opt  List  expectedOpts  String  argument  currentToken  optName  option  token  value  int  pos  	projects/Cli38/src/main/java/org/apache/commons/cli/DefaultParser.java	0.7071067811865475	308	308	1	add	int  pos  =  token.indexOf( "-1 ");	int  pos  =  token.indexOf( "= ");  	compilable	  [FE]  java.lang.AssertionError:  expected  null  shouldParseConcatenatedShortOptions	5	1
4	[BUG]  [BUGGY]  int  pos  =  token.indexOf( "-1 ");  [FE]  java.lang.AssertionError:  expected  null  shouldParseConcatenatedShortOptions  [CONTEXT]  private  boolean  isShortOption(String  token)  {  if  (!token.startsWith( "- ")  ||  token.length()  ==  1)  {  return  false;  }    [BUGGY]  int  pos  =  token.indexOf( "-1 ");  [BUGGY]  String  optName  =  pos  ==  -1  ?  token.substring(1)  :  token.substring(1,  pos);  return  options.hasShortOption(optName);  }  [CLASS]  DefaultParser  [METHOD]  isShortOption  [RETURN_TYPE]  boolean  String  token  [VARIABLES]  Options  options  CommandLine  cmd  boolean  selected  skipParsing  stopAtNonOption  Option  currentOption  opt  List  expectedOpts  String  argument  currentToken  optName  option  token  value  int  pos  	projects/Cli38/src/main/java/org/apache/commons/cli/DefaultParser.java	0.7071067811865475	308	308	1	replace	int  pos  =  token.indexOf( "-1 ");	int  pos  =  token.indexOf( "= ");  	compilable	  [FE]  java.lang.AssertionError:  expected  null  shouldParseConcatenatedShortOptions	5	1	replace
5	[BUG]  [BUGGY]    [CE]  cannot  find  symbol  pos  [CONTEXT]  private  boolean  isShortOption(String  token)  {  if  (!token.startsWith( "- ")  ||  token.length()  ==  1)  {  return  false;  }    [BUGGY]    [BUGGY]  String  optName  =  pos  ==  -1  ?  token.substring(1)  :  token.substring(1,  pos);  return  options.hasShortOption(optName);  }  [CLASS]  DefaultParser  [METHOD]  isShortOption  [RETURN_TYPE]  boolean  String  token  [VARIABLES]  Options  options  CommandLine  cmd  boolean  selected  skipParsing  stopAtNonOption  Option  currentOption  opt  List  expectedOpts  String  argument  currentToken  optName  option  token  value  int  pos  	projects/Cli38/src/main/java/org/apache/commons/cli/DefaultParser.java	0.7071067811865475	308	308	1	replace	  	int  pos  =  token.indexOf( "= ");  	non-compiled	[CE]  cannot  find  symbol  pos	5	None	replace
12	[BUG]  [BUGGY]    token  =  currentOption.getLongValue();  [CE]  cannot  find  symbol  [CONTEXT]  if  (skipParsing)  {  cmd.addArg(token);  }  else  if  ( "-- ".equals(token))  {  skipParsing  =  true;  }  else  if  (currentOption  !=  null  &&  currentOption.acceptsArg()  &&  isArgument(token))  {  [BUGGY]    token  =  currentOption.getLongValue();  [BUGGY]  currentOption.addValueForProcessing(Util.stripLeadingAndTrailingQuotes(token));  }  else  if  (token.startsWith( "-- "))  {  handleLongOption(token);  }  else  if  (token.startsWith( "- ")  &&  ! "- ".equals(token))  {  handleShortAndLongOption(token);  }  else  [CLASS]  DefaultParser  [METHOD]  handleToken  [RETURN_TYPE]  void  String  token  [VARIABLES]  Options  options  CommandLine  cmd  boolean  selected  skipParsing  stopAtNonOption  Option  currentOption  opt  List  expectedOpts  String  argument  currentToken  option  token  value  	projects/Cli38/src/main/java/org/apache/commons/cli/DefaultParser.java	0.7071067811865475	235	235	1	replace	    token  =  currentOption.getLongValue();		non-compiled	[CE]  cannot  find  symbol	2	None	add
13	[BUG]  [BUGGY]    token  =  currentOption.getValue();  if( "- ".equals(token))  {  handleShortAndTrailingQuotes(token);  }  [CE]  cannot  find  symbol  [CONTEXT]  if  (skipParsing)  {  cmd.addArg(token);  }  else  if  ( "-- ".equals(token))  {  skipParsing  =  true;  }  else  if  (currentOption  !=  null  &&  currentOption.acceptsArg()  &&  isArgument(token))  {  [BUGGY]    token  =  currentOption.getValue();  if( "- ".equals(token))  {  handleShortAndTrailingQuotes(token);  }  [BUGGY]  currentOption.addValueForProcessing(Util.stripLeadingAndTrailingQuotes(token));  }  else  if  (token.startsWith( "-- "))  {  handleLongOption(token);  }  else  if  (token.startsWith( "- ")  &&  ! "- ".equals(token))  {  handleShortAndLongOption(token);  }  else  [CLASS]  DefaultParser  [METHOD]  handleToken  [RETURN_TYPE]  void  String  token  [VARIABLES]  Options  options  CommandLine  cmd  boolean  selected  skipParsing  stopAtNonOption  Option  currentOption  opt  List  expectedOpts  String  argument  currentToken  option  token  value  	projects/Cli38/src/main/java/org/apache/commons/cli/DefaultParser.java	0.7071067811865475	235	235	1	replace	    token  =  currentOption.getValue();  if( "- ".equals(token))  {  handleShortAndTrailingQuotes(token);  }		non-compiled	[CE]  cannot  find  symbol	2	None	add
22	[BUG]  [BUGGY]  currentOption.addValueForProcessing(Util.stripLeadingQuotes(token));  [CE]  cannot  find  symbol  [CONTEXT]  if  (skipParsing)  {  cmd.addArg(token);  }  else  if  ( "-- ".equals(token))  {  skipParsing  =  true;  }  else  if  (currentOption  !=  null  &&  currentOption.acceptsArg()  &&  isArgument(token))  {  [BUGGY]  currentOption.addValueForProcessing(Util.stripLeadingQuotes(token));  [BUGGY]  }  else  if  (token.startsWith( "-- "))  {  handleLongOption(token);  }  else  if  (token.startsWith( "- ")  &&  ! "- ".equals(token))  {  handleShortAndLongOption(token);  }  else  [CLASS]  DefaultParser  [METHOD]  handleToken  [RETURN_TYPE]  void  String  token  [VARIABLES]  Options  options  CommandLine  cmd  boolean  selected  skipParsing  stopAtNonOption  Option  currentOption  opt  List  expectedOpts  String  argument  currentToken  option  token  value  	projects/Cli38/src/main/java/org/apache/commons/cli/DefaultParser.java	0.7071067811865475	235	235	1	replace	currentOption.addValueForProcessing(Util.stripLeadingQuotes(token));	currentOption.addValueForProcessing(Util.stripLeadingAndTrailingQuotes(token));  	non-compiled	[CE]  cannot  find  symbol	1	None	replace
24	[BUG]  [BUGGY]  currentOption.addValueForProcessing(Util.stripLeadingAndTrailingQuotes(token),  skipParsing);  [CE]  method  addValueForProcessing  in  class  Option  cannot  be  applied  to  given  types;  [CONTEXT]  if  (skipParsing)  {  cmd.addArg(token);  }  else  if  ( "-- ".equals(token))  {  skipParsing  =  true;  }  else  if  (currentOption  !=  null  &&  currentOption.acceptsArg()  &&  isArgument(token))  {  [BUGGY]  currentOption.addValueForProcessing(Util.stripLeadingAndTrailingQuotes(token),  skipParsing);  [BUGGY]  }  else  if  (token.startsWith( "-- "))  {  handleLongOption(token);  }  else  if  (token.startsWith( "- ")  &&  ! "- ".equals(token))  {  handleShortAndLongOption(token);  }  else  [CLASS]  DefaultParser  [METHOD]  handleToken  [RETURN_TYPE]  void  String  token  [VARIABLES]  Options  options  CommandLine  cmd  boolean  selected  skipParsing  stopAtNonOption  Option  currentOption  opt  List  expectedOpts  String  argument  currentToken  option  token  value  	projects/Cli38/src/main/java/org/apache/commons/cli/DefaultParser.java	0.7071067811865475	235	235	1	replace	currentOption.addValueForProcessing(Util.stripLeadingAndTrailingQuotes(token),  skipParsing);	currentOption.addValueForProcessing(Util.stripLeadingAndTrailingQuotes(token));  	non-compiled	[CE]  method  addValueForProcessing  in  class  Option  cannot  be  applied  to  given  types;	1	None	replace
31	[BUG]  [BUGGY]  [FE]  java.lang.AssertionError:  expected  null  shouldParseConcatenatedShortOptions  [CONTEXT]  {  handleShortAndLongOption(token);  }  else  {  handleUnknownToken(token);  }  if  (currentOption  !=  null  &&  !currentOption.acceptsArg())  {  [BUGGY]    token  =  currentOption.getValue();  [BUGGY]  currentOption  =  null;  }  }  [CLASS]  DefaultParser  [METHOD]  handleToken  [RETURN_TYPE]  void  String  token  [VARIABLES]  Options  options  CommandLine  cmd  boolean  selected  skipParsing  stopAtNonOption  Option  currentOption  opt  List  expectedOpts  String  argument  currentToken  option  token  value  	projects/Cli38/src/main/java/org/apache/commons/cli/DefaultParser.java	0.7071067811865475	252	252	1	add	    token  =  currentOption.getValue();		compilable	  [FE]  java.lang.AssertionError:  expected  null  shouldParseConcatenatedShortOptions	4	1
32	[BUG]  [BUGGY]    token  =  currentOption.getValue();  [FE]  java.lang.AssertionError:  expected  null  shouldParseConcatenatedShortOptions  [CONTEXT]  {  handleShortAndLongOption(token);  }  else  {  handleUnknownToken(token);  }  if  (currentOption  !=  null  &&  !currentOption.acceptsArg())  {  [BUGGY]    token  =  currentOption.getValue();  [BUGGY]  currentOption  =  null;  }  }  [CLASS]  DefaultParser  [METHOD]  handleToken  [RETURN_TYPE]  void  String  token  [VARIABLES]  Options  options  CommandLine  cmd  boolean  selected  skipParsing  stopAtNonOption  Option  currentOption  opt  List  expectedOpts  String  argument  currentToken  option  token  value  	projects/Cli38/src/main/java/org/apache/commons/cli/DefaultParser.java	0.7071067811865475	252	252	1	replace	    token  =  currentOption.getValue();		compilable	  [FE]  java.lang.AssertionError:  expected  null  shouldParseConcatenatedShortOptions	4	1	add
