projects/Lang45/src/java/org/apache/commons/lang/WordUtils.java608returnnull;
projects/Lang45/src/java/org/apache/commons/lang/WordUtils.java608returnthis;
projects/Lang45/src/java/org/apache/commons/lang/WordUtils.java608return(str==null)?null:str.toString();
projects/Lang45/src/java/org/apache/commons/lang/WordUtils.java608return(str==null)?null:str.substring(0,str.length()-1);
projects/Lang45/src/java/org/apache/commons/lang/WordUtils.java608returnStringUtils.EMPTY;
projects/Lang45/src/java/org/apache/commons/lang/WordUtils.java608
projects/Lang45/src/java/org/apache/commons/lang/WordUtils.java608result.append(str,lower,upper,appendToEnd);
projects/Lang45/src/java/org/apache/commons/lang/WordUtils.java608StringBufferresult=newStringBuffer(str.length());result.append(str.substring(0,str.length()-1));
projects/Lang45/src/java/org/apache/commons/lang/WordUtils.java608StringBufferresult=newStringBuffer(str.length(),lower,upper,appendToEnd);result.append(str.substring(0,str.length()-1));
projects/Lang45/src/java/org/apache/commons/lang/WordUtils.java608StringBufferresult=newStringBuffer(str.length(),lower,upper,appendToEnd);result.append(str.charAt(lower));
projects/Lang45/src/java/org/apache/commons/lang/WordUtils.java608StringBufferresult=newStringBuffer(str.length()+lower,upper);result.append(str.charAt(lower));
projects/Lang45/src/java/org/apache/commons/lang/WordUtils.java608returnStringUtils.EMPTY+str.substring(lower,upper);
projects/Lang45/src/java/org/apache/commons/lang/WordUtils.java608returnStringBuffer.EMPTY;
projects/Lang45/src/java/org/apache/commons/lang/WordUtils.java608StringBufferresult=newStringBuffer();
projects/Lang45/src/java/org/apache/commons/lang/WordUtils.java608StringBufferresult=newStringBuffer(len+str.length());result.append(str.substring(0,lower+upper));
projects/Lang45/src/java/org/apache/commons/lang/WordUtils.java608StringBufferresult=newStringBuffer(str.length()+lower+appendToEnd);result.append(str.substring(0,lower+upper));
projects/Lang45/src/java/org/apache/commons/lang/WordUtils.java608StringBufferresult=newStringBuffer(len+str.length());result.append(str.charAt(lower+upper));
projects/Lang45/src/java/org/apache/commons/lang/WordUtils.java608StringBufferresult=newStringBuffer(len+str.length());result.append(str.substring(0,lower+upper),appendToEnd);
projects/Lang45/src/java/org/apache/commons/lang/WordUtils.java608StringBufferresult=newStringBuffer(str.length()+lower,upper+appendToEnd);result.append(str.substring(0,str.length()-lower));
projects/Lang45/src/java/org/apache/commons/lang/WordUtils.java608StringBufferresult=newStringBuffer(str.length()+1);result.append(str.substring(0,str.length()-1));
projects/Lang45/src/java/org/apache/commons/lang/WordUtils.java608StringBufferresult=newStringBuffer(str.length()+1);result.append(str.charAt(lower));
projects/Lang45/src/java/org/apache/commons/lang/WordUtils.java608StringBufferresult=newStringBuffer(str.length()+1);result.append(str.substring(0,lower+upper));
projects/Lang45/src/java/org/apache/commons/lang/WordUtils.java608StringBufferresult=newStringBuffer(str.length()+lower,upper+appendToEnd);result.append(str.charAt(lower));
projects/Lang45/src/java/org/apache/commons/lang/WordUtils.java608returnresult;
projects/Lang45/src/java/org/apache/commons/lang/WordUtils.java608returnStringUtils.EMPTY+str.length();
