bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action3	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testBadEndpoints  [CONTEXT]  verifySequence(min,  initial,  max);  double  yInitial  =  f.value(initial);  if  (Math.abs(yInitial)  <=  functionValueAccuracy)  {  setResult(initial,  0);  return  result;  }    [BUGGY]  double  yMin  =  f.value(initial);  [BUGGY]  if  (Math.abs(yMin)  <=  functionValueAccuracy)  {  setResult(yMin,  0);  return  result;  }  if  (yInitial  *  yMin  <  0)  {  return  solve(f,  min,  yMin,  initial,  yInitial,  min,  yMin);  }  [CLASS]  BrentSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  final  double  min  final  double  max  final  double  initial  [VARIABLES]  UnivariateRealFunction  f  String  NON_BRACKETING_MESSAGE  boolean  long  serialVersionUID  double  initial  max  min  yInitial  yMax  yMin  	projects/Math73/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java	0.7071067811865475	113	113	1	add	double  yMin  =  f.value(initial);	double  yMin  =  f.value(min);  	compilable	  [FE]  AssertionFailedError  testBadEndpoints	13	1
4	[BUG]  [BUGGY]  double  yMin  =  f.value(initial);  [FE]  AssertionFailedError  testBadEndpoints  [CONTEXT]  verifySequence(min,  initial,  max);  double  yInitial  =  f.value(initial);  if  (Math.abs(yInitial)  <=  functionValueAccuracy)  {  setResult(initial,  0);  return  result;  }    [BUGGY]  double  yMin  =  f.value(initial);  [BUGGY]  if  (Math.abs(yMin)  <=  functionValueAccuracy)  {  setResult(yMin,  0);  return  result;  }  if  (yInitial  *  yMin  <  0)  {  return  solve(f,  min,  yMin,  initial,  yInitial,  min,  yMin);  }  [CLASS]  BrentSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  final  double  min  final  double  max  final  double  initial  [VARIABLES]  UnivariateRealFunction  f  String  NON_BRACKETING_MESSAGE  boolean  long  serialVersionUID  double  initial  max  min  yInitial  yMax  yMin  	projects/Math73/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java	0.7071067811865475	113	113	1	replace	double  yMin  =  f.value(initial);	double  yMin  =  f.value(min);  	compilable	  [FE]  AssertionFailedError  testBadEndpoints	13	1	replace
4	[BUG]  [BUGGY]  double  yMin  =  f.value(x);  [CE]  cannot  find  symbol  x  [CONTEXT]  verifySequence(min,  initial,  max);  double  yInitial  =  f.value(initial);  if  (Math.abs(yInitial)  <=  functionValueAccuracy)  {  setResult(initial,  0);  return  result;  }    [BUGGY]  double  yMin  =  f.value(x);  [BUGGY]  if  (Math.abs(yMin)  <=  functionValueAccuracy)  {  setResult(yMin,  0);  return  result;  }  if  (yInitial  *  yMin  <  0)  {  return  solve(f,  min,  yMin,  initial,  yInitial,  min,  yMin);  }  [CLASS]  BrentSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  final  double  min  final  double  max  final  double  initial  [VARIABLES]  UnivariateRealFunction  f  String  NON_BRACKETING_MESSAGE  boolean  long  serialVersionUID  double  initial  max  min  yInitial  yMax  yMin  	projects/Math73/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java	0.7071067811865475	113	113	1	replace	double  yMin  =  f.value(x);	double  yMin  =  f.value(min);  	non-compiled	[CE]  cannot  find  symbol  x	13	None	replace
5	[BUG]  [BUGGY]    [CE]  cannot  find  symbol  yMin  [CONTEXT]  verifySequence(min,  initial,  max);  double  yInitial  =  f.value(initial);  if  (Math.abs(yInitial)  <=  functionValueAccuracy)  {  setResult(initial,  0);  return  result;  }    [BUGGY]    [BUGGY]  if  (Math.abs(yMin)  <=  functionValueAccuracy)  {  setResult(yMin,  0);  return  result;  }  if  (yInitial  *  yMin  <  0)  {  return  solve(f,  min,  yMin,  initial,  yInitial,  min,  yMin);  }  [CLASS]  BrentSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  final  double  min  final  double  max  final  double  initial  [VARIABLES]  UnivariateRealFunction  f  String  NON_BRACKETING_MESSAGE  boolean  long  serialVersionUID  double  initial  max  min  yInitial  yMax  yMin  	projects/Math73/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java	0.7071067811865475	113	113	1	replace	  	double  yMin  =  f.value(min);  	non-compiled	[CE]  cannot  find  symbol  yMin	13	None	replace
12	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testBadEndpoints  [CONTEXT]  setResult(yMin,  0);  return  result;  }  if  (yInitial  *  yMin  <  0)  {  return  solve(f,  min,  yMin,  initial,  yInitial,  min,  yMin);  }    [BUGGY]  double  yMax  =  f.value(initial);  [BUGGY]  if  (Math.abs(yMax)  <=  functionValueAccuracy)  {  setResult(yMax,  0);  return  result;  }  if  (yInitial  *  yMax  <  0)  {  return  solve(f,  initial,  yInitial,  max,  yMax,  initial,  yInitial);  }  [CLASS]  BrentSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  final  double  min  final  double  max  final  double  initial  [VARIABLES]  UnivariateRealFunction  f  String  NON_BRACKETING_MESSAGE  boolean  long  serialVersionUID  double  initial  max  min  yInitial  yMax  yMin  	projects/Math73/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java	0.7071067811865475	125	125	1	add	double  yMax  =  f.value(initial);	double  yMax  =  f.value(max);  	compilable	  [FE]  AssertionFailedError  testBadEndpoints	19	1
13	[BUG]  [BUGGY]  double  yMax  =  f.value(initial);  [FE]  AssertionFailedError  testBadEndpoints  [CONTEXT]  setResult(yMin,  0);  return  result;  }  if  (yInitial  *  yMin  <  0)  {  return  solve(f,  min,  yMin,  initial,  yInitial,  min,  yMin);  }    [BUGGY]  double  yMax  =  f.value(initial);  [BUGGY]  if  (Math.abs(yMax)  <=  functionValueAccuracy)  {  setResult(yMax,  0);  return  result;  }  if  (yInitial  *  yMax  <  0)  {  return  solve(f,  initial,  yInitial,  max,  yMax,  initial,  yInitial);  }  [CLASS]  BrentSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  final  double  min  final  double  max  final  double  initial  [VARIABLES]  UnivariateRealFunction  f  String  NON_BRACKETING_MESSAGE  boolean  long  serialVersionUID  double  initial  max  min  yInitial  yMax  yMin  	projects/Math73/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java	0.7071067811865475	125	125	1	replace	double  yMax  =  f.value(initial);	double  yMax  =  f.value(max);  	compilable	  [FE]  AssertionFailedError  testBadEndpoints	19	1	replace
13	[BUG]  [BUGGY]  double  yMax  =  f.max(initial);  [CE]  cannot  find  symbol  [CONTEXT]  setResult(yMin,  0);  return  result;  }  if  (yInitial  *  yMin  <  0)  {  return  solve(f,  min,  yMin,  initial,  yInitial,  min,  yMin);  }    [BUGGY]  double  yMax  =  f.max(initial);  [BUGGY]  if  (Math.abs(yMax)  <=  functionValueAccuracy)  {  setResult(yMax,  0);  return  result;  }  if  (yInitial  *  yMax  <  0)  {  return  solve(f,  initial,  yInitial,  max,  yMax,  initial,  yInitial);  }  [CLASS]  BrentSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  final  double  min  final  double  max  final  double  initial  [VARIABLES]  UnivariateRealFunction  f  String  NON_BRACKETING_MESSAGE  boolean  long  serialVersionUID  double  initial  max  min  yInitial  yMax  yMin  	projects/Math73/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java	0.7071067811865475	125	125	1	replace	double  yMax  =  f.max(initial);	double  yMax  =  f.value(max);  	non-compiled	[CE]  cannot  find  symbol	19	None	replace
14	[BUG]  [BUGGY]  double  yMax  =  f.maximum(initial);  [CE]  cannot  find  symbol  [CONTEXT]  setResult(yMin,  0);  return  result;  }  if  (yInitial  *  yMin  <  0)  {  return  solve(f,  min,  yMin,  initial,  yInitial,  min,  yMin);  }    [BUGGY]  double  yMax  =  f.maximum(initial);  [BUGGY]  if  (Math.abs(yMax)  <=  functionValueAccuracy)  {  setResult(yMax,  0);  return  result;  }  if  (yInitial  *  yMax  <  0)  {  return  solve(f,  initial,  yInitial,  max,  yMax,  initial,  yInitial);  }  [CLASS]  BrentSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  final  double  min  final  double  max  final  double  initial  [VARIABLES]  UnivariateRealFunction  f  String  NON_BRACKETING_MESSAGE  boolean  long  serialVersionUID  double  initial  max  min  yInitial  yMax  yMin  	projects/Math73/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java	0.7071067811865475	125	125	1	replace	double  yMax  =  f.maximum(initial);	double  yMax  =  f.value(max);  	non-compiled	[CE]  cannot  find  symbol	19	None	replace
15	[BUG]  [BUGGY]    [CE]  cannot  find  symbol  yMax  [CONTEXT]  setResult(yMin,  0);  return  result;  }  if  (yInitial  *  yMin  <  0)  {  return  solve(f,  min,  yMin,  initial,  yInitial,  min,  yMin);  }    [BUGGY]    [BUGGY]  if  (Math.abs(yMax)  <=  functionValueAccuracy)  {  setResult(yMax,  0);  return  result;  }  if  (yInitial  *  yMax  <  0)  {  return  solve(f,  initial,  yInitial,  max,  yMax,  initial,  yInitial);  }  [CLASS]  BrentSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  final  double  min  final  double  max  final  double  initial  [VARIABLES]  UnivariateRealFunction  f  String  NON_BRACKETING_MESSAGE  boolean  long  serialVersionUID  double  initial  max  min  yInitial  yMax  yMin  	projects/Math73/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java	0.7071067811865475	125	125	1	replace	  	double  yMax  =  f.value(max);  	non-compiled	[CE]  cannot  find  symbol  yMax	19	None	replace
21	[BUG]  [BUGGY]    setResult(min,  ret);  [CE]  no  suitable  method  found  for  setResult(double,double)  [CONTEXT]  }  else  if  (Math.abs(yMax)  <=  functionValueAccuracy)  {  setResult(max,  0);  ret  =  max;  }  else  {    [BUGGY]    setResult(min,  ret);  [BUGGY]  throw  MathRuntimeException.createIllegalArgumentException(      NON_BRACKETING_MESSAGE,  min,  max,  yMin,  yMax);  NON_BRACKETING_MESSAGE,  min,  max,  yMin,  yMax);  }  [CLASS]  BrentSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  final  double  min  final  double  max  [VARIABLES]  UnivariateRealFunction  f  String  NON_BRACKETING_MESSAGE  boolean  long  serialVersionUID  double  max  min  ret  sign  yMax  yMin  	projects/Math73/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java	1.0	184	185	1	replace	    setResult(min,  ret);		non-compiled	[CE]  no  suitable  method  found  for  setResult(double,double)	4	None	add
22	[BUG]  [BUGGY]    setResult(min,  ret);  ret  =  min;  [CE]  no  suitable  method  found  for  setResult(double,double)  [CONTEXT]  }  else  if  (Math.abs(yMax)  <=  functionValueAccuracy)  {  setResult(max,  0);  ret  =  max;  }  else  {    [BUGGY]    setResult(min,  ret);  ret  =  min;  [BUGGY]  throw  MathRuntimeException.createIllegalArgumentException(      NON_BRACKETING_MESSAGE,  min,  max,  yMin,  yMax);  NON_BRACKETING_MESSAGE,  min,  max,  yMin,  yMax);  }  [CLASS]  BrentSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  final  double  min  final  double  max  [VARIABLES]  UnivariateRealFunction  f  String  NON_BRACKETING_MESSAGE  boolean  long  serialVersionUID  double  max  min  ret  sign  yMax  yMin  	projects/Math73/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java	1.0	184	185	1	replace	    setResult(min,  ret);  ret  =  min;		non-compiled	[CE]  no  suitable  method  found  for  setResult(double,double)	4	None	add
