increase failing tests,113,replace, [FE] AssertionFailedError testBadEndpoints,double yMin = f.value(min); ,double yMin = f.value(max);
compilation error,113,replace,[CE] cannot find symbol x,double yMin = f.value(min); ,double yMin = f.value(x);
compilation error,113,replace,[CE] cannot find symbol yMin,double yMin = f.value(min); , 
increase failing tests,125,replace, [FE] AssertionFailedError testBadEndpoints,double yMax = f.value(max); ,double yMax = f.value(min);
compilation error,125,replace,[CE] cannot find symbol,double yMax = f.value(max); ,double yMax = f.max(initial);
compilation error,125,replace,[CE] cannot find symbol,double yMax = f.value(max); ,double yMax = f.maximum(initial);
compilation error,125,replace,[CE] cannot find symbol yMax,double yMax = f.value(max); , 
compilation error,184,add,[CE] no suitable method found for setResult(double,double),,  setResult(min, ret);
compilation error,184,add,[CE] no suitable method found for setResult(double,double),,  setResult(min, ret); ret = min;
compilation error,184,add,[CE] no suitable method found for setResult(double,double),,  setResult(min, max); ret = min;
compilation error,184,add,[CE] no suitable method found for setResult(double,double),,  setResult(min, ret); ret = max;
compilation error,184,add,[CE] no suitable method found for setResult(double,double),,  setResult(min, ret); ret = sign;
compilation error,138,add,[CE] no suitable method found for solve(UnivariateRealFunction,double,double,double,double,double),,  if(yInitial * yMax > 0) { return solve(f, min, initial, max, yMin, yMax); }
compilation error,103,replace,[CE] cannot find symbol,verifySequence(min, initial, max); ,clearSequence(min, initial, max);
compilation error,103,replace,[CE] no suitable method found for setResult(double,double),verifySequence(min, initial, max); ,setResult(initial, max);
compilation error,103,replace,[CE] no suitable method found for setResult(double,double,double),verifySequence(min, initial, max); ,setResult(min, initial, max);
increase failing tests,103,replace, [FE] AssertionFailedError testBadEndpoints,verifySequence(min, initial, max); , 
compilation error,106,add,[CE] variable yMax is already defined in method solve(UnivariateRealFunction,double,double,double),,  double yMax = f.value(max);
compilation error,106,add,[CE] ';' expected,,  double functionValueAccuracy = Math.abs(max) <= functionValueAccuracy);
increase failing tests,106,add, [FE] AssertionFailedError testBadEndpoints,,  double functionValueAccuracy = Math.abs(max);
compilation error,106,add,[CE] ';' expected,,  double functionValueAccuracy = Math.abs(max) < functionValueAccuracy);
increase failing tests,106,add, [FE] AssertionFailedError testBadEndpoints,,  double functionValueAccuracy = Math.abs(f.value(max));
compilation error,120,add,[CE] variable yInitial is already defined in method solve(UnivariateRealFunction,double,double,double),,  double yInitial = f.value(initial);
compilation error,120,add,[CE] variable yInitial is already defined in method solve(UnivariateRealFunction,double,double,double),,  double yInitial = f.value(min);
compilation error,120,add,[CE] variable yInitial is already defined in method solve(UnivariateRealFunction,double,double,double),,  Double yInitial = f.value(initial);
compilation error,120,add,[CE] variable yInitial is already defined in method solve(UnivariateRealFunction,double,double,double),,  final double yInitial = f.value(initial);
compilation error,120,add,[CE] variable initial is already defined in method solve(UnivariateRealFunction,double,double,double),,  double initial = f.value(initial);
compilation error,125,add,[CE] variable yMin is already defined in method solve(UnivariateRealFunction,double,double,double),,  double yMin = f.value(min);
compilation error,125,add,[CE] variable yMin is already defined in method solve(UnivariateRealFunction,double,double,double),,  double yMin = f.value(initial);
compilation error,125,add,[CE] variable x might not have been initialized,,  double x = f.value(x);
compilation error,125,add,[CE] variable yMin is already defined in method solve(UnivariateRealFunction,double,double,double),,  Double yMin = f.value(min);
compilation error,113,add,[CE] variable min is already defined in method solve(UnivariateRealFunction,double,double,double),,  double min = f.value(max);
compilation error,113,add,[CE] variable min is already defined in method solve(UnivariateRealFunction,double,double,double),,  double min = f.value(min);
compilation error,113,add,[CE] variable min is already defined in method solve(UnivariateRealFunction,double,double,double),,  double min = f.value(min); if(Math.abs(max) <= functionValueAccuracy) { setResult(max, 0); return result; }
