bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]  if(!group.isRequired())  {  [BUGGY]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	add	if(!group.isRequired())  {	if  (group.isRequired())  {  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	10	1
2	[BUG]  [BUGGY]  if(!group.isRequired())  {  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]  if(!group.isRequired())  {  [BUGGY]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	replace	if(!group.isRequired())  {	if  (group.isRequired())  {  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	10	1	replace
3	[BUG]  [BUGGY]  if(group.isRequired()  ||  group.isInitializingDeclaration())  {  [CE]  cannot  find  symbol  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]  if(group.isRequired()  ||  group.isInitializingDeclaration())  {  [BUGGY]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	replace	if(group.isRequired()  ||  group.isInitializingDeclaration())  {	if  (group.isRequired())  {  	non-compiled	[CE]  cannot  find  symbol	10	None	replace
4	[BUG]  [BUGGY]  if(group.isRequired()  ||  group.isUnknown())  {  [CE]  cannot  find  symbol  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]  if(group.isRequired()  ||  group.isUnknown())  {  [BUGGY]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	replace	if(group.isRequired()  ||  group.isUnknown())  {	if  (group.isRequired())  {  	non-compiled	[CE]  cannot  find  symbol	10	None	replace
5	[BUG]  [BUGGY]    [CE]  illegal  start  of  type  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]    [BUGGY]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	replace	  	if  (group.isRequired())  {  	non-compiled	[CE]  illegal  start  of  type	10	None	replace
12	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  [BUGGY]  requiredOpts.remove(group);  [BUGGY]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	73	73	1	add	requiredOpts.remove(group);	requiredOpts.add(group);  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	12	1
13	[BUG]  [BUGGY]  requiredOpts.remove(group);  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  [BUGGY]  requiredOpts.remove(group);  [BUGGY]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	73	73	1	replace	requiredOpts.remove(group);	requiredOpts.add(group);  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	12	1	replace
13	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  [BUGGY]  requiredOpts.clear();  [BUGGY]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	73	73	1	add	requiredOpts.clear();	requiredOpts.add(group);  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	12	1
14	[BUG]  [BUGGY]  requiredOpts.clear();  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  [BUGGY]  requiredOpts.clear();  [BUGGY]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	73	73	1	replace	requiredOpts.clear();	requiredOpts.add(group);  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	12	1	replace
14	[BUG]  [BUGGY]  requiredOpts.add(new  OptionGroup(group));  [CE]  constructor  OptionGroup  in  class  OptionGroup  cannot  be  applied  to  given  types;  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  [BUGGY]  requiredOpts.add(new  OptionGroup(group));  [BUGGY]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	73	73	1	replace	requiredOpts.add(new  OptionGroup(group));	requiredOpts.add(group);  	non-compiled	[CE]  constructor  OptionGroup  in  class  OptionGroup  cannot  be  applied  to  given  types;	12	None	replace
15	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  [BUGGY]    [BUGGY]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	73	73	1	add	  	requiredOpts.add(group);  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	12	1
