FL_Ranking,Iteration,Time
5,0,31086.109002828598
5,0,31102.797204494476
5,0,31163.12678360939
5,0,31183.469281196594
5,0,31191.4907913208
5,1,31262.292773485184
5,1,31270.49400615692
5,1,31312.373405218124
5,1,31377.63475227356
5,1,31394.108840465546
5,1,31432.18929028511
5,1,31572.916429519653
5,2,32222.813714504242
5,2,32238.56230521202
5,2,32353.384950637817
5,2,32370.100385904312
5,2,33138.91103696823
5,2,33473.076976537704
6,0,33671.746512174606
6,0,33700.844212055206
6,0,33719.41069841385
6,0,33738.6209962368
6,1,33935.7082824707
6,1,33955.425854206085
6,1,33974.18056797981
6,1,33994.52969288826
6,1,34015.13924884796
6,1,34034.885596990585
6,1,34053.14447069168
6,1,34070.992901563644
6,1,34088.18775296211
6,1,34157.77900791168
6,1,34230.803005218506
6,1,34255.0550327301
6,1,34274.587258815765
6,1,34350.265084028244
6,1,34392.892993211746
6,1,34584.58155012131
6,1,34602.84702205658
6,1,34631.54837536812
6,1,34696.46263098717
6,1,34767.41893529892
6,1,34787.88136649132
6,1,34875.66586685181
6,1,34950.3478615284
6,2,35108.06929540634
6,2,35205.58154416084
6,2,35311.230961084366
6,2,35329.81774902344
6,2,35349.206135988235
6,2,35367.99108362198
6,2,35387.00117444992
6,2,35537.43139767647
6,2,35556.657999038696
6,2,35614.01438784599
6,2,35652.53777098656
6,2,35731.33467626572
6,2,35886.06236624718
6,2,35935.352862119675
6,2,35953.67507600784
6,2,36019.316804647446
6,2,36095.251720905304
6,2,36133.312712192535
6,2,36159.09675073624
6,2,36309.023309230804
6,2,36365.47190093994
6,2,36417.14509034157
6,2,36465.91311311722
6,2,36530.526805877686
6,2,36622.538267850876
6,2,36649.911259412766
6,2,36668.32989525795
6,2,36731.84786128998
6,2,36750.40561056137
6,2,36832.016947984695
6,2,36916.34524130821
6,2,37023.94857978821
6,2,37107.933178424835
6,2,37182.572821855545
6,2,37499.42572975159
6,2,37524.500806093216
6,2,37564.336794137955
6,2,37583.479105234146
6,2,37601.605837106705
6,2,37866.984855651855
6,2,37886.81913495064
6,2,37969.020094156265
6,2,37986.9287853241
6,2,38020.56065368652
6,2,38108.86059474945
6,2,38268.64206790924
7,0,38376.29925251007
7,0,38446.369166612625
7,0,38482.78573703766
7,1,38832.96812462807
7,1,38905.58682727814
7,1,39659.697399139404
7,2,40094.35471391678
7,2,40152.88067483902
7,2,41619.12633252144
7,2,41639.04176568985
7,2,41976.768907547
7,2,42037.972289562225
