projects/Compress13/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86
projects/Compress13/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=(ZipArchiveEntry<K,V>)entry.getValue();
projects/Compress13/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=getEntry();
projects/Compress13/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=(ZipArchiveEntry<K,V>)entry.getKey();
projects/Compress13/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=(ZipArchiveEntry<K,V>)entry.clone();
projects/Compress13/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=(ZipArchiveEntry<K,V>)entry.getValue();name=entry.getKey();
projects/Compress13/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=newZipArchiveEntry<K,V>();
projects/Compress13/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=(ZipArchiveEntry<K,V>)entry.getKey();name=entry.getValue();
projects/Compress13/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=newZipArchiveEntry<K,V>();name=entry.getValue();
projects/Compress13/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=newZipArchiveEntry<K,V>();name=entry.getKey();
projects/Compress13/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86name=ZipArchiveEntry.class.getSimpleName();
projects/Compress13/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=newZipArchiveEntry<K,V>();this.name=entry.getKey();
projects/Compress13/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=newZipArchiveEntry<K,V>();this.name=entry.getValue();
projects/Compress13/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=getEntry();this.name=entry.getName();
projects/Compress13/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=newZipArchiveEntry<K,V>();this.name=entry.getName();
projects/Compress13/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=getEntry();this.name=entry.getKey();
