projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java316this.keys.remove(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java316this.keys.remove(index-1);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java316
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java316ArrayListkeys=(ArrayList)this.keys.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java316ArrayListkeys=this.keys.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java316ArrayListkeys=(ArrayList)this.values.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java316this.values.remove(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java316ArrayListkeys=(ArrayList)this.values.get(index);ArrayListkeys=(ArrayList)this.values.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java316ArrayListkeys=(ArrayList)this.values.get(index);ArrayListkeys=(ArrayList)this.keys.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java316this.keys.remove(index-1);this.keys.remove(index-1);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java316this.keys.remove(index-1);ArrayListkeys=this.keys.get(index-1);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java316intindex=this.values.size();
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java316this.values.remove(index);this.values.remove(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java316Listkeys=this.keys.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java316ArrayListkeys=(ArrayList)this.keys.get(index);ArrayListkeys=(ArrayList)this.keys.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java316ArrayListkeys=(ArrayList)this.keys.get(index);Listkeys=(ArrayList)this.keys.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java316intindex=this.keys.indexOf(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java316this.values.remove(index);ArrayListvalues=this.values.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java316ArrayListkeys=(ArrayList)this.values.get(index);Listkeys=(ArrayList)this.values.get(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java316this.values.remove(index);this.keys.remove(index);
projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java316ArrayListkeys=getKeys();
