projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newSortedList<Pair<T,Double>=samples);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newSortedList<Pair<T,Double>>samples);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newSortedList<Pair<T,Double>));
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newWell19937c(),samples);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newWell19937c(),samples,null);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newWell2001c(),samples);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newWell19937c(),samples,randomGenerator);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69RandomGeneratorrandomGenerator=newRandomGenerator();randomGenerator.setIndexedSingletons(singletons);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newSortedWell19937c(),samples);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newWell19937(),samples);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69RandomGeneratorrandomGenerator=newRandomGenerator();randomGenerator.setIndexedField(this,T,0,samples);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newSortedList<Pair<T,Double>,samples);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newSortedList<Pair<T,Double>),samples);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newWell19937c(),samples,null,randomGenerator);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newSortedWell19937c(),samples,null);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newWell19937(),samples,randomGenerator);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newWell19937(),samples,null);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69randomGenerator=newRandomGenerator();randomGenerator.setIndexedSingletons(singletons);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newWell19937c(),samples,probability);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newSortedWell19937c(),samples,randomGenerator);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newSortedWell19937(),samples,randomGenerator);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newWell2001c(),samples,null);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newWell2001c(),samples,randomGenerator);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newSortedList<Pair<T,Double>>samples,null);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newSortedList<Pair<T,Double>>samples,false);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69RandomGeneratorrandomGenerator=newRandomGenerator(this);randomGenerator.setIndexedField(this,T,0,samples);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newSortedList<Pair<T,Double>>samples,randomGenerator);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69RandomGeneratorrandomGenerator=newRandomGenerator();randomGenerator.setIndexedSingletons(selected);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newWell19937c(),samples,0,null);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newWell19937c(),samples,T);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newSortedList<Pair<T,Double>>samples,newDouble[]{});
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69RandomGeneratorrandomGenerator=newRandomGenerator();randomGenerator.setIndexedField(this,T,1,samples);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newWell19937c(),samples,randomizer);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newWell19937(),samples,T);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newSortedWell19937(),samples,null);
projects/Math8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java69this(newWell2001c(),samples,T);
