bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
2	[BUG]  [BUGGY]  this.rows  =  rowDimension?  1  :  rowDimension  -  1;  [CE]  incompatible  types  [CONTEXT]  public  OpenMapRealMatrix(int  rowDimension,  int  columnDimension)  {  super(rowDimension,  columnDimension);  [BUGGY]  this.rows  =  rowDimension?  1  :  rowDimension  -  1;  [BUGGY]  this.columns  =  columnDimension;  this.entries  =  new  OpenIntToDoubleHashMap(0.0);  }  [CLASS]  OpenMapRealMatrix  [METHOD]  <init>  [RETURN_TYPE]  OpenMapRealMatrix(int,int)  int  rowDimension  int  columnDimension  [VARIABLES]  boolean  OpenIntToDoubleHashMap  entries  long  serialVersionUID  int  columnDimension  columns  rowDimension  rows  	projects/Math45/src/main/java/org/apache/commons/math/linear/OpenMapRealMatrix.java	1.0	50	50	1	replace	this.rows  =  rowDimension?  1  :  rowDimension  -  1;	this.rows  =  rowDimension;  	non-compiled	[CE]  incompatible  types	3	None
3	[BUG]  [BUGGY]  [FE]  AssertionError  testMath679  [CONTEXT]  public  OpenMapRealMatrix(int  rowDimension,  int  columnDimension)  {  super(rowDimension,  columnDimension);  [BUGGY]  this.rows  =  rowDimension  -  1;  [BUGGY]  this.columns  =  columnDimension;  this.entries  =  new  OpenIntToDoubleHashMap(0.0);  }  [CLASS]  OpenMapRealMatrix  [METHOD]  <init>  [RETURN_TYPE]  OpenMapRealMatrix(int,int)  int  rowDimension  int  columnDimension  [VARIABLES]  boolean  OpenIntToDoubleHashMap  entries  long  serialVersionUID  int  columnDimension  columns  rowDimension  rows  	projects/Math45/src/main/java/org/apache/commons/math/linear/OpenMapRealMatrix.java	1.0	50	50	1	add	this.rows  =  rowDimension  -  1;	this.rows  =  rowDimension;  	compilable	  [FE]  AssertionError  testMath679	3	1
4	[BUG]  [BUGGY]  this.rows  =  rowDimension  -  1;  [FE]  AssertionError  testMath679  [CONTEXT]  public  OpenMapRealMatrix(int  rowDimension,  int  columnDimension)  {  super(rowDimension,  columnDimension);  [BUGGY]  this.rows  =  rowDimension  -  1;  [BUGGY]  this.columns  =  columnDimension;  this.entries  =  new  OpenIntToDoubleHashMap(0.0);  }  [CLASS]  OpenMapRealMatrix  [METHOD]  <init>  [RETURN_TYPE]  OpenMapRealMatrix(int,int)  int  rowDimension  int  columnDimension  [VARIABLES]  boolean  OpenIntToDoubleHashMap  entries  long  serialVersionUID  int  columnDimension  columns  rowDimension  rows  	projects/Math45/src/main/java/org/apache/commons/math/linear/OpenMapRealMatrix.java	1.0	50	50	1	replace	this.rows  =  rowDimension  -  1;	this.rows  =  rowDimension;  	compilable	  [FE]  AssertionError  testMath679	3	1
4	[BUG]  [BUGGY]  this.rows  =  rowDimension?  1  :  rowDimension  :  0;  [CE]  ';'  expected  [CONTEXT]  public  OpenMapRealMatrix(int  rowDimension,  int  columnDimension)  {  super(rowDimension,  columnDimension);  [BUGGY]  this.rows  =  rowDimension?  1  :  rowDimension  :  0;  [BUGGY]  this.columns  =  columnDimension;  this.entries  =  new  OpenIntToDoubleHashMap(0.0);  }  [CLASS]  OpenMapRealMatrix  [METHOD]  <init>  [RETURN_TYPE]  OpenMapRealMatrix(int,int)  int  rowDimension  int  columnDimension  [VARIABLES]  boolean  OpenIntToDoubleHashMap  entries  long  serialVersionUID  int  columnDimension  columns  rowDimension  rows  	projects/Math45/src/main/java/org/apache/commons/math/linear/OpenMapRealMatrix.java	1.0	50	50	1	replace	this.rows  =  rowDimension?  1  :  rowDimension  :  0;	this.rows  =  rowDimension;  	non-compiled	[CE]  ';'  expected	3	None
5	[BUG]  [BUGGY]    [CE]  variable  rows  might  not  have  been  initialized  [CONTEXT]  public  OpenMapRealMatrix(int  rowDimension,  int  columnDimension)  {  super(rowDimension,  columnDimension);  [BUGGY]    [BUGGY]  this.columns  =  columnDimension;  this.entries  =  new  OpenIntToDoubleHashMap(0.0);  }  [CLASS]  OpenMapRealMatrix  [METHOD]  <init>  [RETURN_TYPE]  OpenMapRealMatrix(int,int)  int  rowDimension  int  columnDimension  [VARIABLES]  boolean  OpenIntToDoubleHashMap  entries  long  serialVersionUID  int  columnDimension  columns  rowDimension  rows  	projects/Math45/src/main/java/org/apache/commons/math/linear/OpenMapRealMatrix.java	1.0	50	50	1	replace	  	this.rows  =  rowDimension;  	non-compiled	[CE]  variable  rows  might  not  have  been  initialized	3	None
11	[BUG]  [BUGGY]    super(rowDimension,  columnDimension);  [CE]  call  to  super  must  be  first  statement  in  constructor  [CONTEXT]  public  OpenMapRealMatrix(int  rowDimension,  int  columnDimension)  {  [BUGGY]    super(rowDimension,  columnDimension);  [BUGGY]  super(rowDimension,  columnDimension);  this.rows  =  rowDimension;  this.columns  =  columnDimension;  this.entries  =  new  OpenIntToDoubleHashMap(0.0);  }  [CLASS]  OpenMapRealMatrix  [METHOD]  <init>  [RETURN_TYPE]  OpenMapRealMatrix(int,int)  int  rowDimension  int  columnDimension  [VARIABLES]  boolean  OpenIntToDoubleHashMap  entries  long  serialVersionUID  int  columnDimension  columns  rowDimension  rows  	projects/Math45/src/main/java/org/apache/commons/math/linear/OpenMapRealMatrix.java	1.0	49	49	1	replace	    super(rowDimension,  columnDimension);		non-compiled	[CE]  call  to  super  must  be  first  statement  in  constructor	2	None
12	[BUG]  [BUGGY]    this(rowDimension,  columnDimension,  null);  [CE]  no  suitable  constructor  found  for  OpenMapRealMatrix(int,int,<null>)  [CONTEXT]  public  OpenMapRealMatrix(int  rowDimension,  int  columnDimension)  {  [BUGGY]    this(rowDimension,  columnDimension,  null);  [BUGGY]  super(rowDimension,  columnDimension);  this.rows  =  rowDimension;  this.columns  =  columnDimension;  this.entries  =  new  OpenIntToDoubleHashMap(0.0);  }  [CLASS]  OpenMapRealMatrix  [METHOD]  <init>  [RETURN_TYPE]  OpenMapRealMatrix(int,int)  int  rowDimension  int  columnDimension  [VARIABLES]  boolean  OpenIntToDoubleHashMap  entries  long  serialVersionUID  int  columnDimension  columns  rowDimension  rows  	projects/Math45/src/main/java/org/apache/commons/math/linear/OpenMapRealMatrix.java	1.0	49	49	1	replace	    this(rowDimension,  columnDimension,  null);		non-compiled	[CE]  no  suitable  constructor  found  for  OpenMapRealMatrix(int,int,<null>)	2	None
13	[BUG]  [BUGGY]    this(rowDimension,  columnDimension);  [CE]  call  to  super  must  be  first  statement  in  constructor  [CONTEXT]  public  OpenMapRealMatrix(int  rowDimension,  int  columnDimension)  {  [BUGGY]    this(rowDimension,  columnDimension);  [BUGGY]  super(rowDimension,  columnDimension);  this.rows  =  rowDimension;  this.columns  =  columnDimension;  this.entries  =  new  OpenIntToDoubleHashMap(0.0);  }  [CLASS]  OpenMapRealMatrix  [METHOD]  <init>  [RETURN_TYPE]  OpenMapRealMatrix(int,int)  int  rowDimension  int  columnDimension  [VARIABLES]  boolean  OpenIntToDoubleHashMap  entries  long  serialVersionUID  int  columnDimension  columns  rowDimension  rows  	projects/Math45/src/main/java/org/apache/commons/math/linear/OpenMapRealMatrix.java	1.0	49	49	1	replace	    this(rowDimension,  columnDimension);		non-compiled	[CE]  call  to  super  must  be  first  statement  in  constructor	2	None
14	[BUG]  [BUGGY]    this(rowDimension,  columnDimension,  true);  [CE]  no  suitable  constructor  found  for  OpenMapRealMatrix(int,int,boolean)  [CONTEXT]  public  OpenMapRealMatrix(int  rowDimension,  int  columnDimension)  {  [BUGGY]    this(rowDimension,  columnDimension,  true);  [BUGGY]  super(rowDimension,  columnDimension);  this.rows  =  rowDimension;  this.columns  =  columnDimension;  this.entries  =  new  OpenIntToDoubleHashMap(0.0);  }  [CLASS]  OpenMapRealMatrix  [METHOD]  <init>  [RETURN_TYPE]  OpenMapRealMatrix(int,int)  int  rowDimension  int  columnDimension  [VARIABLES]  boolean  OpenIntToDoubleHashMap  entries  long  serialVersionUID  int  columnDimension  columns  rowDimension  rows  	projects/Math45/src/main/java/org/apache/commons/math/linear/OpenMapRealMatrix.java	1.0	49	49	1	replace	    this(rowDimension,  columnDimension,  true);		non-compiled	[CE]  no  suitable  constructor  found  for  OpenMapRealMatrix(int,int,boolean)	2	None
15	[BUG]  [BUGGY]    this(new  IntToDoubleHashMap());  [CE]  cannot  find  symbol  [CONTEXT]  public  OpenMapRealMatrix(int  rowDimension,  int  columnDimension)  {  [BUGGY]    this(new  IntToDoubleHashMap());  [BUGGY]  super(rowDimension,  columnDimension);  this.rows  =  rowDimension;  this.columns  =  columnDimension;  this.entries  =  new  OpenIntToDoubleHashMap(0.0);  }  [CLASS]  OpenMapRealMatrix  [METHOD]  <init>  [RETURN_TYPE]  OpenMapRealMatrix(int,int)  int  rowDimension  int  columnDimension  [VARIABLES]  boolean  OpenIntToDoubleHashMap  entries  long  serialVersionUID  int  columnDimension  columns  rowDimension  rows  	projects/Math45/src/main/java/org/apache/commons/math/linear/OpenMapRealMatrix.java	1.0	49	49	1	replace	    this(new  IntToDoubleHashMap());		non-compiled	[CE]  cannot  find  symbol	2	None
