projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java138escapeJavaStyleString(out,str,true);
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java138escapeJavaStyleString(out,str,false);
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java138EscapeJavaStyleString(out,str,false);
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java138escapeJavaStyleString(out,str);
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java138escapeJavaStyleString(out,str,null);
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java138
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java138out.write(str);
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java138if(str==null){out.write('n');}else{out.write(str);}
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java138if(str==null){out.write('ufffd');}else{out.write(str);}
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java138if(str==null){out.write("n");}else{out.write(str);}
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java138if(str!=null){out.write('n');}else{out.write(str);}
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java138if(str==null){out.write('ufffd');out.write('ufffd');}else{out.write('ufffd');}
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java138if(str==null){out.write('ufffd');}else{out.write('ufffd');}
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java138OutputStreamout=newFileOutputStream(str);
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java138if(str==null){out.write("n");}else{out.write('n');}
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java138if(str==null){out.write("n");}else{escapeJavaStyleString(out,str,false);}
projects/Lang52/src/java/org/apache/commons/lang/StringEscapeUtils.java138if(str==null){out.write('ufffd');out.write('ufffd');}else{out.write(str);}
