projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112ColorgroupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112this.groupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112this.groupPaint=Color.white;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatetransientPaintgroupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatetransientPaintgroupPaint=Color.blue;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatetransientPaintgroupPaint=Color.white;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112Preconditions.checkNotNull(groupPaint);
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112Preconditions.checkState(groupPaint!=null);
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientPaintgroupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientPaintgroupPaint=Color.black;ColorgroupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientPaintgroupPaint=Color.black;this.groupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientPaintgroupPaint=Color.black;ColorgroupPaint=newColor(0.0,1.0);
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112finalprotectedtransientPaintgroupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112Preconditions.checkState(groupPaint==null);
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatetransientPaintgroupPaint=Color.white;ColorgroupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatetransientPaintgroupPaint=Color.white;ColorgroupPaint=Color.white;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatetransientPaintgroupPaint=Color.white;ColorgroupPaint=newColor(0,0);
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112ColorgroupPaint=Color.white;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112this.groupPaint=Color.blue;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatetransientPaintgroupPaint=Color.blue;ColorgroupPaint=Color.blue;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatetransientPaintgroupPaint=Color.blue;ColorgroupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatetransientPaintgroupPaint=Color.blue;ColorgroupPaint=newColor(0,0);
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatetransientPaintgroupPaint=Color.white;Preconditions.checkState(groupPaint!=null);
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatetransientPaintgroupPaint=Color.white;Preconditions.checkState(groupPaint==null);
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatetransientPaintgroupPaint=Color.blue;intgroupPaint=Color.blue;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientPaintgroupPaint=Color.white;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientPaintgroupPaint=Color.black;AssertionFailedError.this.groupPaint=groupPaint;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientPaintgroupPaint=Color.black;AssertionFailedError.this.groupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientPaintgroupPaint=Color.blue;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientPaintgroupPaint=Color.black;this.groupPaint=Color.white;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatetransientPaintgroupPaint=Color.blue;this.groupPaint=Color.blue;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatetransientPaintgroupPaint=Color.white;this.groupPaint=Color.white;
